model_id,target,n,coverage,MAE_um,RMSE_um,component_balanced_MAE_um,OOF_train_mean_Q2,negative_depth_fraction
CONST_DQ,D,180,1.0,18.217096915901475,20.270719195751518,19.029637925521364,0.0,0.0
CONST_DQ,Sq,180,1.0,1.1708900046217972,1.7958770726931639,1.2081832054705366,0.0,0.0
TREE_U_DQ,D,180,1.0,4.991164246494085,6.512591580895464,5.122378213637489,0.8967786887249044,0.0
TREE_U_DQ,Sq,180,1.0,1.0370113908246184,1.7866818818231587,1.145088659028648,0.010214118273628503,0.0
STATIC_PHY_K4_AUX,D,180,1.0,14.168836210409387,20.37396743483962,15.662749235795456,-0.010212877386075903,0.0
STATIC_PHY_K4_AUX,Sq,180,1.0,1.1840603008758752,1.8688005751733667,1.2414831935711548,-0.08286098406121489,0.0
GRU_PHY_K4_AUX,D,180,1.0,14.266962603303707,20.617052009944484,15.794598337407002,-0.03446265755159561,0.0
GRU_PHY_K4_AUX,Sq,180,1.0,1.1071441655034893,1.8035742110016613,1.1601548760528713,-0.00859038005756907,0.0
MAMBA_RAW_K4_AUX,D,180,1.0,15.379288390847957,21.929984430017495,16.81703325795261,-0.1704108296462168,0.0
MAMBA_RAW_K4_AUX,Sq,180,1.0,1.0989822012948514,1.724714444367638,1.1875508899748684,0.07768092818058647,0.0
MAMBA_PHY_K4_NOAUX,D,180,1.0,14.99489742739954,20.26423179013907,16.277902635993318,0.000639974086841244,0.0
MAMBA_PHY_K4_NOAUX,Sq,180,1.0,1.147300546739338,2.116383576510948,1.2753918822084018,-0.3887867146922779,0.0
MAMBA_PHY_K4_AUX,D,180,1.0,14.989510873529232,20.28300203537034,16.275894223900867,-0.0012122471661810685,0.0
MAMBA_PHY_K4_AUX,Sq,180,1.0,1.151122120890854,2.1558713599342707,1.2820352017404404,-0.44109454477716636,0.0
MAMBA_PHY_K32_AUX,D,180,1.0,10.293263440237691,12.973954529844178,10.612218266644973,0.5903561605678982,0.0
MAMBA_PHY_K32_AUX,Sq,180,1.0,1.292124463845717,2.18104539037726,1.4137041477172998,-0.4749462559473694,0.0
