comparator,target,delta_MAE_um,ci95_low,ci95_high,replicates
TREE_U_DQ,D,-9.998346627035145,-12.139225850889105,-8.044022489370949,5000
TREE_U_DQ,Sq,-0.11411073006623555,-0.32073670875602867,0.048328528702620166,5000
STATIC_PHY_K4_AUX,D,-0.8206746631198459,-1.9324363686641053,0.3186398271057336,5000
STATIC_PHY_K4_AUX,Sq,0.03293817998502138,-0.1432841742441549,0.16636599463375046,5000
GRU_PHY_K4_AUX,D,-0.7225482702255249,-1.7581816846132279,0.3487585733003088,5000
GRU_PHY_K4_AUX,Sq,-0.04397795538736441,-0.24592034438974206,0.10693099270537137,5000
MAMBA_RAW_K4_AUX,D,0.38977751731872556,-0.059125212166044716,0.940979770057731,5000
MAMBA_RAW_K4_AUX,Sq,-0.05213991959600216,-0.2231061118608379,0.07018547124918133,5000
MAMBA_PHY_K4_NOAUX,D,0.005386553870307109,-0.02169954667488727,0.029465435412195054,5000
MAMBA_PHY_K4_NOAUX,Sq,-0.003821574151515962,-0.014578946924044068,0.00453761094560226,5000
MAMBA_PHY_K32_AUX,D,-4.696247433291541,-6.555386795997619,-2.832320348852215,5000
MAMBA_PHY_K32_AUX,Sq,0.14100234295486325,0.09372316672884444,0.18982791291716095,5000
