model_id,outer_fold,target,n,MAE_um,RMSE_um
CONST_DQ,0,D,36,16.78651903534223,18.963840442975744
CONST_DQ,0,Sq,36,1.266897113697857,2.3141636769030973
CONST_DQ,1,D,36,17.91963376041565,19.66255489003144
CONST_DQ,1,Sq,36,1.3743598543277615,2.296796148086294
CONST_DQ,2,D,36,18.444874693788393,20.749651591408597
CONST_DQ,2,Sq,36,1.0821278858866976,1.5771943072664583
CONST_DQ,3,D,36,16.876160964460958,19.312963231297882
CONST_DQ,3,Sq,36,1.0158912610972957,1.0742641552062704
CONST_DQ,4,D,36,21.058296125500153,22.466160875338584
CONST_DQ,4,Sq,36,1.1151739080993748,1.3614921497123555
GRU_PHY_K4_AUX,0,D,36,12.95896803918812,15.53270284115677
GRU_PHY_K4_AUX,0,Sq,36,1.2090718449566886,2.3127736443572267
GRU_PHY_K4_AUX,1,D,36,22.050341395609493,33.88999449166218
GRU_PHY_K4_AUX,1,Sq,36,1.4318267136598026,2.413687034783011
GRU_PHY_K4_AUX,2,D,36,13.106486148304409,16.83045559427986
GRU_PHY_K4_AUX,2,Sq,36,1.0283595371294838,1.5842520760005618
GRU_PHY_K4_AUX,3,D,36,11.704458183712429,14.560005492912065
GRU_PHY_K4_AUX,3,Sq,36,0.8770925947907652,0.9547296944568903
GRU_PHY_K4_AUX,4,D,36,11.514559249704083,15.500309295060882
GRU_PHY_K4_AUX,4,Sq,36,0.9893701369807071,1.291599477875582
MAMBA_PHY_K32_AUX,0,D,36,8.604325859910912,10.380153476163782
MAMBA_PHY_K32_AUX,0,Sq,36,1.3366288530584092,2.3689375514927544
MAMBA_PHY_K32_AUX,1,D,36,12.99721988181894,17.017026714163222
MAMBA_PHY_K32_AUX,1,Sq,36,2.170111551564852,3.6957865345051117
MAMBA_PHY_K32_AUX,2,D,36,9.662575549549526,10.928904098255101
MAMBA_PHY_K32_AUX,2,Sq,36,0.9129233025207945,1.379644091921136
MAMBA_PHY_K32_AUX,3,D,36,10.01964627371894,11.891520508415853
MAMBA_PHY_K32_AUX,3,Sq,36,1.0849632205780764,1.1977276238900858
MAMBA_PHY_K32_AUX,4,D,36,10.182549636190137,13.544057425385104
MAMBA_PHY_K32_AUX,4,Sq,36,0.9559953915064534,1.0844917987358818
MAMBA_PHY_K4_AUX,0,D,36,15.114079623586601,18.365104892518108
MAMBA_PHY_K4_AUX,0,Sq,36,1.1930995468642864,2.224040598841291
MAMBA_PHY_K4_AUX,1,D,36,19.89129546755511,27.641257190183776
MAMBA_PHY_K4_AUX,1,Sq,36,2.1511299255020893,3.781791615760458
MAMBA_PHY_K4_AUX,2,D,36,14.115642587343851,18.77162791837412
MAMBA_PHY_K4_AUX,2,Sq,36,0.873540383815251,1.4579593835432951
MAMBA_PHY_K4_AUX,3,D,36,14.135171996222603,18.360772729317205
MAMBA_PHY_K4_AUX,3,Sq,36,0.7885270264537186,0.8792162141852529
MAMBA_PHY_K4_AUX,4,D,36,11.691364692937997,16.315412686891715
MAMBA_PHY_K4_AUX,4,Sq,36,0.7493137218189234,1.0449571652683198
MAMBA_PHY_K4_NOAUX,0,D,36,15.125871998568376,18.374521652759462
MAMBA_PHY_K4_NOAUX,0,Sq,36,1.2005543461455128,2.220182087370753
MAMBA_PHY_K4_NOAUX,1,D,36,19.77495686352874,27.424235176458716
MAMBA_PHY_K4_NOAUX,1,Sq,36,2.118666780577184,3.6759597116058234
MAMBA_PHY_K4_NOAUX,2,D,36,14.210059391127693,18.900274827917375
MAMBA_PHY_K4_NOAUX,2,Sq,36,0.8629705439734615,1.442764022695638
MAMBA_PHY_K4_NOAUX,3,D,36,14.151482648319668,18.387743590989512
MAMBA_PHY_K4_NOAUX,3,Sq,36,0.8047624922584543,0.8964593767320825
MAMBA_PHY_K4_NOAUX,4,D,36,11.712116235453221,16.375415301670674
MAMBA_PHY_K4_NOAUX,4,Sq,36,0.7495485707420767,1.03358670312629
