target,variant,model,fold,skill_q2,r2_scalar,alpha,n_train,n_test
A,proc_gkf,dummy,2,0.0,-0.03527790734691383,,160,40
A,proc_gkf,dummy,3,0.0,-0.03846806358925403,,160,40
A,proc_gkf,dummy,4,0.0,-0.0002872191287859316,,160,40
Pl,src_gkf,full,0,0.37704517584918384,,10.0,160,40
Pl,src_gkf,full,1,0.30763513211106275,,31.622776601683793,160,40
Pl,src_gkf,full,2,0.3082626913088109,,10.0,160,40
Pl,src_gkf,full,3,0.36747300780876413,,10.0,160,40
Pl,src_gkf,full,4,0.29058368511536314,,10.0,160,40
Pl,src_gkf,h_only,0,0.019602065842605598,,3.1622776601683795,160,40
Pl,src_gkf,h_only,1,0.05785094199821805,,10.0,160,40
Pl,src_gkf,h_only,2,0.1464285129862113,,31.622776601683793,160,40
Pl,src_gkf,h_only,3,0.18341452010286952,,10.0,160,40
Pl,src_gkf,h_only,4,0.14524463679998068,,10.0,160,40
Pl,src_gkf,minus_h,0,0.31465692679579527,,31.622776601683793,160,40
Pl,src_gkf,minus_h,1,0.24314133701175333,,31.622776601683793,160,40
Pl,src_gkf,minus_h,2,0.131951608017974,,31.622776601683793,160,40
Pl,src_gkf,minus_h,3,0.1452754132763393,,31.622776601683793,160,40
Pl,src_gkf,minus_h,4,0.11568221164784454,,31.622776601683793,160,40
Pl,src_gkf,dummy,0,0.0,,,160,40
Pl,src_gkf,dummy,1,0.0,,,160,40
Pl,src_gkf,dummy,2,0.0,,,160,40
Pl,src_gkf,dummy,3,0.0,,,160,40
Pl,src_gkf,dummy,4,0.0,,,160,40
Pl,proc_gkf,full,0,0.4041337289958268,,10.0,160,40
Pl,proc_gkf,full,1,0.3372629834513998,,31.622776601683793,160,40
Pl,proc_gkf,full,2,0.3471483663073964,,31.622776601683793,160,40
Pl,proc_gkf,full,3,0.33921883550334,,31.622776601683793,160,40
Pl,proc_gkf,full,4,0.19687569704107166,,10.0,160,40
Pl,proc_gkf,h_only,0,0.1861085629908351,,31.622776601683793,160,40
Pl,proc_gkf,h_only,1,0.16401321932181556,,31.622776601683793,160,40
Pl,proc_gkf,h_only,2,0.0749113416376983,,31.622776601683793,160,40
Pl,proc_gkf,h_only,3,-0.03950126528130515,,10.0,160,40
Pl,proc_gkf,h_only,4,0.13999392647196807,,31.622776601683793,160,40
Pl,proc_gkf,minus_h,0,0.19055118173537466,,31.622776601683793,160,40
Pl,proc_gkf,minus_h,1,0.13867045359788177,,31.622776601683793,160,40
Pl,proc_gkf,minus_h,2,0.24215668933294232,,31.622776601683793,160,40
Pl,proc_gkf,minus_h,3,0.3520581882919116,,31.622776601683793,160,40
Pl,proc_gkf,minus_h,4,-0.0201860485933143,,31.622776601683793,160,40
Pl,proc_gkf,dummy,0,0.0,,,160,40
Pl,proc_gkf,dummy,1,0.0,,,160,40
Pl,proc_gkf,dummy,2,0.0,,,160,40
Pl,proc_gkf,dummy,3,0.0,,,160,40
Pl,proc_gkf,dummy,4,0.0,,,160,40
Ot_A2,src_gkf,full,0,0.4362632635500263,0.3097820208126548,1.0,160,40
Ot_A2,src_gkf,full,1,0.6482498998951916,0.6217301255102919,3.1622776601683795,160,40
Ot_A2,src_gkf,full,2,0.6613456895892484,0.6611355374196766,3.1622776601683795,160,40
Ot_A2,src_gkf,full,3,0.641425679911622,0.5050539999437547,10.0,160,40
Ot_A2,src_gkf,full,4,0.46513109609432257,0.45369733225575637,0.1,160,40
Ot_A2,src_gkf,h_only,0,0.46680358486251916,0.34717443733811504,0.001,160,40
Ot_A2,src_gkf,h_only,1,0.624838838190799,0.5965540150558737,0.001,160,40
Ot_A2,src_gkf,h_only,2,0.6150926883025883,0.6148538338006653,0.001,160,40
Ot_A2,src_gkf,h_only,3,0.6277379477171798,0.48616059927353805,1.0,160,40
Ot_A2,src_gkf,h_only,4,0.4463937647179286,0.43455945745580893,0.001,160,40
Ot_A2,src_gkf,minus_h,0,0.0050576007118317,-0.21816991485959125,1000.0,160,40
Ot_A2,src_gkf,minus_h,1,0.008701342468437345,-0.06603642374103269,1000.0,160,40
Ot_A2,src_gkf,minus_h,2,0.010782149896684912,0.010168290066800423,1000.0,160,40
Ot_A2,src_gkf,minus_h,3,0.0049410789474827466,-0.37349610723333404,1000.0,160,40
Ot_A2,src_gkf,minus_h,4,-0.007941959506743146,-0.029488492206303674,1000.0,160,40
Ot_A2,src_gkf,dummy,0,0.0,-0.2243622502479854,,160,40
Ot_A2,src_gkf,dummy,1,0.0,-0.07539379342606489,,160,40
Ot_A2,src_gkf,dummy,2,0.0,-0.0006205507005563327,,160,40
Ot_A2,src_gkf,dummy,3,0.0,-0.3803163593373218,,160,40
Ot_A2,src_gkf,dummy,4,0.0,-0.02137675934247718,,160,40
Ot_A2,proc_gkf,full,0,0.7353666122437339,0.6033972971720623,1.0,160,40
Ot_A2,proc_gkf,full,1,0.6416039883494734,0.5886310394097738,3.1622776601683795,160,40
Ot_A2,proc_gkf,full,2,0.5287862286827657,0.3160217019054864,1.0,160,40
Ot_A2,proc_gkf,full,3,0.25146753686651235,0.21241160140099224,3.1622776601683795,160,40
Ot_A2,proc_gkf,full,4,0.5515234307230563,0.4947244495248655,0.001,160,40
Ot_A2,proc_gkf,h_only,0,0.7313621672322836,0.5973958862075102,1.0,160,40
Ot_A2,proc_gkf,h_only,1,0.604017544161094,0.5454891070906912,1.0,160,40
Ot_A2,proc_gkf,h_only,2,0.5535919090583696,0.35202775283000354,3.1622776601683795,160,40
Ot_A2,proc_gkf,h_only,3,0.225964540535445,0.18557794350487544,1.0,160,40
Ot_A2,proc_gkf,h_only,4,0.611121986803146,0.5618710861472453,1.0,160,40
Ot_A2,proc_gkf,minus_h,0,-0.0063896196676414,-0.5082633625420758,1000.0,160,40
Ot_A2,proc_gkf,minus_h,1,0.00243393357945465,-0.14501194913868476,1000.0,160,40
Ot_A2,proc_gkf,minus_h,2,0.006294716094618957,-0.4423874900624525,1000.0,160,40
Ot_A2,proc_gkf,minus_h,3,-0.0022644565871683398,-0.05455928395108489,1000.0,160,40
Ot_A2,proc_gkf,minus_h,4,-0.07109057241538252,-0.2067428170404806,316.22776601683796,160,40
Ot_A2,proc_gkf,dummy,0,0.0,-0.49868732056296183,,160,40
Ot_A2,proc_gkf,dummy,1,0.0,-0.14780563180863115,,160,40
Ot_A2,proc_gkf,dummy,2,0.0,-0.45152442421730554,,160,40
Ot_A2,proc_gkf,dummy,3,0.0,-0.05217667554727701,,160,40
Ot_A2,proc_gkf,dummy,4,0.0,-0.12664871498139796,,160,40
Ot_ent,src_gkf,full,0,0.4503804851563875,0.3307623383974303,1.0,160,40
Ot_ent,src_gkf,full,1,0.6787944473254606,0.6600764579399734,3.1622776601683795,160,40
Ot_ent,src_gkf,full,2,0.6623014674517541,0.6616831611214702,3.1622776601683795,160,40
Ot_ent,src_gkf,full,3,0.6791298176341798,0.5955515978750868,10.0,160,40
Ot_ent,src_gkf,full,4,0.40839673759424755,0.3962482436224227,1.0,160,40
Ot_ent,src_gkf,h_only,0,0.4605515511651278,0.3431470158840577,0.001,160,40
Ot_ent,src_gkf,h_only,1,0.6069240778141922,0.5840179017599457,0.31622776601683794,160,40
Ot_ent,src_gkf,h_only,2,0.5820385643160475,0.581273301288258,0.1,160,40
Ot_ent,src_gkf,h_only,3,0.6401938713100487,0.5464738644443669,3.1622776601683795,160,40
Ot_ent,src_gkf,h_only,4,0.3774734363959933,0.36468993656455195,1.0,160,40
Ot_ent,src_gkf,minus_h,0,0.010193786182666309,-0.2052257572464249,1000.0,160,40
