target,variant,skill_full,skill_h_only,skill_minus_h,delta_h_median,n_folds_positive_delta
A,proc_gkf,0.15670773844161656,0.0009147169038730141,0.1492453026534245,0.01667617666551824,3
A,src_gkf,0.160495937348061,0.001141167869953219,0.1423742782242734,0.018121659123787603,3
A,src_gkf_inbox,0.04375688271681011,-0.0015564642714176458,0.0808183494241973,-0.014497908900760081,0
D,proc_gkf,0.5773697665762406,0.037679358564521426,0.47241099476782555,0.10759656565742981,4
D,src_gkf,0.5515685530812657,0.04363427561439881,0.5007105707957495,0.08980917354477747,5
D,src_gkf_inbox,0.7105247779411467,0.07579192336839147,0.5739308663832065,0.108595924981151,5
Ot_A2,proc_gkf,0.5515234307230563,0.604017544161094,-0.0022644565871683398,0.6226140031384388,5
Ot_A2,src_gkf,0.641425679911622,0.6150926883025883,0.0050576007118317,0.6364846009641393,5
Ot_A2,src_gkf_inbox,0.6632913244812517,0.7044636970676054,-0.0029492714083083627,0.6666753516488553,5
Ot_A2_16_32,src_gkf,0.142907040635617,0.16783456428004018,0.002344443905551441,0.14056259673006555,5
Ot_ent,proc_gkf,0.6449446532640573,0.5730638657762053,0.014047281240879506,0.6310804710510327,5
Ot_ent,src_gkf,0.6623014674517541,0.5820385643160475,0.014784579839985601,0.6437993484918441,5
Ot_ent,src_gkf_inbox,0.6495613742049169,0.6838801641343581,-0.001965811355936209,0.6520527069649489,5
Ot_ent_16_32,src_gkf,0.14370802412743688,0.14422244242616877,-0.002192403052321934,0.14291574975741406,5
Ot_joint,src_gkf,0.6614075057238205,0.5984198018305389,0.011646232670398882,0.6453990636496785,5
Pl,proc_gkf,0.33921883550334,0.13999392647196807,0.19055118173537466,0.19859252985351805,4
Pl,src_gkf,0.3082626913088109,0.14524463679998068,0.1452754132763393,0.1749014734675186,5
Pl,src_gkf_inbox,0.3629219822441606,0.1921056765085548,0.15113375914427674,0.2738709961813228,5
