dataset_index,kernel_group,level,param,n_phases,valid,invalid_phases,min_field_um,min_margin_um,q_raw
197,500:5:1:25#L112,L2,1.0,32,True,0,0.028543085273683766,0.028543085273683766,"[0.65625, 0.0, 0.34375, 0.0, 0.0]"
197,500:5:1:25#L112,L2,1.4142135623730951,32,True,0,0.028663888583682278,0.028663888583682278,"[0.53125, 0.03125, 0.4375, 0.0, 0.0]"
197,500:5:1:25#L112,L2,2.0,32,True,0,0.028749721901030423,0.028749721901030423,"[0.4375, 0.0625, 0.5, 0.0, 0.0]"
197,500:5:1:25#L112,L2,2.82842712474619,32,True,0,0.02881062242691319,0.02881062242691319,"[0.375, 0.0625, 0.5625, 0.0, 0.0]"
197,500:5:1:25#L112,L2,4.0,32,True,0,0.02885378954743656,0.02885378954743656,"[0.34375, 0.03125, 0.625, 0.0, 0.0]"
197,500:5:1:25#L112,L2,5.656854249492381,32,True,0,0.02888436540561535,0.02888436540561535,"[0.375, 0.0, 0.625, 0.0, 0.0]"
197,500:5:1:25#L112,L2,7.999999999999999,32,True,0,0.02890601189265762,0.02890601189265762,"[0.34375, 0.0, 0.65625, 0.0, 0.0]"
197,500:5:1:25#L112,L2,11.31370849898476,32,True,0,0.02892133133089173,0.02892133133089173,"[0.3125, 0.0, 0.6875, 0.0, 0.0]"
197,500:5:1:25#L112,L2,16.0,32,True,0,0.02893217034518436,0.02893217034518436,"[0.3125, 0.0, 0.6875, 0.0, 0.0]"
197,500:5:1:25#L112,L2,22.627416997969522,32,True,0,0.02893983795542242,0.02893983795542242,"[0.3125, 0.0, 0.6875, 0.0, 0.0]"
197,500:5:1:25#L112,L2,32.00000000000001,32,True,0,0.028945261410154195,0.028945261410154195,"[0.28125, 0.0, 0.71875, 0.0, 0.0]"
197,500:5:1:25#L112,L2,45.25483399593905,32,True,0,0.028949097189786374,0.028949097189786374,"[0.25, 0.0, 0.75, 0.0, 0.0]"
197,500:5:1:25#L112,L2,64.0,32,True,0,0.02895180990466173,0.02895180990466173,"[0.25, 0.0, 0.75, 0.0, 0.0]"
197,500:5:1:25#L112,L3a,0.0,32,True,0,0.028958360374741397,0.028958360374741397,"[0.25, 0.0, 0.75, 0.0, 0.0]"
197,500:5:1:25#L112,L3a,0.1,32,True,0,-0.03305176327132679,-0.0030047057519387993,"[0.09375, 0.125, 0.0, 0.78125, 0.0]"
197,500:5:1:25#L112,L3a,0.2,32,True,0,-0.03605646902326559,-0.006009411503877599,"[0.0, 0.15625, 0.0, 0.84375, 0.0]"
197,500:5:1:25#L112,L3a,0.3,32,True,0,-0.03906117477520439,-0.009014117255816398,"[0.0, 0.0625, 0.0, 0.9375, 0.0]"
197,500:5:1:25#L112,L3a,0.4,32,False,4,-0.04206588052714319,-0.012018823007755197,"[0.0, 0.0, 0.0, 1.0, 0.0]"
197,500:5:1:25#L112,L3a,0.5,32,False,4,-0.04507058627908199,-0.015023528759693996,"[0.0, 0.0, 0.0, 1.0, 0.0]"
197,500:5:1:25#L112,L3a,0.6,32,False,10,-0.04807529203102079,-0.018028234511632796,"[0.0, 0.0, 0.0, 1.0, 0.0]"
197,500:5:1:25#L112,L3a,0.7,32,False,10,-0.05107999778295959,-0.021032940263571595,"[0.0, 0.0, 0.0, 1.0, 0.0]"
197,500:5:1:25#L112,L3a,0.8,32,False,10,-0.05408470353489839,-0.024037646015510394,"[0.0, 0.0, 0.0, 1.0, 0.0]"
197,500:5:1:25#L112,L3a,0.9,32,False,10,-0.05708940928683719,-0.027042351767449194,"[0.0, 0.0, 0.0, 1.0, 0.0]"
197,500:5:1:25#L112,L3b,-0.5,32,True,0,0.028958360374741397,0.028958360374741397,"[0.0, 0.0, 1.0, 0.0, 0.0]"
197,500:5:1:25#L112,L3b,-0.45,32,True,0,0.028958360374741397,0.028958360374741397,"[0.0, 0.0, 1.0, 0.0, 0.0]"
197,500:5:1:25#L112,L3b,-0.4,32,True,0,0.028958360374741397,0.028958360374741397,"[0.0, 0.0, 1.0, 0.0, 0.0]"
197,500:5:1:25#L112,L3b,-0.35,32,True,0,0.028958360374741397,0.028958360374741397,"[0.0, 0.0, 1.0, 0.0, 0.0]"
197,500:5:1:25#L112,L3b,-0.3,32,True,0,0.028958360374741397,0.028958360374741397,"[0.0, 0.0, 1.0, 0.0, 0.0]"
197,500:5:1:25#L112,L3b,-0.25,32,True,0,0.028958360374741397,0.028958360374741397,"[0.0, 0.0, 1.0, 0.0, 0.0]"
197,500:5:1:25#L112,L3b,-0.19999999999999996,32,True,0,0.028958360374741397,0.028958360374741397,"[0.0, 0.0, 1.0, 0.0, 0.0]"
197,500:5:1:25#L112,L3b,-0.14999999999999997,32,True,0,0.028958360374741397,0.028958360374741397,"[0.09375, 0.0, 0.90625, 0.0, 0.0]"
197,500:5:1:25#L112,L3b,-0.09999999999999998,32,True,0,0.028958360374741397,0.028958360374741397,"[0.1875, 0.0, 0.8125, 0.0, 0.0]"
197,500:5:1:25#L112,L3b,-0.04999999999999999,32,True,0,0.028958360374741397,0.028958360374741397,"[0.21875, 0.0, 0.78125, 0.0, 0.0]"
197,500:5:1:25#L112,L3b,0.0,32,True,0,0.028958360374741397,0.028958360374741397,"[0.25, 0.0, 0.75, 0.0, 0.0]"
197,500:5:1:25#L112,L3b,0.050000000000000044,32,True,0,0.028958360374741397,0.028958360374741397,"[0.25, 0.0, 0.75, 0.0, 0.0]"
197,500:5:1:25#L112,L3b,0.10000000000000009,32,True,0,0.028958360374741397,0.028958360374741397,"[0.1875, 0.0, 0.8125, 0.0, 0.0]"
197,500:5:1:25#L112,L3b,0.15000000000000002,32,True,0,0.028958360374741397,0.028958360374741397,"[0.09375, 0.0, 0.90625, 0.0, 0.0]"
