i,j,pair_type,d_phi
183,92,random_ordinary,0.9882108107031451
104,155,random_ordinary,0.9845986096512764
119,96,random_ordinary,0.9762420154613385
140,85,random_ordinary,0.986090400256703
66,194,random_ordinary,0.9824886229918501
164,131,random_ordinary,0.9836887029230842
150,168,random_ordinary,0.9839941579156848
125,24,random_ordinary,0.9872298860831409
0,150,random_ordinary,0.9752273007675353
28,158,random_ordinary,0.9872747101432351
159,180,random_ordinary,0.9827533556667893
126,52,random_ordinary,0.9840722734979136
45,165,random_ordinary,0.9823677045854222
68,69,random_ordinary,0.9888638821539513
122,106,random_ordinary,0.9836326972337917
144,15,random_ordinary,0.9862341600769642
60,136,random_ordinary,0.9864574898001766
111,180,random_ordinary,0.9847250461170561
156,147,random_ordinary,0.9816461915786467
1,19,random_ordinary,0.9785254344431911
64,169,random_ordinary,0.9838614669791371
184,174,random_ordinary,0.9816639632639522
31,8,random_ordinary,0.9900644245711431
192,191,random_ordinary,0.9828368627812698
52,3,random_ordinary,0.9821002133380511
145,73,random_ordinary,0.9859626788537618
79,42,random_ordinary,0.9888056952559183
157,64,random_ordinary,0.9905226615616283
0,105,random_ordinary,0.9769336648809699
69,77,random_ordinary,0.9808088914815307
81,190,random_ordinary,0.9836604251834428
149,50,random_ordinary,0.9886043628139398
19,67,random_ordinary,0.9842156601282211
166,152,random_ordinary,0.9832568287246783
164,46,random_ordinary,0.9842012464894856
111,145,random_ordinary,0.9867036154946118
6,186,random_ordinary,0.9828288278702269
143,174,random_ordinary,0.9838806058164286
171,126,random_ordinary,0.9814448829272782
193,120,random_ordinary,0.9836432787195425
171,88,random_ordinary,0.9865039542448749
153,45,random_ordinary,0.9807433283611845
177,51,random_ordinary,0.9864528272976765
66,33,random_ordinary,0.9809940598801649
56,58,random_ordinary,0.9862544548345635
149,128,random_ordinary,0.9846208765645267
150,157,random_ordinary,0.9754187205852656
131,109,random_ordinary,0.9852219545180725
190,82,random_ordinary,0.98295620047274
151,29,random_ordinary,0.963541183452366
142,49,random_ordinary,0.9863972227502584
58,180,random_ordinary,0.9842202463170142
