point,direction,step,fd_value
5,log_tau_s,0.0001,1.3310539628254026e-09
5,log_f_Hz,0.0001,7.007530206493975e-09
5,log_v_m_s,0.0001,-1.4491281875627834e-08
5,log_h_m,0.0001,-1.87849325683516e-08
5,log_tau_s,1e-05,1.3310539626930535e-09
5,log_f_Hz,1e-05,7.011069717331259e-09
5,log_v_m_s,1e-05,-1.4494798207871737e-08
5,log_h_m,1e-05,-1.8777831163897573e-08
5,log_tau_s,1e-06,1.331053960376948e-09
5,log_f_Hz,1e-06,7.011972005612561e-09
5,log_v_m_s,1e-06,-1.4495612074516024e-08
5,log_h_m,1e-06,-1.8775553950229594e-08
6,log_tau_s,0.01,2.194637531756704e-09
6,log_f_Hz,0.01,1.501311087773046e-08
6,log_v_m_s,0.01,-2.2911649308822506e-08
6,log_h_m,0.01,-2.169802087923061e-08
6,log_tau_s,0.001,2.1946618062155035e-09
6,log_f_Hz,0.001,1.5153080287949806e-08
6,log_v_m_s,0.001,-2.3058600115459617e-08
6,log_h_m,0.001,-2.1665362454306087e-08
6,log_tau_s,0.0001,2.1946442991231272e-09
6,log_f_Hz,0.0001,1.514264607507145e-08
6,log_v_m_s,0.0001,-2.304861496263043e-08
6,log_h_m,0.0001,-2.168082340141859e-08
6,log_tau_s,1e-05,2.194644299056953e-09
6,log_f_Hz,1e-05,1.5142120574639833e-08
6,log_v_m_s,1e-05,-2.3047797591817457e-08
6,log_h_m,1e-05,-2.168640369245923e-08
6,log_tau_s,1e-06,2.194644307328759e-09
6,log_f_Hz,1e-06,1.5143579706020253e-08
6,log_v_m_s,1e-06,-2.3049347270027326e-08
6,log_h_m,1e-06,-2.168640366400422e-08
7,log_tau_s,0.01,5.252182582796551e-10
7,log_f_Hz,0.01,3.480566007939932e-09
7,log_v_m_s,0.01,-5.15023023852245e-09
7,log_h_m,0.01,-5.064797914037377e-09
7,log_tau_s,0.001,5.25222645027472e-10
7,log_f_Hz,0.001,3.4725930854527005e-09
7,log_v_m_s,0.001,-5.1430506687142985e-09
7,log_h_m,0.001,-5.042201568428009e-09
7,log_tau_s,0.0001,5.25222645540324e-10
7,log_f_Hz,0.0001,3.4725665876159596e-09
7,log_v_m_s,0.0001,-5.14285694066151e-09
7,log_h_m,0.0001,-5.032225363727671e-09
7,log_tau_s,1e-05,5.252226455899548e-10
7,log_f_Hz,1e-05,3.4725663244070883e-09
7,log_v_m_s,1e-05,-5.142856677328561e-09
7,log_h_m,1e-05,-5.032225074355077e-09
7,log_tau_s,1e-06,5.2522264451462e-10
7,log_f_Hz,1e-06,3.472566322008265e-09
7,log_v_m_s,1e-06,-5.142856675839637e-09
7,log_h_m,1e-06,-5.032225068978403e-09
8,log_tau_s,0.01,1.0739798506756027e-09
8,log_f_Hz,0.01,5.815564116163512e-09
8,log_v_m_s,0.01,-1.0177635439896191e-08
8,log_h_m,0.01,1.6250259084186303e-10
8,log_tau_s,0.001,1.0739843074770975e-09
8,log_f_Hz,0.001,5.832733082653297e-09
8,log_v_m_s,0.001,-1.0194352094877588e-08
8,log_h_m,0.001,1.7160123446129235e-10
8,log_tau_s,0.0001,1.073979050520966e-09
8,log_f_Hz,0.0001,5.826526972933189e-09
8,log_v_m_s,0.0001,-1.0187421848518328e-08
8,log_h_m,0.0001,1.7481851406513094e-10
8,log_tau_s,1e-05,1.0739790502728118e-09
8,log_f_Hz,1e-05,5.821814319462179e-09
8,log_v_m_s,1e-05,-1.0182491940757815e-08
8,log_h_m,1e-05,1.742180808638354e-10
8,log_tau_s,1e-06,1.0739790522580452e-09
8,log_f_Hz,1e-06,5.8218143113558096e-09
8,log_v_m_s,1e-06,-1.0182491946382645e-08
8,log_h_m,1e-06,1.7418522343010748e-10
9,log_tau_s,0.01,2.996639266126037e-09
9,log_f_Hz,0.01,1.5639213657568912e-08
9,log_v_m_s,0.01,-2.6803670278500423e-08
9,log_h_m,0.01,-3.49028199862967e-08
9,log_tau_s,0.001,2.9967420740131574e-09
9,log_f_Hz,0.001,1.5578785971446627e-08
9,log_v_m_s,0.001,-2.6742291272152413e-08
9,log_h_m,0.001,-3.496531048053768e-08
9,log_tau_s,0.0001,2.9967489233664143e-09
9,log_f_Hz,0.0001,1.558816732613687e-08
9,log_v_m_s,0.0001,-2.6752000057066728e-08
9,log_h_m,0.0001,-3.497808325404079e-08
9,log_tau_s,1e-05,2.9967489224068844e-09
9,log_f_Hz,1e-05,1.5591204242794976e-08
9,log_v_m_s,1e-05,-2.6754891787082975e-08
9,log_h_m,1e-05,-3.49796590201706e-08
9,log_tau_s,1e-06,2.996748919759907e-09
9,log_f_Hz,1e-06,1.5591204216325196e-08
9,log_v_m_s,1e-06,-2.6754891775171577e-08
9,log_h_m,1e-06,-3.497965898476727e-08
10,log_tau_s,0.01,5.807314429694594e-09
10,log_f_Hz,0.01,3.540644295094021e-08
10,log_v_m_s,0.01,-8.329360904148753e-08
10,log_h_m,0.01,-7.272328796358525e-08
10,log_tau_s,0.001,5.807440622153325e-09
10,log_f_Hz,0.001,3.536737282800491e-08
10,log_v_m_s,0.001,-8.325181918933192e-08
10,log_h_m,0.001,-7.247136069942848e-08
10,log_tau_s,0.0001,5.807398849466216e-09
10,log_f_Hz,0.0001,3.537037596555818e-08
10,log_v_m_s,0.0001,-8.325402638087726e-08
10,log_h_m,0.0001,-7.249441786694343e-08
10,log_tau_s,1e-05,5.807398851186751e-09
10,log_f_Hz,1e-05,3.536757677921846e-08
10,log_v_m_s,1e-05,-8.325083414901539e-08
10,log_h_m,1e-05,-7.248663890323249e-08
10,log_tau_s,1e-06,5.807398864421642e-09
10,log_f_Hz,1e-06,3.536818021607799e-08
10,log_v_m_s,1e-06,-8.325153778590213e-08
10,log_h_m,1e-06,-7.248807729487885e-08
11,log_tau_s,0.01,2.100109808957609e-09
11,log_f_Hz,0.01,1.031655210457338e-08
11,log_v_m_s,0.01,-1.9267670360356104e-08
11,log_h_m,0.01,-2.365403855197896e-08
11,log_tau_s,0.001,2.1001890548266655e-09
11,log_f_Hz,0.001,1.036045030733202e-08
11,log_v_m_s,0.001,-1.9323423575906985e-08
11,log_h_m,0.001,-2.3752087605118205e-08
11,log_tau_s,0.0001,2.10019215872927e-09
11,log_f_Hz,0.0001,1.0356356762825231e-08
11,log_v_m_s,0.0001,-1.9319072808855226e-08
11,log_h_m,0.0001,-2.374708877743337e-08
11,log_tau_s,1e-05,2.1002079608237327e-09
11,log_f_Hz,1e-05,1.0355911902345559e-08
11,log_v_m_s,1e-05,-1.9318382821739006e-08
11,log_h_m,1e-05,-2.3742385926333858e-08
11,log_tau_s,1e-06,2.1002079555297767e-09
11,log_f_Hz,1e-06,1.0355493487591079e-08
11,log_v_m_s,1e-06,-1.931796442849122e-08
11,log_h_m,1e-06,-2.374196749404315e-08
12,log_tau_s,0.01,1.2969475352277659e-09
12,log_f_Hz,0.01,6.463644308794811e-09
12,log_v_m_s,0.01,-1.4138474413043602e-08
12,log_h_m,0.01,-3.2727525973803946e-10
12,log_tau_s,0.001,1.2969493177867658e-09
12,log_f_Hz,0.001,6.43810270755327e-09
12,log_v_m_s,0.001,-1.4111594606443427e-08
12,log_h_m,0.001,-3.902589858444701e-10
12,log_tau_s,0.0001,1.2969478272370805e-09
12,log_f_Hz,0.0001,6.433257674055791e-09
12,log_v_m_s,0.0001,-1.4107380198626722e-08
12,log_h_m,0.0001,-3.7717147054179956e-10
12,log_tau_s,1e-05,1.2969478267076847e-09
12,log_f_Hz,1e-05,6.4324094321013525e-09
12,log_v_m_s,1e-05,-1.4106178666476085e-08
12,log_h_m,1e-05,-3.7270237849964075e-10
12,log_tau_s,1e-06,1.2969478247224514e-09
12,log_f_Hz,1e-06,6.432409418204719e-09
12,log_v_m_s,1e-06,-1.4106178661513003e-08
12,log_h_m,1e-06,-3.7251300343933066e-10
13,log_tau_s,0.01,3.857299059645604e-09
13,log_f_Hz,0.01,1.7616370661843946e-08
13,log_v_m_s,0.01,-3.3939110592507937e-08
13,log_h_m,0.01,-3.872631648189497e-08
13,log_tau_s,0.001,3.8572375771529694e-09
13,log_f_Hz,0.001,1.7546872235864772e-08
13,log_v_m_s,0.001,-3.387386019299513e-08
13,log_h_m,0.001,-3.89092021394286e-08
13,log_tau_s,0.0001,3.857223652354833e-09
13,log_f_Hz,0.0001,1.753184513256261e-08
13,log_v_m_s,0.0001,-3.385692491551506e-08
13,log_h_m,0.0001,-3.890871169815389e-08
13,log_tau_s,1e-05,3.857211170067041e-09
13,log_f_Hz,1e-05,1.753309615866815e-08
13,log_v_m_s,1e-05,-3.3858366025673954e-08
13,log_h_m,1e-05,-3.8915984572649036e-08
13,log_tau_s,1e-06,3.85721116411134e-09
13,log_f_Hz,1e-06,1.753055607560418e-08
13,log_v_m_s,1e-06,-3.385591946828225e-08
13,log_h_m,1e-06,-3.89186174276583e-08
14,log_tau_s,0.01,4.0699828576847276e-10
14,log_f_Hz,0.01,2.8923922457264116e-09
14,log_v_m_s,0.01,-4.188158118207157e-09
14,log_h_m,0.01,-2.737302493046783e-09
14,log_tau_s,0.001,4.069783050827201e-10
14,log_f_Hz,0.001,2.8771691272193004e-09
14,log_v_m_s,0.001,-4.170738104296408e-09
14,log_h_m,0.001,-2.7262688852481656e-09
14,log_tau_s,0.0001,4.0697830548183475e-10
14,log_f_Hz,0.0001,2.873323611482874e-09
14,log_v_m_s,0.0001,-4.167724164346262e-09
14,log_h_m,0.0001,-2.7271897307776745e-09
14,log_tau_s,1e-05,4.06978305382573e-10
14,log_f_Hz,1e-05,2.8733233821222335e-09
14,log_v_m_s,1e-05,-4.167723935002165e-09
14,log_h_m,1e-05,-2.7271895284699758e-09
14,log_tau_s,1e-06,4.0697830629247175e-10
14,log_f_Hz,1e-06,2.8733233798474873e-09
14,log_v_m_s,1e-06,-4.167723933306445e-09
14,log_h_m,1e-06,-2.727189524375432e-09
15,log_tau_s,0.01,4.418072143877443e-09
15,log_f_Hz,0.01,2.4968646274892688e-08
15,log_v_m_s,0.01,-4.4717017106409915e-08
15,log_h_m,0.01,-7.308902517038868e-08
15,log_tau_s,0.001,4.418179025831905e-09
15,log_f_Hz,0.001,2.493553441264529e-08
15,log_v_m_s,0.001,-4.468609092975838e-08
15,log_h_m,0.001,-7.321223123107244e-08
15,log_tau_s,0.0001,4.41818474773137e-09
15,log_f_Hz,0.0001,2.4904308019029152e-08
15,log_v_m_s,0.0001,-4.4650409475154534e-08
15,log_h_m,0.0001,-7.31971710441986e-08
15,log_tau_s,1e-05,4.418184747268149e-09
15,log_f_Hz,1e-05,2.4897526199576725e-08
15,log_v_m_s,1e-05,-4.464337870027811e-08
15,log_h_m,1e-05,-7.319217553795495e-08
15,log_tau_s,1e-06,4.418184746606404e-09
15,log_f_Hz,1e-06,2.4896090032715346e-08
15,log_v_m_s,1e-06,-4.4641777158174716e-08
15,log_h_m,1e-06,-7.319103627069996e-08
16,log_tau_s,0.01,3.3301265008648203e-09
16,log_f_Hz,0.01,2.225433738129687e-08
16,log_v_m_s,0.01,-5.1402725409102364e-08
16,log_h_m,0.01,-1.8268421796847814e-08
16,log_tau_s,0.001,3.3300601922219744e-09
16,log_f_Hz,0.001,2.229377834751794e-08
16,log_v_m_s,0.001,-5.1447943119000086e-08
16,log_h_m,0.001,-1.81265955988875e-08
16,log_tau_s,0.0001,3.3300015559294494e-09
16,log_f_Hz,0.0001,2.2295258622594348e-08
16,log_v_m_s,0.0001,-5.145047662698404e-08
16,log_h_m,0.0001,-1.8111031333865847e-08
16,log_tau_s,1e-05,3.32998767226535e-09
16,log_f_Hz,1e-05,2.228917101083141e-08
16,log_v_m_s,1e-05,-5.1444048589701747e-08
16,log_h_m,1e-05,-1.811185215630499e-08
16,log_tau_s,1e-06,3.329987668956628e-09
16,log_f_Hz,1e-06,2.2288775396152465e-08
16,log_v_m_s,1e-06,-5.144376477609265e-08
16,log_h_m,1e-06,-1.8114414264872568e-08
17,log_tau_s,0.01,1.1828524077199681e-09
17,log_f_Hz,0.01,5.44769407324213e-09
17,log_v_m_s,0.01,-1.1519373964935773e-08
17,log_h_m,0.01,-8.288269451928537e-09
17,log_tau_s,0.001,1.182707124939875e-09
17,log_f_Hz,0.001,5.439819124025614e-09
17,log_v_m_s,0.001,-1.151599181475496e-08
17,log_h_m,0.001,-8.252338366397212e-09
17,log_tau_s,0.0001,1.182695166040689e-09
17,log_f_Hz,0.0001,5.436855018395757e-09
17,log_v_m_s,0.0001,-1.1512050097777222e-08
17,log_h_m,0.0001,-8.258930598787898e-09
17,log_tau_s,1e-05,1.1826951662392124e-09
17,log_f_Hz,1e-05,5.436080318058643e-09
17,log_v_m_s,1e-05,-1.1511678770692699e-08
17,log_h_m,1e-05,-8.261301129777892e-09
17,log_tau_s,1e-06,1.182695160283512e-09
17,log_f_Hz,1e-06,5.436080304823754e-09
17,log_v_m_s,1e-06,-1.1511678763248075e-08
17,log_h_m,1e-06,-8.261153433867107e-09
18,log_tau_s,0.01,3.0082486935366235e-09
18,log_f_Hz,0.01,1.6671505984951758e-08
18,log_v_m_s,0.01,-3.5077987726083337e-08
18,log_h_m,0.01,-3.8598765252553575e-08
18,log_tau_s,0.001,3.008285941983856e-09
18,log_f_Hz,0.001,1.6684296652303812e-08
18,log_v_m_s,0.001,-3.509261718324096e-08
18,log_h_m,0.001,-3.883501443989498e-08
18,log_tau_s,0.0001,3.008263479623007e-09
18,log_f_Hz,0.0001,1.6684175124483316e-08
18,log_v_m_s,0.0001,-3.5090810749664504e-08
18,log_h_m,0.0001,-3.881570564400588e-08
18,log_tau_s,1e-05,3.00826348101267e-09
18,log_f_Hz,1e-05,1.667844197953137e-08
18,log_v_m_s,1e-05,-3.508527595243258e-08
18,log_h_m,1e-05,-3.880993220556429e-08
18,log_tau_s,1e-06,3.008263485644882e-09
18,log_f_Hz,1e-06,1.6678628091860472e-08
18,log_v_m_s,1e-06,-3.5085461476470834e-08
18,log_h_m,1e-06,-3.880910506068594e-08
19,log_tau_s,0.01,1.0615412114428386e-08
19,log_f_Hz,0.01,5.865431759524605e-08
19,log_v_m_s,0.01,-1.0913090400904157e-07
19,log_h_m,0.01,-1.0568600642822064e-07
19,log_tau_s,0.001,1.0615370555161816e-08
19,log_f_Hz,0.001,5.862492118078207e-08
19,log_v_m_s,0.001,-1.0915086006513746e-07
19,log_h_m,0.001,-1.053072478487773e-07
19,log_tau_s,0.0001,1.061547621303257e-08
19,log_f_Hz,0.0001,5.8588758191580686e-08
19,log_v_m_s,0.0001,-1.0911289208753017e-07
19,log_h_m,0.0001,-1.0527822827753911e-07
19,log_tau_s,1e-05,1.0615493564105447e-08
19,log_f_Hz,1e-05,5.858281196324858e-08
19,log_v_m_s,1e-05,-1.0910723349067582e-07
19,log_h_m,1e-05,-1.0528398972947187e-07
19,log_tau_s,1e-06,1.0615493589251739e-08
19,log_f_Hz,1e-06,5.8578618673703644e-08
19,log_v_m_s,1e-06,-1.0910247831917835e-07
19,log_h_m,1e-06,-1.052788664043683e-07
20,log_tau_s,0.01,1.4831406794431433e-09
20,log_f_Hz,0.01,7.859060135140676e-09
20,log_v_m_s,0.01,-1.2690838646739201e-08
20,log_h_m,0.01,-1.4982053692243455e-08
20,log_tau_s,0.001,1.483119200295971e-09
20,log_f_Hz,0.001,7.881968549320487e-09
20,log_v_m_s,0.001,-1.270675610962864e-08
20,log_h_m,0.001,-1.4838884471122036e-08
20,log_tau_s,0.0001,1.483118305084716e-09
20,log_f_Hz,0.0001,7.879277311089645e-09
20,log_v_m_s,0.0001,-1.2704165942800208e-08
20,log_h_m,0.0001,-1.484615692524565e-08
20,log_tau_s,1e-05,1.483118305117803e-09
20,log_f_Hz,1e-05,7.884553621526982e-09
20,log_v_m_s,1e-05,-1.2709442123998846e-08
20,log_h_m,1e-05,-1.4845717572084865e-08
20,log_tau_s,1e-06,1.4831183062758561e-09
20,log_f_Hz,1e-06,7.887174017872732e-09
20,log_v_m_s,1e-06,-1.271227731979365e-08
20,log_h_m,1e-06,-1.4845717554217765e-08
21,log_tau_s,0.01,1.0279264266359477e-09
21,log_f_Hz,0.01,5.852111883176449e-09
21,log_v_m_s,0.01,-1.2506623516606906e-08
21,log_h_m,0.01,-6.406933819437362e-11
21,log_tau_s,0.001,1.0278625180460686e-09
21,log_f_Hz,0.001,5.9076891421019125e-09
21,log_v_m_s,0.001,-1.2565199533235432e-08
21,log_h_m,0.001,1.1910615512033653e-11
21,log_tau_s,0.0001,1.0278692747716405e-09
21,log_f_Hz,0.0001,5.902487978439113e-09
21,log_v_m_s,0.0001,-1.2560302643449516e-08
21,log_h_m,0.0001,-1.2774524184554954e-11
21,log_tau_s,1e-05,1.0278692743911374e-09
21,log_f_Hz,1e-05,5.911318616123236e-09
21,log_v_m_s,1e-05,-1.2568976738410397e-08
21,log_h_m,1e-05,-1.4610822528077517e-11
21,log_tau_s,1e-06,1.0278692719095956e-09
21,log_f_Hz,1e-06,5.9121374612367575e-09
21,log_v_m_s,1e-06,-1.2569953631103762e-08
21,log_h_m,1e-06,-1.33032529697535e-11
22,log_tau_s,0.01,3.769887171328928e-10
22,log_f_Hz,0.01,2.7185180847530724e-09
22,log_v_m_s,0.01,-4.103009690758346e-09
