factor,factor_value,factor_native,W50_hat_um,note
log10_tau,2.3483048630481607,223.0,5.995633214494752,
log10_tau,2.3804524304399504,240.13332283441218,5.986018157450639,
log10_tau,2.41259999783174,258.5830167511033,5.976403100406525,
log10_tau,2.44474756522353,278.4502199147487,5.966788043362412,
log10_tau,2.47689513261532,299.8438410408136,5.957172986318298,
log10_tau,2.5090427000071096,322.88115641508455,5.9475579292741845,
log10_tau,2.5411902673988993,347.68845278283334,5.937942872230071,
log10_tau,2.573337834790689,374.40171963182695,5.928327815185957,
log10_tau,2.605485402182479,403.1673946641644,5.918712758141844,
log10_tau,2.637632969574269,434.1431665434918,5.90909770109773,
log10_tau,2.6697805369660585,467.4988393181269,5.8994826440536166,
log10_tau,2.7019281043578482,503.41726325871196,5.889867587009503,
log10_tau,2.734075671749638,542.0953372130966,5.880252529965389,
log10_tau,2.766223239141428,583.7450879731938,5.870637472921276,
log10_tau,2.798370806533218,628.5948325707143,5.861022415877162,
log10_tau,2.8305183739250075,676.8904298733032,5.8514073588330495,
log10_tau,2.862665941316797,728.8966283421075,5.841792301788936,
log10_tau,2.8948135087085873,784.8985173389688,5.832177244744822,
log10_tau,2.926961076100377,845.2030899390586,5.822562187700709,
log10_tau,2.9591086434921667,910.1409258160479,5.812947130656595,
log10_tau,2.9912562108839564,980.0680034250935,5.803332073612482,
log10_tau,3.023403778275746,1055.367651417739,5.793717016568368,
log10_tau,3.055551345667536,1136.4526499860597,5.784101959524254,
log10_tau,3.087698913059326,1223.7674936552735,5.774486902480141,
log10_tau,3.1198464804511157,1317.7908279290639,5.764871845436027,
log10_tau,3.1519940478429054,1419.0380731449204,5.755256788391914,
log10_tau,3.184141615234695,1528.0642499230107,5.7456417313478,
log10_tau,3.216289182626485,1645.4670216972495,5.7360266743036865,
log10_tau,3.248436750018275,1771.8899710071944,5.726411617259573,
log10_tau,3.2805843174100646,1908.0261275108874,5.716796560215459,
log10_tau,3.3127318848018543,2054.6217670585884,5.707181503171346,
log10_tau,3.344879452193644,2212.4805026533204,5.697566446127233,
log10_tau,3.3770270195854337,2382.467689724181,5.6879513890831195,
log10_tau,3.4091745869772234,2565.5151698614036,5.678336332039006,
log10_tau,3.4413221543690136,2762.6263790175376,5.668721274994892,
log10_tau,3.4734697217608033,2974.8818481770472,5.659106217950779,
log10_tau,3.5056172891525934,3203.4451266481274,5.649491160906665,
log10_tau,3.537764856544383,3449.5691604471717,5.639876103862552,
log10_tau,3.569912423936173,3714.6031607412237,5.630261046818438,
log10_tau,3.6020599913279625,4000.000000000001,5.620645989774324,
frequency_kHz,2.0,2.0,5.861877043439824,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,2.9743589743589745,2.9743589743589745,5.854428049484502,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,3.948717948717949,3.948717948717949,5.846979055529181,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,4.923076923076923,4.923076923076923,5.83953006157386,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,5.897435897435898,5.897435897435898,5.832081067618538,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,6.871794871794871,6.871794871794871,5.824632073663217,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,7.846153846153846,7.846153846153846,5.817183079707895,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,8.820512820512821,8.820512820512821,5.8097340857525746,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,9.794871794871796,9.794871794871796,5.802285091797253,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,10.769230769230768,10.769230769230768,5.794836097841931,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,11.743589743589743,11.743589743589743,5.78738710388661,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,12.717948717948717,12.717948717948717,5.7799381099312885,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,13.692307692307692,13.692307692307692,5.772489115975968,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,14.666666666666666,14.666666666666666,5.765040122020646,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,15.64102564102564,15.64102564102564,5.757591128065324,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,16.615384615384613,16.615384615384613,5.750142134110003,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,17.58974358974359,17.58974358974359,5.742693140154682,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,18.564102564102562,18.564102564102562,5.73524414619936,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,19.538461538461537,19.538461538461537,5.727795152244039,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,20.51282051282051,20.51282051282051,5.720346158288717,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,21.487179487179485,21.487179487179485,5.712897164333397,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
frequency_kHz,22.46153846153846,22.46153846153846,5.705448170378075,f (Ep-coupled): P fixed 5.333 W -> f and Ep=P/f not separable
