dataset_index,session_id,measurement_id,sample_id,shared_height_source_id,roi_within_measurement,session_role,design_group,processing_order,x_position_um,y_position_um,compressor_steps,pulse_duration_fs,pulse_duration_calibration_id,pulse_duration_calibration_version,frequency_kHz,hatch_spacing_um,pass_count,velocity_mm_s,valid_fraction,repair_fraction,median_depth_um,residual_Sq_um,plane_rmse_um,plane_status,measured_power_W,nominal_software_power_W,power_measurement_source,power_measurement_version,constant_power_assumption,pulse_energy_proxy_uJ,scan_spacing_um,areal_pulse_density_per_mm2,areal_dose_proxy_J_per_mm2,quad_key,base_condition_group,cv_process_group,phase1_global_loco_rank,phase1_global_loco_angle_deg,D,A_med,ilr_z1,ilr_z2,ilr_z3,ilr_z4,A2_8_16,entropy_8_16,A2_16_32,entropy_16_32,component_id,base_family_key,outer_fold
10,zro2_120_formal,11,11,zro2_120_formal:m011,single,formal,,11,-3300.0,10400.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,6.0,4,3,1.0,0.0066015625,46.2398,2.2115,0.2143737188396115,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.3,2222222.222222222,1185.177777777778,500:10:6:3,F11,FQ:500:10:6:3|N4,54,0.0881687025231637,46.23984718322754,2.211524272470053,-1.0693823617288014,-0.4791575463955627,-0.7846029821962841,0.659679389227135,0.4833962749584012,0.8710710101023688,0.5169843612886968,0.6522315112686391,cb9be340a74e68176b7e3bd98e6f419817eaebc6abb8ea912bdbf7a5c5c10579,500|10|3|6,1
11,zro2_120_formal,12,12,zro2_120_formal:m012,single,formal,,12,-3300.0,9800.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,4,11,1.0,0.0,17.7364,0.7303,0.2242805796720924,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,1.1,454545.4545454545,242.4227272727273,500:10:8:11,F12,FQ:500:10:8:11|N4,78,0.0363382800183226,17.736404418945312,0.730294028634613,-0.6477430447006477,-1.0402091290257125,-1.1914683288795629,-1.847647895474752,0.814635835404978,0.4137629142447426,0.3546470817431268,0.6910102390670603,96862a41ec960ce1e9ac06b48dad2308ccd05ed8299c6010ee55bc2d7729a83b,500|10|11|8,2
12,zro2_120_formal,13,13,zro2_120_formal:m013,single,formal,,13,-3300.0,9200.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,5,7,1.0,0.000546875,30.7015,1.189,0.2345113577783851,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.7,892857.1428571428,476.1875,500:10:8:7,F13,FQ:500:10:8:7|N5,117,0.0169157404821408,30.701452255249023,1.188968102091062,-0.4550582648679613,-0.4873426315596991,0.6869775363330244,0.6925344746327072,0.5767620748559564,0.8460415028747486,0.4679651508591732,0.7682458269695638,0ab16dbb0eafab9ea903793e46df86153f53035cd04d0ae8f2ae7b57a528fb9c,500|10|7|8,1
13,zro2_120_formal,14,14,zro2_120_formal:m014,single,formal,,14,-3300.0,8600.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,10.0,2,9,1.0,0.0,7.0837,1.3309,0.3166453639961955,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.9,222222.22222222225,118.51777777777778,500:10:10:9,F14,FQ:500:10:10:9|N2,142,0.0073419636179192,7.083702087402344,1.3308509546385214,3.0600869399523143,-1.614473056844414,0.7468216377069951,-0.0535991796497234,0.9553992553647612,0.3072768389189138,0.3476069154858398,0.756633739150059,f53192358bead2012e60074318af5f16d7b1dd6ebc9b1930f8b56ed817ac2f20,500|10|9|10,3
14,zro2_120_formal,15,15,zro2_120_formal:m015,single,formal,,15,-3300.0,8000.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,8.0,1,7,1.0,0.0,6.0985,1.6924,0.2421730049755652,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.14,892857.1428571428,95.2375,500:50:8:7,F15,FQ:500:50:8:7|N1,26,0.3524597714449039,6.098482370376587,1.69238254747746,-0.566078143110154,-0.7364016366033703,0.3970158696094973,-0.502038541508528,0.1174318430190041,0.8807898326788057,0.2150842800685299,0.7337771820648412,5d358d88eb01d2343e2814639067c269c27e39a1913ae399dbdce8aae7ccfc5a,500|50|7|8,2
15,zro2_120_formal,16,16,zro2_120_formal:m016,single,formal,,16,-3300.0,7400.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,8.0,4,11,1.0,0.0,46.0401,0.6027,0.2159776237265324,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.22,2272727.272727273,242.4227272727273,500:50:8:11,F16,FQ:500:50:8:11|N4,72,0.0482519992231047,46.04010391235352,0.6026683783055695,-0.4460481891914988,-0.3389628473394496,-0.2319472687064604,-1.7498312827476878,0.3098334398959712,0.8899661466723884,0.338270343883057,0.6776020995416395,8320198d6b750dba772a0e6acbad0f0e283bed44595fb3a4adb50c6d6af03770,500|50|11|8,4
16,zro2_120_formal,17,17,zro2_120_formal:m017,single,formal,,17,-3300.0,6800.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,2.0,2,3,1.0,0.0,54.5754,1.928,0.2287132441825644,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.03,33333333.33333333,1777.7666666666669,500:100:2:3,F17,FQ:500:100:2:3|N2,45,0.1273724032407027,54.575416564941406,1.9279678704881544,0.503819970047946,-0.7097346951888869,1.1144419487077708,1.83118975872116,0.6126238653005717,0.822723822343662,0.651110652809587,0.6844924109616968,87f152dade804f5b19b9d4681d676dc2747996a88f5f39ce329846617e1222ea,500|100|3|2,1
17,zro2_120_formal,18,18,zro2_120_formal:m018,single,formal,,18,-3300.0,6200.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,4.0,1,9,1.0,0.0,5.3911,0.8637,0.1926528012095498,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.09,2777777.777777778,148.14722222222224,500:100:4:9,F18,FQ:500:100:4:9|N1,110,0.0195919286842592,5.391144275665283,0.8637443696690362,-0.0882961142728812,-0.724579808766412,0.5637714881817464,0.1362723081173578,0.1832275618522172,0.8920781841784104,0.433580975657529,0.7395207141202675,26611906f033b61bf220bf93ad35552a42e2ec4d6d54372da30f5a0f3bb7deec,500|100|9|4,1
18,zro2_120_formal,19,19,zro2_120_formal:m019,single,formal,,19,-3300.0,5600.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,4.0,1,11,1.0,0.0,6.0179,0.7175,0.2153976920165637,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.11,2272727.272727273,121.21136363636364,500:100:4:11,F19,FQ:500:100:4:11|N1,115,0.017448762447515,6.017935276031494,0.7175478934782686,0.2176716475603831,-0.716092802014121,0.6033054324478799,-0.1522369643845645,0.1760543368890682,0.914039619119674,0.5892694189486222,0.646810200340059,02495b203f4e92e4d84d061078678dfd5ea9465249cd1858a9b84e7b7ffaaf24,500|100|11|4,4
19,zro2_120_formal,20,20,zro2_120_formal:m020,single,formal,,20,-3300.0,5000.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,4.0,5,3,1.0,0.018671875,63.1156,9.0641,0.3106539926611552,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.03,41666666.66666666,2222.208333333333,500:100:4:3,F20,FQ:500:100:4:3|N5,4,12.712658142651984,63.11563491821289,9.064103038694258,-2.4535606470030067,-0.5077967197971742,-1.8037453384168265,-1.5364703840891316,0.2274017509359163,0.891137705691211,0.2080615031570482,0.7581119696813389,ba76e90434e71d41c24161680085b4277285f7a175516149b86a70da126f2240,500|100|3|4,0
