point,descriptor,split_1,split_2,split_4,rel_change_finest,passed
0,mean_depth_m,1.1811597199330623e-07,1.9851500459364152e-07,3.307854656659869e-07,0.6662995643231192,False
0,depth_rms_m,2.6915650955456624e-08,4.423731558820374e-08,7.315542605565196e-08,0.6537040071925044,False
1,mean_depth_m,7.561343454382332e-08,1.3237615543389527e-07,2.305794679493389e-07,0.7418504653920354,False
1,depth_rms_m,1.6434594364887594e-08,2.8755681967743146e-08,5.014070457418075e-08,0.7436798970869958,False
2,mean_depth_m,1.6403425100214562e-07,2.816490805037349e-07,4.81519871908789e-07,0.7096447502955849,False
2,depth_rms_m,4.596849045131137e-08,8.147043584089142e-08,1.44542219918324e-07,0.7741677508711174,False
