point,descriptor,grid_40,grid_80,grid_160,rel_change_finest,passed
0,mean_depth_m,1.1817138656504556e-07,1.1811597199330623e-07,1.1810351774762138e-07,0.00010544082628856004,True
0,depth_rms_m,2.6798084862291342e-08,2.6915650955456624e-08,2.6945798224863213e-08,0.001120064658903504,True
1,mean_depth_m,7.56478870281259e-08,7.561343454382332e-08,7.560402449872551e-08,0.0001244493806501507,True
1,depth_rms_m,1.6361386601559478e-08,1.6434594364887594e-08,1.6427121626023563e-08,0.0004546956680595551,True
2,mean_depth_m,1.6404192286974348e-07,1.6403425100214562e-07,1.640045896287993e-07,0.00018082426788977487,True
2,depth_rms_m,4.5669405606165434e-08,4.596849045131137e-08,4.6083915068477797e-08,0.0025109507846179722,True
