"session_id","measurement_id","sample_id","roi_within_measurement","theta_session_deg","center_x_um","center_y_um","manual_width_um","manual_height_um","status"
"zro2_120_formal","1","1","single","-0.7000000000025182","11.047183507313195","3.3496569435690215","202.0400990658623","206.14660514443682","PASS"
"zro2_120_formal","2","2","single","-0.7000000000025182","0.5763745053030672","3.477588373458819","204.09335210514962","210.25311122301125","PASS"
"zro2_120_formal","3","3","single","-0.7000000000025182","1.2378404071265892","24.003569497796775","205.73595453657936","207.7892075758666","PASS"
"zro2_120_formal","4","4","single","-0.7000000000025182","4.659997979248059","1.5796293613825874","206.55725575229422","205.7359545365794","PASS"
"zro2_120_formal","5","5","single","-0.7000000000025182","-13.499709605729677","11.041831368258034","199.57619541871765","206.96790636015174","PASS"
"zro2_120_formal","6","6","single","-0.7000000000025182","-9.817091202905686","1.9447380821360136","203.97064579256363","202.01565557729944","PASS"
"zro2_120_formal","7","7","single","-0.7000000000025182","-16.218908539532194","6.968241731951442","197.52294237943045","206.14660514443685","PASS"
"zro2_120_formal","8","8","single","-0.7000000000025182","8.478108446930984","-5.2432607216417315","206.96790636015163","205.32530392872192","PASS"
"zro2_120_formal","9","9","single","-0.7000000000025182","15.799414570154635","5.755682142327013","205.73595453657936","210.25311122301125","PASS"
"zro2_120_formal","10","10","single","-0.7000000000025182","4.261920315432914","2.6111961823596723","205.7359545365793","206.14660514443682","PASS"
"zro2_120_formal","11","11","single","-0.7000000000025182","4.86530795967964","1.5771209019729837","205.32530392872195","205.7359545365794","PASS"
"zro2_120_formal","12","12","single","-0.7000000000025182","-2.851183676793552","8.65298169421138","196.29099055585817","205.73595453657938","PASS"
"zro2_120_formal","13","13","single","-0.7000000000025182","10.756969598111034","13.209552923103683","206.9679063601517","208.6105087915815","PASS"
"zro2_120_formal","14","14","single","-0.7000000000025182","-1.8246337746357317","8.640439397163336","207.37855696800915","207.37855696800918","PASS"
"zro2_120_formal","15","15","single","-0.7000000000025182","2.302017200428464","27.07067690722236","207.7892075758665","204.9146533208645","PASS"
"zro2_120_formal","16","16","single","-0.7000000000025182","-21.148089146987658","40.49898848694736","209.8424606151538","209.84246061515384","PASS"
"zro2_120_formal","17","17","single","-0.7000000000025182","-3.1815229051726357","11.639345926896167","200.06066536203525","207.228962818004","PASS"
