dataset_index,target_block,band_valid,band_energy,undefined_reason
0,ILR,True,7938.0049931046515,
0,8_16,True,277.04393429529443,
0,16_32,True,380.0316389341438,
1,ILR,True,1563.9886228281428,
1,8_16,True,320.3324400574595,
1,16_32,True,156.5209582975133,
2,ILR,True,1501.1521701167871,
2,8_16,True,374.8931414367854,
2,16_32,True,151.72339122007205,
3,ILR,True,3153.707094165356,
3,8_16,True,1299.116481038174,
3,16_32,True,156.44511072669536,
4,ILR,True,3748.272945089809,
4,8_16,True,1615.8529318911947,
4,16_32,True,328.6724190254587,
5,ILR,True,13325.220167700292,
5,8_16,True,11674.892130343165,
5,16_32,True,210.9752342416972,
6,ILR,True,18976.199810508784,
6,8_16,True,16701.90508754729,
6,16_32,True,378.38440015730134,
7,ILR,True,30124.260366121307,
7,8_16,True,23649.86614545992,
7,16_32,True,820.6604938001653,
8,ILR,True,2938.9833881877285,
8,8_16,True,2284.2008064770434,
8,16_32,True,1227.2085949589639,
9,ILR,True,18004.03679287837,
9,8_16,True,6677.250599968055,
9,16_32,True,5287.747779164965,
10,ILR,True,112881.74759805015,
10,8_16,True,22763.96394485057,
10,16_32,True,39562.640282614906,
11,ILR,True,13169.95282685664,
11,8_16,True,1230.3296015595597,
11,16_32,True,514.9998913846553,
12,ILR,True,35333.487426464344,
12,8_16,True,9538.714088615088,
12,16_32,True,25358.314499266777,
13,ILR,True,43459.81074380423,
13,8_16,True,40130.0292381839,
13,16_32,True,1099.7704443289524,
14,ILR,True,73046.54664255623,
14,8_16,True,17241.34003208975,
14,16_32,True,28011.920639801898,
15,ILR,True,9293.288386024167,
15,8_16,True,1202.7494224368784,
15,16_32,True,774.0742123610978,
16,ILR,True,93456.52604152329,
16,8_16,True,85697.24389048622,
16,16_32,True,87880.74754596998,
17,ILR,True,18938.819777038763,
17,8_16,True,5857.756562673634,
17,16_32,True,6107.58303467311,
18,ILR,True,13175.03454924543,
18,8_16,True,5811.861600597746,
18,16_32,True,5562.276430855695,
19,ILR,True,2099780.027348375,
19,8_16,True,9830.32745623919,
19,16_32,True,23652.617303276522,
20,ILR,True,45648.556543,
20,8_16,True,17231.74800207791,
20,16_32,True,10470.746219471685,
21,ILR,True,47585.90093745089,
21,8_16,True,9380.625363707943,
21,16_32,True,16515.68261591463,
22,ILR,True,1060547.312281576,
22,8_16,True,15152.625258382388,
22,16_32,True,59233.408585621786,
23,ILR,True,1168868.817615718,
23,8_16,True,34882.1384276632,
23,16_32,True,190003.24542321902,
24,ILR,True,7900.159019486758,
24,8_16,True,1707.2752544010723,
24,16_32,True,1153.0224520578945,
25,ILR,True,1643.376337112169,
25,8_16,True,665.1671600975583,
25,16_32,True,82.48387723494669,
26,ILR,True,77136.78240470357,
26,8_16,True,26083.391880364525,
26,16_32,True,42536.543215494276,
27,ILR,True,2655.483832106832,
27,8_16,True,1334.4100496037217,
27,16_32,True,568.0230442878518,
28,ILR,True,6879.586384126549,
28,8_16,True,429.40584509515446,
28,16_32,True,201.85380282893863,
29,ILR,True,2861.172881001232,
29,8_16,True,1679.6948578463055,
29,16_32,True,441.6957272544431,
30,ILR,True,7197.161560326724,
30,8_16,True,3363.964390323884,
30,16_32,True,985.9596943464461,
31,ILR,True,18899.602672569104,
31,8_16,True,4732.1408604117405,
31,16_32,True,1854.4765625992684,
32,ILR,True,19191.249318355105,
32,8_16,True,1162.1598025604048,
32,16_32,True,754.1155299375782,
33,ILR,True,8690.623588994082,
33,8_16,True,1306.1859360215233,
33,16_32,True,432.37150407662335,
34,ILR,True,244884.133875283,
34,8_16,True,55513.39758921077,
34,16_32,True,89374.20487020712,
35,ILR,True,14954.340098717628,
35,8_16,True,2645.9589289235396,
35,16_32,True,3238.0077674317286,
36,ILR,True,84125.86012089289,
36,8_16,True,7272.5849268155935,
36,16_32,True,5163.265048124293,
37,ILR,True,3389202.167200614,
37,8_16,True,364571.8079117459,
37,16_32,True,949042.2885378776,
38,ILR,True,30950.832250763393,
38,8_16,True,6382.898403817764,
38,16_32,True,5710.252190947195,
39,ILR,True,99742.87932464978,
39,8_16,True,23932.697453745517,
