point,descriptor,packet_1,packet_2,packet_4,packet_8,rel_change_finest,passed,corrected_rel_change_finest
0,mean_depth_m,3.8876096391094834e-09,3.8852627288336715e-09,3.880558079771598e-09,3.871105453967439e-09,0.0024358933972496,True,0.0006040544590189172
0,depth_rms_m,1.3218727657296485e-08,1.3212293575583367e-08,1.319939578218278e-08,1.3173481728130038e-08,0.0019632757802234,True,0.0004869768958969983
1,mean_depth_m,5.826069465793107e-09,5.8233404893552365e-09,5.817869945062462e-09,5.806878469446905e-09,0.0018892611418523,True,0.0004686273184367724
1,depth_rms_m,1.7236785332767844e-08,1.7230353713533725e-08,1.7217460925862074e-08,1.7191557181134462e-08,0.0015045043423738,True,0.00037327261767509717
2,mean_depth_m,4.4216112597001535e-09,4.4191761172112475e-09,4.414294561968384e-09,4.404486355053435e-09,0.0022219194431317,True,0.0005510399278774696
2,depth_rms_m,1.4282433176754361e-08,1.4276122673459784e-08,1.4263472537756537e-08,1.4238055793916356e-08,0.0017819464210344,True,0.0004420320165999407
