dataset_index,D_cell_um,D_rollout_um,A_cell_um,A_rollout_um,rel_error_D,rel_error_A,max_line_dd_over_zr,max_line_log_threshold_drift
78,0.0,0.0,0.0038970245596672464,0.000604433088476583,0.0,0.8448988249311435,0.0002243275017299127,0.026944872969675515
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08220441382406918
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01003664131311055
174,0.0,0.0,0.0018274032875723882,0.0006463248878851383,0.0,0.6463151334570773,0.00042533547854701185,0.007204764462731106
96,0.051892121904631584,-0.0528425719191671,0.03194017408675512,6.0652345946916785e-06,2.0183158826359477,0.9998101064014799,0.0036817574025533885,0.027458665004591154
74,0.0,0.0,0.006099473406642473,0.003993942762410447,0.0,0.3451987579680326,0.0020628628874551623,0.016568220292565883
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012529914737541503
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0502057423482114
195,0.0,0.0,0.008700744324659752,0.004381425050447245,0.0,0.49643100785879224,0.0008944857701471331,0.014357247542470475
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02314976177047612
176,0.0,0.0,0.0001047298184750841,0.0,0.0,0.1047298184750841,0.0,0.015082009008622776
171,0.015988634281028532,-0.03127504265139148,0.034088809314975356,2.2130145913039403e-06,2.956079681458546,0.9999350809067323,0.002151730414032392,0.01656822446237527
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023149720602830826
77,0.0,0.0,0.002139412790171515,0.00029029353363928376,0.0,0.8643115835462444,0.0001734476280507394,0.026944876537424278
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053605849376182846
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01003664131311055
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08576248913478324
108,0.0,0.0,0.001920188045472931,0.0002635588328763041,0.0,0.862743217520974,0.0001734472701857441,0.026944872969675515
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024187850569322933
102,0.0,0.0,0.01830285189628642,0.007947998211264105,0.0,0.5657508318210932,0.0009617659730445729,0.007565610273665868
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08220442924367077
73,0.0,-0.017622746928576807,0.03661536407206205,5.763667252076194e-07,17.622746928576806,0.9999842588831269,0.0009622956009914389,0.007565613758263368
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02418786626356706
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029481575067141108
