model_id,variant,P_Aitchison_RMSE,P_group_balanced_Q2
GAM,C1,1.8306192671990675,0.07819872717145282
GAM,C2,1.8054706202725939,0.10335176708695237
GAM,C3,1.7198719790326824,0.1863577593082688
GAM,C4,1.7159044612696892,0.19010736001735784
GAM,M_D,1.70045262977324,0.20462795685724566
GAM,M_Dh,1.655044819843179,0.2465390235599657
GAM,M_U,1.6707291970311053,0.23219069676801074
GAM,M_UD,1.65427687355663,0.2472380781254344
GAM,M_UDhat,1.6304970217268213,0.26872409291615806
Ridge,C1,1.8331560301964107,0.07564220260800836
Ridge,C2,1.8197433162309264,0.08911927664589181
Ridge,C3,1.7020232678013703,0.20315797352213338
Ridge,C4,1.643704991503271,0.2568285906744211
Ridge,M_D,1.7039082207468201,0.20139202651718457
Ridge,M_Dh,1.6842301702062974,0.2197313984466075
Ridge,M_U,1.620430304795836,0.27772603808507257
Ridge,M_UD,1.625980015041733,0.2727702244680027
Ridge,M_UDhat,1.620685376008187,0.27749863454361445
