job,vector,D_um,A_um,implausible_depth,all_finite,accepted,failure
domain_P11_73_w0.874_r3,"[5.206167282187046, -15.717758047537087, -4.6312977576270855, -3.3109764433109206, 0.8706924883573022, -0.4699561356243236]",3.092311366251228,732.0707490030327,False,True,True,
domain_P11_70_w0.874_r0,"[8.59297158531182, -16.08402331190966, -8.108870081298226, -0.34277407133386806, 0.2240306717857834, -0.64579142092614]",1226.17490160824,770.6928470522354,True,True,True,
domain_P11_73_w3.0_r3,"[5.206167282187046, -15.717758047537087, -4.6312977576270855, -3.3109764433109206, 0.8706924883573022, -0.4699561356243236]",41.28910556030956,3.788828567207657,False,True,True,
domain_P11_70_w2.0_r1,"[8.59297158531182, -16.08402331190966, -8.108870081298226, -0.34277407133386806, 0.2240306717857834, -0.64579142092614]",92.50746529979915,12.723893156413459,False,True,True,
domain_P11_70_w2.0_r0,"[8.59297158531182, -16.08402331190966, -8.108870081298226, -0.34277407133386806, 0.2240306717857834, -0.64579142092614]",1001.2308063230163,145.08861840591442,True,True,True,
domain_P11_74_w0.874_r3,"[15.537527001670004, -16.675140568862894, -6.025765313024287, 0.016734934605111107, -0.0511401659893691, -0.3472302535522306]",-0.0,0.3373966382610797,False,True,True,
domain_P11_74_w0.874_r1,"[15.537527001670004, -16.675140568862894, -6.025765313024287, 0.016734934605111107, -0.0511401659893691, -0.3472302535522306]",-0.0,0.7977356947705981,False,True,True,
domain_P11_74_w0.874_r0,"[15.537527001670004, -16.675140568862894, -6.025765313024287, 0.016734934605111107, -0.0511401659893691, -0.3472302535522306]",-0.0,0.9173180861530146,False,True,True,
domain_P11_74_w2.0_r3,"[15.537527001670004, -16.675140568862894, -6.025765313024287, 0.016734934605111107, -0.0511401659893691, -0.3472302535522306]",0.358211411974479,0.33117193362509284,False,True,True,
domain_P11_74_w2.0_r1,"[15.537527001670004, -16.675140568862894, -6.025765313024287, 0.016734934605111107, -0.0511401659893691, -0.3472302535522306]",1.28055743451003,0.3429767592617089,False,True,True,
