dataset_index,D_finite_um,D_rollout_um,A_finite_um,A_rollout_um,rel_error_D,rel_error_A,max_line_dd_over_zr,max_line_log_threshold_drift
78,0.0,0.0,0.003836620190712112,0.000604433088476583,0.0,0.6464374204471058,0.0002243275017299127,0.026944872969675515
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08220441382406918
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01003664131311055
174,0.0,0.0,0.0018411713971766032,0.0006463248878851383,0.0,0.23896930185829293,0.00042533547854701185,0.007204764462731106
96,0.04754078551663814,0.05284257191916711,0.03079158388402425,6.0652345946916785e-06,0.10603572805057943,0.9998030229747994,0.0036817574025533885,0.027458665004591154
74,0.0,0.0,0.006012945189480156,0.003993942762410447,0.0,0.3357759572799732,0.0020628628874551623,0.016568220292565883
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012529914737541503
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0502057423482114
195,0.0,0.0,0.008790075148960824,0.004381425050447245,0.0,0.5015486243066735,0.0008944857701471331,0.014357247542470475
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02314976177047612
176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015082009008622776
171,0.01163825621159894,0.03127504265139148,0.03595008027374622,2.2130145913039403e-06,0.3927357287958508,0.9999384420125227,0.002151730414032392,0.01656822446237527
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023149720602830826
77,0.0,0.0,0.0021135974609424956,0.00029029353363928376,0.0,0.36466078546064234,0.0001734476280507394,0.026944876537424278
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053605849376182846
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01003664131311055
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08576248913478324
108,0.0,0.0,0.001890459039895351,0.0002635588328763041,0.0,0.3253800414038094,0.0001734472701857441,0.026944872969675515
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024187850569322933
102,0.0,0.0,0.017613958642153274,0.007947998211264105,0.0,0.5487670674868533,0.0009617659730445729,0.007565610273665868
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08220442924367077
73,0.0,0.017622746928576807,0.03524426112073754,5.763667252076194e-07,0.35245493857153615,0.9999836465084845,0.0009622956009914389,0.007565613758263368
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02418786626356706
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029481575067141108
