dataset_index,D,A_med,ilr_z1,ilr_z2,ilr_z3,ilr_z4,A2_8_16,entropy_8_16,A2_16_32,entropy_16_32,composition_replacement_used
0,1.4999674602410316,0.01865474085173979,10.576303257195292,6.969274507075259,3.1223866165361858,2.4815457363540543,0.1837839039809042,0.946621637264074,0.20193307193707938,0.7564153303051991,False
1,1.4998321140413622,0.018601127170172732,9.148160102810294,6.770509357893235,2.1516468550618097,0.7458020322293482,0.22710114107728488,0.9520031142911928,0.23239352534340055,0.805925131309215,False
2,1.5002366252634303,0.018542171371921053,10.062335992945293,6.893067552225924,1.8619737577823614,0.7684607807413005,0.040370407522855874,0.9470235619719737,0.15700469153237806,0.8061223544663295,False
3,1.500105227993425,0.018625206126974683,10.582853182336246,7.160645540239558,3.1456243144525864,2.9980634883625568,0.07093181125827626,0.9537699679447071,0.10974264093251658,0.8255838402148088,False
4,1.4997933876153704,0.01846320169798775,10.45585388189911,6.881667505179156,3.402080811625136,2.396039492107577,0.07699925816444084,0.9530653318412152,0.047771036894424315,0.7813296016192932,False
5,1.5000683189491353,0.018585316989773427,9.836669687713355,7.291215912565478,2.2833447113537737,3.064558504972799,0.2227175731264829,0.9363034256351357,0.01080686570982576,0.8097863663720548,False
6,1.500093846257653,0.018528624784954574,9.89524099794765,7.359474013530037,2.4066949419989854,2.330512533704084,0.37248254205497416,0.9206578763578135,0.28147326901729625,0.7796654988932857,False
7,1.4998670482544587,0.01842407257637871,10.085345542748508,6.9322790233262666,2.755081682060897,2.143817965213878,0.16712368619862067,0.9325980648125891,0.23045193577220474,0.7970513938321033,False
8,1.4998334278443846,0.018330698028449777,9.851121494448558,6.739908537563808,2.610850548019852,1.0480126387066715,0.16260239602112259,0.9599087582095426,0.30508980027169497,0.7033422625623444,False
9,1.499758284307023,0.01853632598154925,9.978554285381334,7.008161760951848,2.6508075815773684,0.6059257162101369,0.18658683111439536,0.9409409560559846,0.23688322834177333,0.8117537091074692,False
10,1.5000860241117744,0.01845152236616108,9.804969048364889,7.1084397511350055,2.0864335231834223,1.5026596346143375,0.3413602111590805,0.9217651116416768,0.2522112458694991,0.7849710622239853,False
11,1.5001879538030929,0.018830127008695633,10.82606298432221,7.228329666488402,3.2922605606572293,0.9962302177856508,0.30239683461274514,0.9365237873765041,0.3939438772784916,0.7390227351673858,False
