dataset_index,h,c_obs,S_g_at_h,S_g_at_2h,line_id,measurable_2h
120,10.0,2,7845.280424970299,,105,False
154,4.0,0,10.04752387372534,6618.542741728173,116,True
143,4.0,0,11.95324714518232,1937.3675639452847,55,True
197,6.0,2,20.362768448012616,1138.3922838977714,112,True
161,8.0,2,4549.446596426795,,65,False
177,6.0,2,536.1681725514252,17579.651140595237,2,True
178,6.0,0,60.8154883487423,22776.20303058836,5,True
148,6.0,3,260.73774432115835,5609.64856814795,89,True
150,6.0,0,455.1124642736163,8740.626239154788,94,True
181,10.0,3,12559.811242645153,,56,False
170,2.0,0,0.0330952927922111,2.215457544838263,109,True
72,2.0,0,0.058786937649356816,20.034414488973553,27,True
164,10.0,2,7072.902123350334,,70,False
