n_phases,tv_w_constant,tv_w_period2_cglobal,delta_tv
16,0.6139660493827159,0.5030555555555556,0.11091049382716034
32,0.6151350308641975,0.49921296296296297,0.11592206790123455
64,0.6163734567901233,0.4982581018518518,0.11811535493827152
