version,group,n,delta_u_median_um,delta_u_mad_um,delta_u_q05_um,delta_u_q95_um,delta_v_median_um,delta_v_mad_um,delta_v_q05_um,delta_v_q95_um,radial_median_um,radial_q90_um,radial_q95_um,radial_max_um,frac_le_close,frac_close_to_moderate,frac_above_moderate
v3,PASS,126,0.07401078011713169,0.37875857063160057,-0.9447019369667089,1.7938620842796547,0.39670666559479173,0.46940574479349495,-0.8253542025324253,1.5667229048290696,0.8888870983353966,1.8879500606744333,2.846708536120246,4.240427734951012,0.9126984126984127,0.0873015873015873,0.0
v3,REVIEW,38,2.696122184388162,2.752275717226008,-0.37480712638886793,11.39349026600843,0.2953057287690486,0.6731865855349709,-7.530298966065715,1.671239097346831,4.7741025710906815,10.137491898012613,11.501903603325193,13.024798559230797,0.34210526315789475,0.15789473684210525,0.5
v3,STOP,36,0.7685318017146296,1.890489778142268,-8.91329092967313,42.418906970416955,0.10115184217130502,0.8223675557045161,-8.376871151674504,26.26614017516731,5.7197646971263545,44.644202625014344,72.23669806366829,81.07486584784577,0.3333333333333333,0.08333333333333333,0.5833333333333334
v4,PASS,161,0.7727326497319191,1.1231743540063623,-2.8038033891160756,3.1523526406334383,-1.1179209590612569,0.7905952390778577,-2.5662120163004944,1.7735646789434718,2.3227340237600487,3.3956999083639907,3.558859385290329,5.20306765420676,0.36645962732919257,0.6211180124223602,0.012422360248447204
v4,REVIEW,11,0.8056050565097621,0.8423330240036986,-2.820161766987507,2.5455963859632105,0.8203461170508319,1.0422462453014916,-1.7981575313504798,3.8859552245842286,2.025127195002963,3.9147481628108047,5.024772823351853,6.134797483892902,0.45454545454545453,0.45454545454545453,0.09090909090909091
v4,STOP,28,0.9749910520161933,4.143200442528034,-15.435239470352984,33.99744586876047,-0.3552147828400719,1.1017369422127237,-6.098222010154962,32.12633669517777,5.959288853360194,51.29056448607334,78.39891899278133,92.68870786687812,0.10714285714285714,0.32142857142857145,0.5714285714285714
v5,PASS,149,0.5620165045833119,0.6250090729809181,-1.089544518485917,2.356889293643963,-1.1455322572658666,0.41121348302448535,-2.1609416357672475,0.659735767074412,1.4633451387437775,2.4190185578425525,2.6282358746728707,5.542098509528249,0.7516778523489933,0.24161073825503357,0.006711409395973154
v5,REVIEW,24,-0.5408993519445744,1.1968894562432584,-2.0947283367660874,1.975498921734156,-0.7000817653082766,0.5972616680156732,-1.9085269154576063,1.5388233247043868,1.7924860162163083,3.0082651406095047,3.347387322539204,5.447985491953477,0.5833333333333334,0.375,0.041666666666666664
v5,STOP,27,-0.4404832208609548,2.5839274478667864,-15.713843784205281,29.44479551402742,-0.5730954033724345,0.885969497654191,-4.775978473581227,15.353572397593847,3.4907965340455793,46.60015360315758,67.28296367874904,79.06408547471781,0.3333333333333333,0.2222222222222222,0.4444444444444444
v6,PASS,190,0.27963681988260625,0.681321146150923,-1.5419316660039286,2.4969678603785974,-1.0000056930297023,0.5432211603458632,-2.4979397561072694,0.8563341201952855,1.441739244784127,2.8916988938091746,3.6919109074688503,6.273854260325191,0.7315789473684211,0.25263157894736843,0.015789473684210527
v6,REVIEW,2,-1.8508496736402975,1.5778547530921543,-3.270918951423236,-0.43078039585735883,-0.6339997822967708,0.4390956210756639,-1.0291858412648682,-0.2388137233286733,1.964069220116725,3.2669799119473275,3.4298437484261526,3.592707584904978,0.5,0.5,0.0
v6,STOP,8,2.848863202738014,5.199383441555536,-10.373989206941427,37.79745063857055,0.31255340880517135,0.2318539818359464,-1.9178631678026745,5.191492198549485,5.968050191841022,33.873089310567536,37.80010814824408,41.72712698592063,0.0,0.5,0.5
v7,PASS,183,0.46205550254765626,0.6189339659242444,-0.937255444289994,11.350347489258825,-0.5112821112673434,0.4940104177396418,-2.160630495484775,0.6484399326080226,1.1461713962988536,8.267303406526185,11.688042517803964,27.419291959208596,0.7431693989071039,0.08743169398907104,0.16939890710382513
v7,STOP,17,4.171574452601597,4.697934672718812,-18.8398340203589,29.227351169642393,-0.3187866927592893,0.876338504174619,-4.920857350517605,12.929616102338981,14.504564670887852,33.05259668603762,39.66486471838927,62.41969335295813,0.17647058823529413,0.23529411764705882,0.5882352941176471
