version,group,n,delta_u_median_um,delta_u_mad_um,delta_u_q05_um,delta_u_q95_um,delta_v_median_um,delta_v_mad_um,delta_v_q05_um,delta_v_q95_um,radial_median_um,radial_q90_um,radial_q95_um,radial_max_um,frac_le_close,frac_close_to_moderate,frac_above_moderate
v3,Q1,50,-0.02280306598830606,0.5862089095998804,-1.4788638436900985,3.960606116990816,0.13748550972687035,0.5264525172157963,-2.28550474485354,5.329845362066019,1.1360372520846338,5.972144727364838,30.487934367433738,79.3780257632153,0.68,0.16,0.16
v3,Q2,50,0.22709937023815274,0.6327175390930198,-0.9911336985166386,7.3623046671573,-0.03136799947199087,0.7045416806321896,-7.387901644042357,1.5285610445290279,1.1496626412101931,9.028947530046604,14.478314929622949,81.07486584784577,0.72,0.04,0.24
v3,Q3,50,0.4322962660484784,0.7631926957106554,-0.5759867096374796,15.080267420521904,0.5043212542285108,0.28645836676186975,-1.988440812273025,1.6180424696053293,1.1277503608785748,10.942209585981232,30.40830977522083,69.8562554971526,0.66,0.12,0.22
v3,Q4,50,0.1406387953172965,0.43933744202659497,-1.0160960001147608,11.283851430426502,0.5162378582078393,0.4894176069676366,-0.5401539639622345,1.6369487885830403,1.0278958502659044,10.908854689137069,12.010226512525524,21.496554713329203,0.74,0.08,0.18
v4,Q1,50,0.7293107497990894,1.4176033194328426,-3.174557363374751,4.6136771764329465,0.1435525598002778,1.1980486205488674,-2.2611187423185344,4.833308176536182,2.5962022166242242,6.296710487339626,31.620676959525184,79.16819776399943,0.36,0.48,0.16
v4,Q2,50,0.5928508772701342,1.5091751703756273,-3.5103662976964207,4.270354531210746,-0.4496356525346883,0.8590948652983084,-2.482385656739239,2.297232778198952,2.5183038978317063,5.312057553330451,11.544160547433064,92.68870786687812,0.34,0.54,0.12
v4,Q3,50,0.9736080630127208,1.2607128436622048,-3.2228077372210384,4.218149138323577,-1.2094475984679898,0.5498243784924561,-2.679222899126541,0.8969494306202362,2.506453093235359,3.7411692842162503,18.32332682335705,76.97025841766201,0.34,0.58,0.08
v4,Q4,50,0.6528757609816633,0.8937489719233938,-1.9415278777210543,2.6521729861802843,-1.8155756197881523,0.5680225640594911,-2.765580039832261,-0.4357359268605039,2.330417775243655,3.3756429959240486,3.469439755912015,21.762960498589944,0.3,0.68,0.02
v5,Q1,50,0.42744111837343723,0.5248691447942937,-1.076360821136934,2.926246067597879,-0.25580463823954247,0.6146421253917482,-1.4529630748629254,3.8833081765361754,1.2243831341901623,3.5951127882894243,19.654622007557695,67.41825431919702,0.74,0.16,0.1
v5,Q2,50,0.415230382462318,0.8241800993780748,-2.985321254158519,3.468318955111223,-1.0488825322680757,0.515743994391002,-2.1373402001437554,0.6566765029322137,1.6672401089391076,4.243351496500931,7.618186952492783,79.06408547471781,0.66,0.24,0.1
v5,Q3,50,0.5503206168105397,0.8861961921632222,-2.2687275775405396,3.7681491383235737,-1.2541278293271843,0.3744395429029721,-2.116736194140115,0.6704784138586792,1.8455389852800859,3.4037496577788353,12.41015553240085,66.96728551770374,0.58,0.36,0.06
v5,Q4,50,0.15621974760669,0.5630456371368391,-1.8608034681782697,2.027339954040935,-1.2125920139394482,0.30472086405350707,-2.3198513632015816,-0.06862978621997062,1.451876273524383,2.472715951316683,2.6078058461722637,20.728646064494903,0.72,0.26,0.02
v6,Q1,50,0.3364671515200257,0.7581432683313096,-0.9896616673771277,3.61868494177705,-0.3077284646152665,0.6006592050584314,-1.5560311687890165,1.893959531643801,1.3747593929234814,3.651010940888634,7.048705684721538,41.72712698592063,0.66,0.26,0.08
v6,Q2,50,0.27920764281521837,0.6733543689507115,-2.9056144494966047,2.846726821337266,-1.0000056930297023,0.5672080586968864,-2.4586061692167687,0.6596594068770449,1.5576300371229401,3.57517208417101,4.3719184058864835,6.038391452925873,0.7,0.26,0.04
v6,Q3,50,0.12165357988682668,0.8035077507222789,-3.273377474025716,2.0989901166939524,-1.3531073195269838,0.6575959122343564,-2.5505924257749077,0.8771296060420524,1.7299320760691943,3.8173343200209984,4.0929992454562045,13.880375877547916,0.62,0.36,0.02
v6,Q4,50,0.4120457629294554,0.582593153393143,-1.2587829108568558,1.8796549483405354,-1.0392470302180525,0.33880947933718186,-2.1915800630267257,0.022137655890846715,1.3464227047238977,2.288803429737397,2.9135084115383356,3.3906968486006774,0.82,0.18,0.0
v7,Q1,50,0.12511313966241966,0.518418761907069,-1.016614941886175,6.934588068432422,-0.43679600226828796,0.4928223528637895,-2.1076699800247534,1.3061146570397733,0.980025574408131,6.268406691564942,15.46825482249226,62.41969335295813,0.78,0.08,0.14
v7,Q2,50,0.5368132302293658,0.524549141947781,-0.6852251496643433,6.492935611931779,-0.9056667696234111,0.5826780049135707,-6.984026272695683,0.02065762096886685,1.2208277198617208,7.577302837017553,8.461372416535243,24.37427716353536,0.74,0.08,0.18
v7,Q3,50,0.6456702915015367,0.8031137889574886,-1.4538311977415632,20.48743258847071,-0.3747736287728207,0.38036422468681774,-2.0671329055970586,0.5938385055132331,1.2736150742425427,13.398066304314165,25.621100119624774,32.43688943689797,0.62,0.16,0.22
v7,Q4,50,0.6269719045597597,0.9884855754992219,-0.47560924034740504,16.495146569600664,-0.2213241436848694,0.4945156892798144,-1.2472190556991536,0.8715987244236041,1.2670898648453344,12.19893749255864,16.517760064496766,24.930120603535936,0.64,0.08,0.28
