variant,fold,model,target,metric,score,n_train,n_test,alpha
src_gkf,3,M0b_u_plus_logtau,lambda_star_4_32,R2,0.5466523702716368,77,19,1.0
src_gkf,4,M0b_u_plus_logtau,lambda_star_4_32,R2,-0.4068315080261262,78,18,0.1
src_gkf,0,M1_u_plus_What,p_8_16,R2,0.6300234591761249,80,21,10.0
src_gkf,1,M1_u_plus_What,p_8_16,R2,0.38641901915297794,81,20,10.0
src_gkf,2,M1_u_plus_What,p_8_16,R2,0.4785259837191953,81,20,10.0
src_gkf,3,M1_u_plus_What,p_8_16,R2,0.44880628585375737,81,20,3.1622776601683795
src_gkf,4,M1_u_plus_What,p_8_16,R2,0.4842770992717089,81,20,10.0
src_gkf,0,M1_u_plus_What,ilr_z2,R2,0.42150450587082733,80,21,31.622776601683793
src_gkf,1,M1_u_plus_What,ilr_z2,R2,0.39278582089855085,81,20,10.0
src_gkf,2,M1_u_plus_What,ilr_z2,R2,0.2503744372467438,81,20,3.1622776601683795
src_gkf,3,M1_u_plus_What,ilr_z2,R2,0.07202737466159792,81,20,0.1
src_gkf,4,M1_u_plus_What,ilr_z2,R2,-0.010901791265539584,81,20,0.03162277660168379
src_gkf,0,M1_u_plus_What,ilr_z1_z4,Q2_Aitchison,0.441801445559743,80,21,
src_gkf,1,M1_u_plus_What,ilr_z1_z4,Q2_Aitchison,0.2414664665021633,81,20,
src_gkf,2,M1_u_plus_What,ilr_z1_z4,Q2_Aitchison,0.36204351049999617,81,20,
src_gkf,3,M1_u_plus_What,ilr_z1_z4,Q2_Aitchison,0.48153940874441603,81,20,
src_gkf,4,M1_u_plus_What,ilr_z1_z4,Q2_Aitchison,0.18430913126237203,81,20,
src_gkf,0,M1_u_plus_What,A2_8_16,R2,0.7009075347520775,80,21,0.1
src_gkf,1,M1_u_plus_What,A2_8_16,R2,0.8219150875012697,81,20,0.001
src_gkf,2,M1_u_plus_What,A2_8_16,R2,0.7043842228212034,81,20,0.03162277660168379
src_gkf,3,M1_u_plus_What,A2_8_16,R2,0.5799522624883604,81,20,0.31622776601683794
src_gkf,4,M1_u_plus_What,A2_8_16,R2,0.6260698802575743,81,20,0.001
src_gkf,0,M1_u_plus_What,angular_entropy_8_16,R2,0.7284423724414582,80,21,0.31622776601683794
src_gkf,1,M1_u_plus_What,angular_entropy_8_16,R2,0.6684293054340336,81,20,3.1622776601683795
