variant,fold,model,target,metric,score,n_train,n_test,alpha
full200_extrapolated,2,M1_u_plus_What,p_8_16,R2,0.4811887116702729,160,40,3.1622776601683795
full200_extrapolated,3,M1_u_plus_What,p_8_16,R2,0.43012053011649864,160,40,10.0
full200_extrapolated,4,M1_u_plus_What,p_8_16,R2,0.3984086617119773,160,40,3.1622776601683795
full200_extrapolated,0,M1_u_plus_What,ilr_z2,R2,0.26964990118708676,160,40,10.0
full200_extrapolated,1,M1_u_plus_What,ilr_z2,R2,0.3245144497072213,160,40,0.001
full200_extrapolated,2,M1_u_plus_What,ilr_z2,R2,0.15608449823855675,160,40,10.0
full200_extrapolated,3,M1_u_plus_What,ilr_z2,R2,0.058797982014948125,160,40,10.0
full200_extrapolated,4,M1_u_plus_What,ilr_z2,R2,0.4040520668815095,160,40,10.0
full200_extrapolated,0,M1_u_plus_What,ilr_z1_z4,Q2_Aitchison,0.3660067812114516,160,40,
full200_extrapolated,1,M1_u_plus_What,ilr_z1_z4,Q2_Aitchison,0.30957251253852436,160,40,
full200_extrapolated,2,M1_u_plus_What,ilr_z1_z4,Q2_Aitchison,0.3107466045662174,160,40,
full200_extrapolated,3,M1_u_plus_What,ilr_z1_z4,Q2_Aitchison,0.3768328437946934,160,40,
full200_extrapolated,4,M1_u_plus_What,ilr_z1_z4,Q2_Aitchison,0.29931723660697984,160,40,
full200_extrapolated,0,M1_u_plus_What,A2_8_16,R2,0.27758231426408175,160,40,0.01
full200_extrapolated,1,M1_u_plus_What,A2_8_16,R2,0.6274762011819608,160,40,1.0
full200_extrapolated,2,M1_u_plus_What,A2_8_16,R2,0.662352041453258,160,40,0.31622776601683794
full200_extrapolated,3,M1_u_plus_What,A2_8_16,R2,0.5076012483101393,160,40,10.0
full200_extrapolated,4,M1_u_plus_What,A2_8_16,R2,0.4582423486657594,160,40,1.0
full200_extrapolated,0,M1_u_plus_What,angular_entropy_8_16,R2,0.3311332083250571,160,40,3.1622776601683795
full200_extrapolated,1,M1_u_plus_What,angular_entropy_8_16,R2,0.6615588282479721,160,40,3.1622776601683795
full200_extrapolated,2,M1_u_plus_What,angular_entropy_8_16,R2,0.6583227953435117,160,40,3.1622776601683795
full200_extrapolated,3,M1_u_plus_What,angular_entropy_8_16,R2,0.5977344604792667,160,40,10.0
full200_extrapolated,4,M1_u_plus_What,angular_entropy_8_16,R2,0.3996566930246397,160,40,3.1622776601683795
