group,artifact,pixel_count,col_span_px,row_span_px,max_correction_um,mean_correction_um,centroid_row_frac,centroid_col_frac,edge_proximal
94,17,183,25,21,5.5025,1.3591,0.542,0.336,False
94,18,29,6,7,2.5037,0.933,0.461,0.394,False
94,19,44,9,9,3.5748,1.0573,0.488,0.444,False
94,20,76,10,10,4.9328,1.5856,0.487,0.678,False
94,21,7,3,3,1.7534,0.9125,0.465,0.221,False
94,22,238,30,28,5.8896,2.3963,0.67,0.268,False
94,23,3,2,2,3.1822,1.7363,0.513,0.431,False
94,24,6,4,2,2.5478,1.3187,0.563,0.607,False
94,25,79,27,14,6.7656,1.3735,0.67,0.456,False
94,26,28,9,9,2.1807,0.7998,0.697,0.218,False
94,27,8,5,3,1.4746,0.7981,0.64,0.223,False
94,28,17,7,5,2.1486,0.7759,0.709,0.387,False
95,1,42,11,13,1.5533,0.5518,0.311,0.209,False
95,2,122,17,21,1.6041,0.616,0.375,0.328,False
95,3,275,43,41,2.4935,1.0454,0.593,0.824,False
95,4,353,32,40,1.7955,0.8775,0.529,0.474,False
95,5,330,41,27,4.5424,1.3965,0.641,0.19,False
95,6,386,33,27,2.7135,1.0293,0.67,0.347,False
95,7,81,13,13,1.9162,0.8223,0.59,0.411,False
95,8,178,30,21,2.5192,0.6975,0.704,0.425,False
95,9,61,18,11,1.6108,0.4389,0.731,0.451,False
101,1,415,33,52,9.8544,2.8402,0.64,0.177,False
101,2,213,31,25,5.4524,2.0291,0.424,0.267,False
101,3,108,23,13,2.6187,0.8197,0.286,0.734,False
101,4,61,17,8,1.2407,0.5787,0.262,0.287,False
101,5,136,26,26,7.096,2.0546,0.472,0.244,False
101,6,535,37,45,10.2378,4.0377,0.598,0.454,False
101,7,224,35,22,7.6658,3.0621,0.477,0.401,False
101,8,19,11,6,1.1773,0.6855,0.371,0.289,False
101,9,281,26,41,8.0958,2.8265,0.64,0.2,False
101,10,113,16,11,6.2568,2.0596,0.515,0.526,False
101,11,55,14,9,4.957,1.4539,0.499,0.745,False
