加工顺序,xi_um,median_depth_um
13,-11.35576901,0.08745614004
13,-11.0328184,0.08745614004
13,-10.70986779,0.08745614004
13,-10.38691718,0.08745614004
13,-10.06396657,0.1133765717
13,-9.741015959,0.1133765717
13,-9.418065348,0.0939162612
13,-9.095114737,0.09006861336
13,-8.772164126,0.06825436971
13,-8.449213515,0.08209849113
13,-8.126262904,0.09210822836
13,-7.803312293,0.1235063334
13,-7.480361681,0.1739829531
13,-7.15741107,0.320289802
13,-6.834460459,0.6385533868
13,-6.511509848,1.112130794
13,-6.188559237,1.670037639
13,-5.865608626,2.347345541
13,-5.542658015,2.877004327
13,-5.219707404,3.506470636
13,-4.896756793,4.185059752
13,-4.573806182,4.986263712
13,-4.250855571,5.766239343
13,-3.92790496,6.492209345
13,-3.604954349,7.282454501
13,-3.282003738,7.972636893
13,-2.959053127,8.551148324
13,-2.636102516,9.214450365
13,-2.313151905,9.867730011
13,-1.990201294,10.5730727
13,-1.667250682,11.17676794
13,-1.344300071,11.78389924
13,-1.02134946,12.33742907
13,-0.6983988493,12.94324644
13,-0.3754482383,13.41528852
13,-0.0524976272,13.72390114
13,0.2704529839,14.00750156
13,0.5934035949,14.26596754
13,0.916354206,14.35036408
13,1.239304817,14.3215154
13,1.562255428,14.21558219
13,1.885206039,13.98868227
13,2.20815665,13.41169848
13,2.531107261,12.62598314
13,2.854057872,11.49289605
13,3.177008483,10.3580038
13,3.499959094,9.028966463
13,3.822909705,7.822917165
13,4.145860317,6.47541985
13,4.468810928,5.236632742
13,4.791761539,4.016629338
13,5.11471215,2.868891446
13,5.437662761,1.823502311
13,5.760613372,0.8555136148
13,6.083563983,0.3245138827
13,6.406514594,0.207376319
13,6.729465205,0.1787781537
13,7.052415816,0.1258465101
13,7.375366427,0.1081900582
13,7.698317038,0.09194341359
13,8.021267649,0.08595864099
13,8.34421826,0.09321983869
13,8.667168871,0.09464752185
13,8.990119482,0.09464752185
19,-10.51136645,0.1190839871
19,-10.18611872,0.1190839871
19,-9.860870984,0.1190839871
19,-9.535623249,0.1196252017
19,-9.210375514,0.120749211
19,-8.885127779,0.1080214903
19,-8.559880044,0.1125998528
19,-8.234632308,0.123427962
19,-7.909384573,0.09894671359
19,-7.584136838,0.09802936031
19,-7.258889103,0.1096853516
19,-6.933641368,0.1233721097
19,-6.608393633,0.1537675512
19,-6.283145898,0.1892043437
19,-5.957898163,0.378576498
19,-5.632650428,0.7876527177
19,-5.307402693,1.228996812
19,-4.982154958,1.88543494
19,-4.656907223,2.770008389
19,-4.331659487,3.697128606
19,-4.006411752,4.737671435
19,-3.681164017,5.757721574
19,-3.355916282,6.647503056
19,-3.030668547,7.64774698
19,-2.705420812,8.660458584
19,-2.380173077,9.583838642
19,-2.054925342,10.39264891
19,-1.729677607,11.2053171
19,-1.404429872,11.90440275
19,-1.079182137,12.41106848
19,-0.7539344016,12.7100124
19,-0.4286866665,13.11276875
19,-0.1034389314,13.55140589
19,0.2218088037,13.30773107
19,0.5470565387,13.05539602
19,0.8723042738,12.78973056
19,1.197552009,12.09956808
19,1.522799744,11.51379168
19,1.848047479,10.72753849
19,2.173295214,9.933318472
19,2.498542949,9.122099617
19,2.823790684,8.279315734
19,3.149038419,7.345634504
19,3.474286154,6.231617871
19,3.79953389,5.008899383
19,4.124781625,4.040532643
19,4.45002936,3.097484796
19,4.775277095,2.158799838
19,5.10052483,1.4461227
19,5.425772565,0.8147263781
19,5.7510203,0.3565171111
19,6.076268035,0.2233849351
19,6.40151577,0.1695726667
19,6.726763505,0.1366776501
19,7.05201124,0.1227877825
19,7.377258975,0.1266433314
19,7.702506711,0.09564928829
19,8.027754446,0.1064627707
19,8.353002181,0.1061402401
19,8.678249916,0.1059493923
19,9.003497651,0.1081580973
19,9.328745386,0.1061402401
