dataset_index,k,d_proc_knn
126,5,0.8724658523969919
127,5,1.0944760784531717
128,5,1.0883267344532448
129,5,1.3216372009101796
130,5,1.07188624218201
131,5,1.3216372009101796
132,5,0.8230617641620862
133,5,1.0804161657643196
134,5,0.6919498680931311
135,5,1.3216372009101796
136,5,0.7291738753880718
137,5,1.0120917180404425
138,5,0.9124766592450709
139,5,1.1574294192759367
140,5,1.0763066153929028
141,5,0.8495614796064511
142,5,0.8495614796064511
143,5,1.0763066153929028
144,5,0.956805018100096
145,5,1.2721779297236306
146,5,1.3216372009101796
147,5,1.4335682430855277
148,5,0.6608186004550898
149,5,0.8724658523969919
150,5,0.6608186004550898
151,5,0.6608186004550898
152,5,0.7549695705203338
153,5,0.8495614796064511
154,5,0.7549695705203338
155,5,0.7549695705203338
156,5,0.7018796942337019
157,5,0.7943653283672143
158,5,0.7943653283672143
159,5,0.9431935618231048
160,5,0.7943653283672143
161,5,0.6844846922588214
162,5,0.7430760229804215
163,5,0.6608186004550898
164,5,1.3216372009101796
165,5,1.3216372009101796
166,5,1.7288371069976574
167,5,1.3216372009101796
168,5,0.6608186004550898
169,5,0.6608186004550898
170,5,0.9224785942258465
171,5,0.6608186004550898
172,5,1.046787375851009
173,5,1.046787375851009
174,5,1.2379196391319045
175,5,1.046787375851009
176,5,1.1117142571676888
177,5,1.1117142571676888
178,5,1.1117142571676888
179,5,0.957001915644646
180,5,0.6608186004550898
181,5,0.9929579980956814
182,5,0.9570019156446459
183,5,0.927307275975634
184,5,0.7723665864365167
185,5,0.8792535373350739
186,5,0.8792535373350739
187,5,0.7193994047703748
188,5,0.6608186004550897
189,5,0.8705816782174559
190,5,0.6608186004550898
191,5,0.6608186004550898
192,5,1.2592145722181323
193,5,1.0099316995023246
194,5,0.8166930911191657
195,5,1.07188624218201
196,5,0.7549695705203338
197,5,0.7549695705203338
198,5,0.6608186004550898
199,5,0.6608186004550898
0,10,0.969935170955438
1,10,1.013223816326756
2,10,1.0137559549301807
3,10,0.9224785942258465
4,10,0.8932395946049877
5,10,1.0182545369660791
6,10,1.0530154958963633
7,10,1.1745914118124734
8,10,1.0840780698368437
9,10,1.2695476829529633
10,10,1.0141284639634747
11,10,0.9518967601456754
12,10,0.8842965760973331
13,10,0.9869487945499138
14,10,1.0839456551970859
15,10,1.0828045058086007
16,10,1.5627387166604403
17,10,1.3868448275297074
18,10,1.4863676146063094
19,10,1.4865693814408245
20,10,1.2938030454649438
21,10,1.31007816439524
22,10,1.4826367329015797
23,10,1.5928173155092802
24,10,0.8128867131186204
25,10,1.062026260982673
26,10,0.698933544449192
27,10,0.9996451861367563
28,10,0.9574251253080566
29,10,0.8740132803010925
30,10,0.8237374451625996
31,10,1.1308525349610623
32,10,1.1280725396703122
33,10,1.0245618417283748
34,10,1.122396143049743
35,10,1.0028087968012838
36,10,0.9876336277089337
37,10,1.3456818685933407
38,10,1.368509712190098
39,10,1.1405553158272204
40,10,1.4364518676205136
41,10,1.348280834663961
42,10,1.4914483022083993
43,10,1.5197344959235508
44,10,1.4859817049956217
45,10,1.3205279294731365
46,10,1.4115770199620705
47,10,1.5927265978157643
48,10,0.9645819922400294
49,10,0.9645819922400294
50,10,1.0702202006892783
51,10,0.7926013709569328
52,10,0.8705816782174559
53,10,0.7882298618887414
54,10,1.0504870588981507
55,10,1.0989747867639565
56,10,1.0459579212187027
57,10,1.0932606065734576
58,10,1.1494372332332492
59,10,1.2389830608153305
60,10,1.2403370283980086
61,10,1.429194225788815
62,10,1.1755118797791435
63,10,1.3126939933685482
64,10,1.2487634411078914
65,10,1.9032844366766297
66,10,1.5148485322024121
67,10,2.154480901890021
68,10,1.6029258107487345
69,10,1.4006513777171352
70,10,1.7549114663852852
71,10,1.4618487704995613
72,10,1.1608759813646181
73,10,1.2294803980523068
74,10,1.229128045763122
75,10,1.3684865939864213
76,10,1.2799230908771082
77,10,1.0268734994541207
78,10,1.1626259683851756
79,10,1.3451235950588052
80,10,1.2867436225409317
81,10,1.2764018431309663
82,10,1.2984415293032625
83,10,1.294832348674042
84,10,1.2092758574781566
85,10,1.344833292321996
86,10,1.46408248712225
87,10,1.461102026901632
88,10,1.5653926959788007
89,10,1.4526668581025641
90,10,1.6021836511195846
91,10,1.811473402325538
92,10,1.6021836511195846
93,10,1.624882471985654
94,10,1.7784261465042601
95,10,1.9132003132893103
96,10,1.3696504324431942
97,10,1.4282541185739173
98,10,1.187209489954088
99,10,1.21455436691028
100,10,1.254510697118321
101,10,1.2592145722181323
102,10,1.4144167638411749
103,10,1.3392232354941358
104,10,1.4429483062461115
105,10,1.436174913066812
106,10,1.2380414819142953
107,10,1.3174580929229833
108,10,1.3151867979846177
109,10,1.3220513491185697
110,10,1.254981566492315
111,10,1.348953018867518
112,10,1.8761585476252693
113,10,1.5436942702854286
114,10,1.5525211593191064
115,10,1.7268933365362051
116,10,1.73668395876873
117,10,2.132849926040858
118,10,1.8535251735607312
119,10,2.0225831593420676
120,10,1.5313296272191463
121,10,1.7185273824672493
122,10,1.8508265627117666
123,10,1.9921088162929572
124,10,1.0944760784531717
125,10,1.519964951121567
126,10,1.0853913469230374
127,10,1.546605919444279
128,10,1.2288022723458574
129,10,1.6048260293664915
130,10,1.3781692340633755
131,10,1.5959855860306953
132,10,0.914005569217649
133,10,1.2885549627905148
134,10,1.4624463329608894
135,10,1.7652384598235926
136,10,0.8864194039223332
137,10,1.2784484393814113
138,10,1.0734468725328268
139,10,1.3605933815988094
140,10,1.1667956824503232
141,10,1.0940104362802958
142,10,1.0940104362802958
143,10,1.1225276404967266
144,10,1.3765405004144797
145,10,1.4745354349469904
146,10,1.462692881174898
147,10,1.5923781981515297
148,10,0.9004061201892671
149,10,1.1139085511394682
150,10,0.9004061201892671
151,10,0.9974410993212195
152,10,0.937895231718624
153,10,1.0398156132165794
154,10,0.937895231718624
155,10,0.937895231718624
156,10,1.0139438575585933
157,10,0.9432508624589666
158,10,0.9932052837095005
159,10,1.0590372821343417
160,10,1.0277238233421602
161,10,0.8041069870735502
162,10,0.8584219612965305
163,10,0.872892795630289
164,10,1.7822796189137675
165,10,1.8432743467708221
166,10,1.9009332663287708
167,10,1.7822796189137675
168,10,0.7882298618887414
169,10,0.7926013709569328
170,10,1.0728352208146252
171,10,0.8838671180464085
172,10,1.279778420021042
173,10,1.279778420021042
174,10,1.5481574288315638
175,10,1.3216372009101796
176,10,1.3074618197610162
177,10,1.2679979743649215
178,10,1.2288022723458574
179,10,1.1924763836400136
180,10,1.2153336135680042
181,10,1.106185176193378
182,10,1.256633161995872
183,10,1.0916015229757252
184,10,0.9768401743844246
185,10,1.0308769834396876
186,10,0.9808873160224338
187,10,0.800467051087085
188,10,0.8344088488686914
189,10,1.0250687396041473
190,10,0.9147482367938489
191,10,0.8465887749047494
192,10,1.2967375417150278
193,10,1.11983088685519
194,10,1.2267669575901874
195,10,1.2220218496904987
196,10,0.9518653656147615
197,10,1.1017874760575688
198,10,0.9004061201892671
199,10,0.9004061201892671
