dataset_index,k,d_proc_knn
0,5,0.7291738753880718
1,5,0.8610251207121555
2,5,0.779817836676343
3,5,0.7430760229804215
4,5,0.7695691644050539
5,5,0.8235464636759924
6,5,0.9467916046467049
7,5,0.9523238100956342
8,5,0.9597289597795595
9,5,1.1131631207107624
10,5,0.9506698333433354
11,5,0.9138312739282978
12,5,0.752790477455128
13,5,0.7888440247368685
14,5,0.9660547635718597
15,5,0.9997145829283876
16,5,1.351196014838151
17,5,1.0804161657643196
18,5,1.0483467179064272
19,5,1.2883843356787867
20,5,1.2623888061956063
21,5,1.2491327402630077
22,5,1.2491327402630077
23,5,1.3843552303833917
24,5,0.6292316194849253
25,5,0.9514202628933636
26,5,0.6727260826687947
27,5,0.8705816782174559
28,5,0.7888440247368685
29,5,0.7229614801201814
30,5,0.7501653315184968
31,5,0.9640105434511692
32,5,1.043640382996553
33,5,0.9506698333433354
34,5,0.9660547635718597
35,5,0.8484581694602708
36,5,0.927307275975634
37,5,0.9997145829283876
38,5,1.244827698753283
39,5,0.8468369975656879
40,5,1.1442768892401707
41,5,1.2681381549837762
42,5,1.3587959686631368
43,5,1.2681381549837762
44,5,1.1522685027314645
45,5,1.0143559146130694
46,5,1.3587959686631368
47,5,1.3587959686631368
48,5,0.7193994047703748
49,5,0.7193994047703748
50,5,0.9755526724894797
51,5,0.6608186004550898
52,5,0.6436501643730625
53,5,0.6608186004550898
54,5,0.964010543451169
55,5,0.9431935618231048
56,5,0.9138312739282978
57,5,1.0041568443946625
58,5,0.9945932277519555
59,5,1.106007673443112
60,5,1.07543595254729
61,5,1.1522685027314643
62,5,1.0804161657643196
63,5,1.244827698753283
64,5,1.156465551646241
65,5,1.4665349066643787
66,5,1.4187488116767424
67,5,1.753098795161469
68,5,1.3988903846134613
69,5,1.1522685027314643
70,5,1.6695133766406145
71,5,1.3689693845176427
72,5,1.0525837552281263
73,5,0.956805018100096
74,5,1.0591537711562857
75,5,1.3152652087518901
76,5,1.1051734273769342
77,5,0.8166930911191657
78,5,0.9660547635718597
79,5,1.0525837552281263
80,5,1.0143559146130694
81,5,1.1051734273769342
82,5,1.0143559146130694
83,5,1.2094177215159407
84,5,1.134909894910846
85,5,1.0591537711562857
86,5,1.4182456790059814
87,5,1.3092148065759395
88,5,1.5046959869812606
89,5,1.3988903846134613
90,5,1.248394141952775
91,5,1.2706068692291006
92,5,1.3587959686631368
93,5,1.3587959686631368
94,5,1.398890384613461
95,5,1.2329692151293048
96,5,1.2876682520305853
97,5,1.1522685027314643
98,5,0.779817836676343
99,5,0.779817836676343
100,5,1.0525837552281263
101,5,1.07188624218201
102,5,1.2592145722181323
103,5,0.9945932277519555
104,5,1.1123342412132955
105,5,0.779817836676343
106,5,0.779817836676343
107,5,0.9945932277519555
108,5,1.248394141952775
109,5,1.0788356891762136
110,5,1.1522685027314643
111,5,1.265135434231347
112,5,1.720244535329545
113,5,1.3587959686631368
114,5,1.4523455958993488
115,5,1.5668127764003865
116,5,1.4523455958993488
117,5,1.868355829644598
118,5,1.770811773915221
119,5,1.8683558296445977
120,5,1.2379196391319045
121,5,1.5739648271874063
122,5,1.3216372009101796
123,5,1.7288371069976574
124,5,0.8724658523969919
125,5,1.0944760784531717
