dataset_index,model,target,fold,y_true,y_pred,abs_error,norm_abs_error
52,extratrees,Sq_um,2,0.4348008332600109,0.8824863550373655,0.4476855217773546,0.529725015537844
53,extratrees,Sq_um,1,1.111610184036637,0.7396710181257804,0.37193916591085663,0.45575896273882927
54,extratrees,Sq_um,0,0.5473737525060142,1.6292551541926177,1.0818814016866036,1.1500977522053788
55,extratrees,Sq_um,4,0.4492999264913473,1.4116814554407722,0.9623815289494249,0.9074530493847476
56,extratrees,Sq_um,3,0.3080518234339486,2.994391475386992,2.6863396519530434,3.22759719892273
57,extratrees,Sq_um,2,4.005460126965916,1.1563752612272085,2.849084865738708,3.3711868071593623
58,extratrees,Sq_um,1,3.0752479787831546,1.819144334696338,1.2561036440868165,1.5391777645129165
59,extratrees,Sq_um,0,1.2603542249828787,1.91675715665058,0.6564029316677014,0.6977913984611869
60,extratrees,Sq_um,4,3.1961779063795595,1.7074665582676032,1.4887113481119563,1.4037422912434843
61,extratrees,Sq_um,3,1.7942620054480625,4.911756893324064,3.117494887876002,3.7456238121077314
62,extratrees,Sq_um,2,2.4030528988995203,1.810509189156116,0.5925437097434043,0.701128829461632
63,extratrees,Sq_um,1,1.5879288561494949,1.5077288199895251,0.08020003615996973,0.09827382712538767
64,extratrees,Sq_um,0,1.1313200344645944,1.7622904143320377,0.6309703798674433,0.6707552366298397
65,extratrees,Sq_um,4,12.603457527561158,1.9842420159611052,10.619215511600054,10.013117675476185
66,extratrees,Sq_um,3,2.150660599802733,7.6926980990165506,5.5420374992138175,6.658675754490899
67,extratrees,Sq_um,2,3.912626223267634,5.53870073550708,1.6260745122394455,1.9240567415314245
68,extratrees,Sq_um,1,0.7699583452263639,4.289302707629169,3.519344362402805,4.31245989435239
69,extratrees,Sq_um,0,4.336545686211816,1.9654735333148423,2.371072152896974,2.520576422806016
70,extratrees,Sq_um,4,2.8243877597768337,1.3970917483167384,1.4272960114600952,1.34583227027232
71,extratrees,Sq_um,3,0.8232230594113646,3.0668191935305398,2.243596134119175,2.695647437111014
72,extratrees,Sq_um,2,0.4052748441256995,0.4214303011151019,0.016155456989402406,0.019115984968100547
73,extratrees,Sq_um,1,0.6825202980520696,0.5280692449272283,0.1544510531248413,0.1892579707052647
