dataset_index,D_finite_um,D_rollout_um,A_finite_um,A_rollout_um,rel_error_D,rel_error_A,max_line_dd_over_zr,max_line_log_threshold_drift
78,0.0,0.0,0.003836620190712112,0.008668932890320526,0.0,0.966462539921683,0.053420203105224384,0.19767382627614438
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12418370677591639
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10069436827417277
174,0.0,0.0,0.0018411713971766032,0.0017962052058818965,0.0,0.00899323825894133,0.004020852962443636,0.008130068517029798
96,0.04754078551663814,0.04459496928903262,0.03079158388402425,0.16741438127127478,0.058916324552110294,4.437017527316456,1.323387789101986,0.6814172699059675
74,0.0,0.0,0.006012945189480156,0.006810130612360961,0.0,0.1325781955031798,0.035293094269290254,0.09608475411654993
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12790780901648446
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07662081638572715
195,0.0,0.0,0.008790075148960824,0.06573716883813537,0.0,6.47856733009921,0.7919002305307143,0.6443979972298024
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2239618174179867
176,0.0,0.0,0.0,0.00017299549139103605,0.0,0.03459909827820721,0.0002842931954186266,0.13406935516423601
171,0.01163825621159894,0.011576060818396747,0.03595008027374622,0.0806239132883747,0.0012439078640438458,1.2426629558113416,0.7001905052204962,0.5922576939986826
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2239618174179867
77,0.0,0.0,0.0021135974609424956,0.020416842178344028,0.0,3.660648943480307,0.5626760811532009,0.6918725409289515
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0848223798388048
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10069436827417277
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13246090826230628
108,0.0,0.0,0.001890459039895351,0.0037779976484351883,0.0,0.3775077217079674,0.03751147436776737,0.19767382627614438
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03813301834723859
102,0.0,0.0,0.017613958642153274,0.08400092757167421,0.0,3.7689976613573593,0.10219837414224447,0.3361420679057048
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12418375859989084
73,0.0,0.0,0.03524426112073754,0.05511658565005782,0.0,0.5638456843014228,0.07351917814527834,0.19749226944682263
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038133030282033076
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046401871072269785
