variant,fold,model,target,metric,score,alpha,n_train,n_test
src_gkf_inbox,3,M_full,A2_8_16,R2,0.5198481635186716,0.001,81,20
src_gkf_inbox,4,M_full,A2_8_16,R2,0.5551324867005043,1.0,81,20
src_gkf_inbox,0,M_full,angular_entropy_8_16,R2,0.7293395308070145,3.1622776601683795,80,21
src_gkf_inbox,1,M_full,angular_entropy_8_16,R2,0.6475955298652876,10.0,81,20
src_gkf_inbox,2,M_full,angular_entropy_8_16,R2,0.728516210171843,3.1622776601683795,81,20
src_gkf_inbox,3,M_full,angular_entropy_8_16,R2,0.4710130492125564,0.001,81,20
src_gkf_inbox,4,M_full,angular_entropy_8_16,R2,0.6249866633053311,0.001,81,20
src_gkf_inbox,0,M_minus_h,p_8_16,R2,0.009208883053612449,1000.0,80,21
src_gkf_inbox,1,M_minus_h,p_8_16,R2,0.032855933921261515,100.0,81,20
src_gkf_inbox,2,M_minus_h,p_8_16,R2,0.02448984851606928,100.0,81,20
src_gkf_inbox,3,M_minus_h,p_8_16,R2,-0.08710555632590844,1000.0,81,20
src_gkf_inbox,4,M_minus_h,p_8_16,R2,-0.01386305539149868,316.22776601683796,81,20
src_gkf_inbox,0,M_minus_h,ilr_z1_z4,Q2_Aitchison,0.1564157786729834,31.622776601683793,80,21
src_gkf_inbox,1,M_minus_h,ilr_z1_z4,Q2_Aitchison,0.2170978375761664,31.622776601683793,81,20
src_gkf_inbox,2,M_minus_h,ilr_z1_z4,Q2_Aitchison,0.18320037324416982,10.0,81,20
src_gkf_inbox,3,M_minus_h,ilr_z1_z4,Q2_Aitchison,0.18697566522166553,31.622776601683793,81,20
src_gkf_inbox,4,M_minus_h,ilr_z1_z4,Q2_Aitchison,-0.06748082490974494,31.622776601683793,81,20
src_gkf_inbox,0,M_minus_h,A2_8_16,R2,-0.023200435523967222,1000.0,80,21
src_gkf_inbox,1,M_minus_h,A2_8_16,R2,-0.004701261063145612,1000.0,81,20
src_gkf_inbox,2,M_minus_h,A2_8_16,R2,-0.00501770673946611,1000.0,81,20
src_gkf_inbox,3,M_minus_h,A2_8_16,R2,-0.30736110565369246,1000.0,81,20
src_gkf_inbox,4,M_minus_h,A2_8_16,R2,-0.0950286032355343,1000.0,81,20
