加工顺序,xi_um,median_depth_um
1,-9.488863011,0.08249235425
1,-9.171541884,0.08249235425
1,-8.854220758,0.08249235425
1,-8.536899631,0.08249235425
1,-8.219578505,0.08924782886
1,-7.902257379,0.07844442721
1,-7.584936252,0.07119229726
1,-7.267615126,0.07411229793
1,-6.950293999,0.0542685562
1,-6.632972873,0.06466627394
1,-6.315651746,0.06629576723
1,-5.99833062,0.06453914173
1,-5.681009493,0.08754251189
1,-5.363688367,0.1282150676
1,-5.046367241,0.2489906768
1,-4.729046114,0.4808920948
1,-4.411724988,0.7170314524
1,-4.094403861,1.198464648
1,-3.777082735,1.654233994
1,-3.459761608,2.227489773
1,-3.142440482,2.804901996
1,-2.825119355,3.419719232
1,-2.507798229,3.90648072
1,-2.190477103,4.257225487
1,-1.873155976,4.599980305
1,-1.55583485,4.670518202
1,-1.238513723,4.654526549
1,-0.9211925968,4.544658958
1,-0.6038714704,4.427780374
1,-0.2865503439,4.30743681
1,0.03077078252,4.221554688
1,0.348091909,4.119070795
1,0.6654130354,3.961115609
1,0.9827341618,3.890083821
1,1.300055288,3.757854596
1,1.617376415,3.645577804
1,1.934697541,3.429933915
1,2.252018668,3.16980357
1,2.569339794,2.889325163
1,2.88666092,2.530699484
1,3.203982047,2.118135448
1,3.521303173,1.750080892
1,3.8386243,1.412543301
1,4.155945426,1.012100853
1,4.473266553,0.7369848829
1,4.790587679,0.4531046837
1,5.107908806,0.1982111164
1,5.425229932,0.1256586706
1,5.742551058,0.09819106471
1,6.059872185,0.07369783014
1,6.377193311,0.08598877757
1,6.694514438,0.08926972186
1,7.011835564,0.08316678688
1,7.329156691,0.07067838658
1,7.646477817,0.04446529014
1,7.963798944,0.05278802812
1,8.28112007,0.04166251797
1,8.598441196,0.05426603518
1,8.915762323,0.05412567748
1,9.233083449,0.05995421494
1,9.550404576,0.0440095335
1,9.867725702,0.04396375366
1,10.18504683,0.04186309945
1,10.50236796,0.04186309945
