target,variant,model,fold,skill_q2,alpha,n_train,n_test
Pl,proc_gkf,full,0,0.4041337289958268,10.0,160,40
Pl,proc_gkf,full,1,0.3372629834513998,31.622776601683793,160,40
Pl,proc_gkf,full,2,0.3471483663073964,31.622776601683793,160,40
Pl,proc_gkf,full,3,0.33921883550334,31.622776601683793,160,40
Pl,proc_gkf,full,4,0.19687569704107166,10.0,160,40
Pl,proc_gkf,h_only,0,0.1861085629908351,31.622776601683793,160,40
Pl,proc_gkf,h_only,1,0.16401321932181556,31.622776601683793,160,40
Pl,proc_gkf,h_only,2,0.0749113416376983,31.622776601683793,160,40
Pl,proc_gkf,h_only,3,-0.03950126528130515,10.0,160,40
Pl,proc_gkf,h_only,4,0.13999392647196807,31.622776601683793,160,40
Pl,proc_gkf,minus_h,0,0.19055118173537466,31.622776601683793,160,40
Pl,proc_gkf,minus_h,1,0.13867045359788177,31.622776601683793,160,40
Pl,proc_gkf,minus_h,2,0.24215668933294232,31.622776601683793,160,40
Pl,proc_gkf,minus_h,3,0.3520581882919116,31.622776601683793,160,40
Pl,proc_gkf,minus_h,4,-0.0201860485933143,31.622776601683793,160,40
Pl,proc_gkf,dummy,0,0.0,,160,40
Pl,proc_gkf,dummy,1,0.0,,160,40
Pl,proc_gkf,dummy,2,0.0,,160,40
Pl,proc_gkf,dummy,3,0.0,,160,40
Pl,proc_gkf,dummy,4,0.0,,160,40
Ot_A2,src_gkf,full,0,0.4362632635500263,1.0,160,40
Ot_A2,src_gkf,full,1,0.6482498998951916,3.1622776601683795,160,40
Ot_A2,src_gkf,full,2,0.6613456895892484,3.1622776601683795,160,40
Ot_A2,src_gkf,full,3,0.641425679911622,10.0,160,40
Ot_A2,src_gkf,full,4,0.46513109609432257,0.1,160,40
Ot_A2,src_gkf,h_only,0,0.46680358486251916,0.001,160,40
Ot_A2,src_gkf,h_only,1,0.624838838190799,0.001,160,40
Ot_A2,src_gkf,h_only,2,0.6150926883025883,0.001,160,40
Ot_A2,src_gkf,h_only,3,0.6277379477171798,1.0,160,40
Ot_A2,src_gkf,h_only,4,0.4463937647179286,0.001,160,40
Ot_A2,src_gkf,minus_h,0,0.0050576007118317,1000.0,160,40
Ot_A2,src_gkf,minus_h,1,0.008701342468437345,1000.0,160,40
Ot_A2,src_gkf,minus_h,2,0.010782149896684912,1000.0,160,40
Ot_A2,src_gkf,minus_h,3,0.0049410789474827466,1000.0,160,40
Ot_A2,src_gkf,minus_h,4,-0.007941959506743146,1000.0,160,40
Ot_A2,src_gkf,dummy,0,0.0,,160,40
Ot_A2,src_gkf,dummy,1,0.0,,160,40
Ot_A2,src_gkf,dummy,2,0.0,,160,40
Ot_A2,src_gkf,dummy,3,0.0,,160,40
Ot_A2,src_gkf,dummy,4,0.0,,160,40
Ot_A2,proc_gkf,full,0,0.7353666122437339,1.0,160,40
Ot_A2,proc_gkf,full,1,0.6416039883494734,3.1622776601683795,160,40
Ot_A2,proc_gkf,full,2,0.5287862286827657,1.0,160,40
Ot_A2,proc_gkf,full,3,0.25146753686651235,3.1622776601683795,160,40
Ot_A2,proc_gkf,full,4,0.5515234307230563,0.001,160,40
Ot_A2,proc_gkf,h_only,0,0.7313621672322836,1.0,160,40
Ot_A2,proc_gkf,h_only,1,0.604017544161094,1.0,160,40
Ot_A2,proc_gkf,h_only,2,0.5535919090583696,3.1622776601683795,160,40
Ot_A2,proc_gkf,h_only,3,0.225964540535445,1.0,160,40
Ot_A2,proc_gkf,h_only,4,0.611121986803146,1.0,160,40
Ot_A2,proc_gkf,minus_h,0,-0.0063896196676414,1000.0,160,40
Ot_A2,proc_gkf,minus_h,1,0.00243393357945465,1000.0,160,40
Ot_A2,proc_gkf,minus_h,2,0.006294716094618957,1000.0,160,40
Ot_A2,proc_gkf,minus_h,3,-0.0022644565871683398,1000.0,160,40
Ot_A2,proc_gkf,minus_h,4,-0.07109057241538252,316.22776601683796,160,40
Ot_A2,proc_gkf,dummy,0,0.0,,160,40
Ot_A2,proc_gkf,dummy,1,0.0,,160,40
Ot_A2,proc_gkf,dummy,2,0.0,,160,40
Ot_A2,proc_gkf,dummy,3,0.0,,160,40
Ot_A2,proc_gkf,dummy,4,0.0,,160,40
Ot_ent,src_gkf,full,0,0.4503804851563875,1.0,160,40
Ot_ent,src_gkf,full,1,0.6787944473254606,3.1622776601683795,160,40
Ot_ent,src_gkf,full,2,0.6623014674517541,3.1622776601683795,160,40
Ot_ent,src_gkf,full,3,0.6791298176341798,10.0,160,40
Ot_ent,src_gkf,full,4,0.40839673759424755,1.0,160,40
Ot_ent,src_gkf,h_only,0,0.4605515511651278,0.001,160,40
Ot_ent,src_gkf,h_only,1,0.6069240778141922,0.31622776601683794,160,40
Ot_ent,src_gkf,h_only,2,0.5820385643160475,0.1,160,40
Ot_ent,src_gkf,h_only,3,0.6401938713100487,3.1622776601683795,160,40
Ot_ent,src_gkf,h_only,4,0.3774734363959933,1.0,160,40
Ot_ent,src_gkf,minus_h,0,0.010193786182666309,1000.0,160,40
Ot_ent,src_gkf,minus_h,1,0.014784579839985601,1000.0,160,40
Ot_ent,src_gkf,minus_h,2,0.018502118959910052,1000.0,160,40
Ot_ent,src_gkf,minus_h,3,0.032646368879842846,100.0,160,40
Ot_ent,src_gkf,minus_h,4,-0.008135503848158976,316.22776601683796,160,40
Ot_ent,src_gkf,dummy,0,0.0,,160,40
Ot_ent,src_gkf,dummy,1,0.0,,160,40
Ot_ent,src_gkf,dummy,2,0.0,,160,40
Ot_ent,src_gkf,dummy,3,0.0,,160,40
Ot_ent,src_gkf,dummy,4,0.0,,160,40
