dataset_index,kernel_group,h_um,O_h,r_pred_transfer,r_observed,observed
120,223:5:5:20#L105,10.0,-0.2831884186676045,0.8917023999999996,0.9450672659117906,2
197,500:5:1:25#L112,6.0,-0.7644596092080329,0.9907804444444439,1.0016737865586265,2
161,500:10:2:5#L65,8.0,-0.8455662069224107,1.1146279999999995,0.9420634467081116,2
177,500:20:2:15#L2,6.0,-0.7449803308545101,0.9907804444444439,1.0016737865586265,2
148,1000:40:2:25#L89,6.0,-0.749167796130115,0.9907804444444439,1.97516804781692,3
181,1000:40:4:15#L56,10.0,-0.5243879597990942,0.8917023999999996,1.863547485933348,3
164,4000:10:3:20#L70,10.0,-0.5229463915694937,0.8917023999999996,0.9450672659117906,2
