dataset_index,session_id,sample_id,shared_height_source_id,session_role
113,zro2_120_formal,114,zro2_120_formal:m114,formal
114,zro2_120_formal,115,zro2_120_formal:m115,formal
115,zro2_120_formal,116,zro2_120_formal:m116,formal
116,zro2_120_formal,117,zro2_120_formal:m117,formal
117,zro2_120_formal,118,zro2_120_formal:m118,formal
118,zro2_120_formal,119,zro2_120_formal:m119,formal
119,zro2_120_formal,120,zro2_120_formal:m120,formal
120,zro2_20_supplement,1,zro2_20_supplement:m001,pass_supplement
121,zro2_20_supplement,2,zro2_20_supplement:m001,pass_supplement
122,zro2_20_supplement,3,zro2_20_supplement:m002,pass_supplement
123,zro2_20_supplement,4,zro2_20_supplement:m002,pass_supplement
124,zro2_20_supplement,5,zro2_20_supplement:m003,pass_supplement
125,zro2_20_supplement,6,zro2_20_supplement:m003,pass_supplement
126,zro2_20_supplement,7,zro2_20_supplement:m004,pass_supplement
127,zro2_20_supplement,8,zro2_20_supplement:m004,pass_supplement
128,zro2_20_supplement,9,zro2_20_supplement:m005,pass_supplement
129,zro2_20_supplement,10,zro2_20_supplement:m005,pass_supplement
130,zro2_20_supplement,11,zro2_20_supplement:m006,pass_supplement
131,zro2_20_supplement,12,zro2_20_supplement:m006,pass_supplement
132,zro2_20_supplement,13,zro2_20_supplement:m007,pass_supplement
133,zro2_20_supplement,14,zro2_20_supplement:m007,pass_supplement
134,zro2_20_supplement,15,zro2_20_supplement:m008,pass_supplement
135,zro2_20_supplement,16,zro2_20_supplement:m008,pass_supplement
136,zro2_20_supplement,17,zro2_20_supplement:m009,pass_supplement
137,zro2_20_supplement,18,zro2_20_supplement:m009,pass_supplement
138,zro2_20_supplement,19,zro2_20_supplement:m010,pass_supplement
139,zro2_20_supplement,20,zro2_20_supplement:m010,pass_supplement
140,zro2_60_pass,1,zro2_60_pass:m001,pass_main
141,zro2_60_pass,2,zro2_60_pass:m001,pass_main
142,zro2_60_pass,3,zro2_60_pass:m002,pass_main
143,zro2_60_pass,4,zro2_60_pass:m002,pass_main
144,zro2_60_pass,5,zro2_60_pass:m003,pass_main
145,zro2_60_pass,6,zro2_60_pass:m003,pass_main
146,zro2_60_pass,7,zro2_60_pass:m004,pass_main
147,zro2_60_pass,8,zro2_60_pass:m004,pass_main
148,zro2_60_pass,9,zro2_60_pass:m005,pass_main
149,zro2_60_pass,10,zro2_60_pass:m005,pass_main
150,zro2_60_pass,11,zro2_60_pass:m006,pass_main
151,zro2_60_pass,12,zro2_60_pass:m006,pass_main
152,zro2_60_pass,13,zro2_60_pass:m007,pass_main
153,zro2_60_pass,14,zro2_60_pass:m007,pass_main
154,zro2_60_pass,15,zro2_60_pass:m008,pass_main
155,zro2_60_pass,16,zro2_60_pass:m008,pass_main
156,zro2_60_pass,17,zro2_60_pass:m009,pass_main
157,zro2_60_pass,18,zro2_60_pass:m009,pass_main
158,zro2_60_pass,19,zro2_60_pass:m010,pass_main
159,zro2_60_pass,20,zro2_60_pass:m010,pass_main
160,zro2_60_pass,21,zro2_60_pass:m011,pass_main
161,zro2_60_pass,22,zro2_60_pass:m011,pass_main
162,zro2_60_pass,23,zro2_60_pass:m012,pass_main
163,zro2_60_pass,24,zro2_60_pass:m012,pass_main
164,zro2_60_pass,25,zro2_60_pass:m013,pass_main
165,zro2_60_pass,26,zro2_60_pass:m013,pass_main
166,zro2_60_pass,27,zro2_60_pass:m014,pass_main
167,zro2_60_pass,28,zro2_60_pass:m014,pass_main
168,zro2_60_pass,29,zro2_60_pass:m015,pass_main
169,zro2_60_pass,30,zro2_60_pass:m015,pass_main
170,zro2_60_pass,31,zro2_60_pass:m016,pass_main
171,zro2_60_pass,32,zro2_60_pass:m016,pass_main
172,zro2_60_pass,33,zro2_60_pass:m017,pass_main
173,zro2_60_pass,34,zro2_60_pass:m017,pass_main
174,zro2_60_pass,35,zro2_60_pass:m018,pass_main
175,zro2_60_pass,36,zro2_60_pass:m018,pass_main
176,zro2_60_pass,37,zro2_60_pass:m019,pass_main
177,zro2_60_pass,38,zro2_60_pass:m019,pass_main
178,zro2_60_pass,39,zro2_60_pass:m020,pass_main
179,zro2_60_pass,40,zro2_60_pass:m020,pass_main
180,zro2_60_pass,41,zro2_60_pass:m021,pass_main
181,zro2_60_pass,42,zro2_60_pass:m021,pass_main
182,zro2_60_pass,43,zro2_60_pass:m022,pass_main
183,zro2_60_pass,44,zro2_60_pass:m022,pass_main
184,zro2_60_pass,45,zro2_60_pass:m023,pass_main
185,zro2_60_pass,46,zro2_60_pass:m023,pass_main
186,zro2_60_pass,47,zro2_60_pass:m024,pass_main
187,zro2_60_pass,48,zro2_60_pass:m024,pass_main
188,zro2_60_pass,49,zro2_60_pass:m025,pass_main
189,zro2_60_pass,50,zro2_60_pass:m025,pass_main
190,zro2_60_pass,51,zro2_60_pass:m026,pass_main
191,zro2_60_pass,52,zro2_60_pass:m026,pass_main
192,zro2_60_pass,53,zro2_60_pass:m027,pass_main
193,zro2_60_pass,54,zro2_60_pass:m027,pass_main
194,zro2_60_pass,55,zro2_60_pass:m028,pass_main
195,zro2_60_pass,56,zro2_60_pass:m028,pass_main
196,zro2_60_pass,57,zro2_60_pass:m029,pass_main
197,zro2_60_pass,58,zro2_60_pass:m029,pass_main
198,zro2_60_pass,59,zro2_60_pass:m030,pass_main
199,zro2_60_pass,60,zro2_60_pass:m030,pass_main
