depth_bin,metric,predictor,n,spearman,spearman_p,depth_min,depth_max
D_Q1,p_lt8,N,45,0.005599485278247091,0.9708791120177511,0.0514,6.387
D_Q1,p_lt8,Q_log10,45,0.1698144709512562,0.2647571722450976,0.0514,6.387
D_Q1,p_8_16,N,45,0.21539838174244,0.1553114594725249,0.0514,6.387
D_Q1,p_8_16,Q_log10,45,-0.07145919507420874,0.6408786675815087,0.0514,6.387
D_Q1,p_16_32,N,45,-0.4339964693581641,0.0028961925562023877,0.0514,6.387
D_Q1,p_16_32,Q_log10,45,0.015293849868280838,0.9205721840322487,0.0514,6.387
D_Q1,p_32_64,N,45,-0.4131256605937886,0.004794197776453208,0.0514,6.387
D_Q1,p_32_64,Q_log10,45,-0.020633512968844407,0.8929810791025262,0.0514,6.387
D_Q1,p_64_inf,N,45,-0.046032132222472835,0.7639768290307304,0.0514,6.387
D_Q1,p_64_inf,Q_log10,45,0.052671491572225816,0.7311268298298645,0.0514,6.387
D_Q1,dc_offset_frac,N,45,0.06101257335648453,0.6905279305673534,0.0514,6.387
D_Q1,dc_offset_frac,Q_log10,45,-0.16803458325106835,0.2698715724216021,0.0514,6.387
D_Q1,dc_to_non_dc_ratio,N,45,0.06101257335648453,0.6905279305673534,0.0514,6.387
D_Q1,dc_to_non_dc_ratio,Q_log10,45,-0.16803458325106835,0.2698715724216021,0.0514,6.387
D_Q1,spectral_centroid_log_um,N,45,-0.18492845535821237,0.22392717858462963,0.0514,6.387
D_Q1,spectral_centroid_log_um,Q_log10,45,0.02221563536901139,0.8848284016359033,0.0514,6.387
D_Q1,spectral_entropy,N,45,-0.2839011756659304,0.058762193674606424,0.0514,6.387
D_Q1,spectral_entropy,Q_log10,45,0.19591949055401142,0.1971109735508835,0.0514,6.387
D_Q1,effective_band_number,N,45,-0.2839011756659304,0.058762193674606424,0.0514,6.387
D_Q1,effective_band_number,Q_log10,45,0.19591949055401142,0.1971109735508835,0.0514,6.387
D_Q1,lambda_peak_um,N,45,-0.22695206204293203,0.13381146521132176,0.0514,6.387
D_Q1,lambda_peak_um,Q_log10,45,-0.1138072891091405,0.4566450090177725,0.0514,6.387
D_Q1,A2_8_16,N,45,0.27001154335235644,0.0728443419893114,0.0514,6.387
D_Q1,A2_8_16,Q_log10,45,-0.20587367732172868,0.17485582020658094,0.0514,6.387
D_Q1,A2_16_32,N,45,-0.07970176447998456,0.6027572340951063,0.0514,6.387
D_Q1,A2_16_32,Q_log10,45,0.17073737568468694,0.26213079707515613,0.0514,6.387
D_Q1,A2_32_64,N,45,0.07301147038129972,0.6336252997432833,0.0514,6.387
D_Q1,A2_32_64,Q_log10,45,0.10896868031150098,0.4761303315259859,0.0514,6.387
D_Q1,angular_entropy_8_16,N,45,-0.334587425522271,0.02467169854896886,0.0514,6.387
D_Q1,angular_entropy_8_16,Q_log10,45,0.2062032861550968,0.17415122264058872,0.0514,6.387
D_Q1,Sq_um,N,45,-0.21896169055587,0.14842723801021937,0.0514,6.387
D_Q1,Sq_um,Q_log10,45,-0.3253239185343359,0.02921088709494713,0.0514,6.387
D_Q1,Sa_um,N,45,-0.2015087494288661,0.18438086512237067,0.0514,6.387
D_Q1,Sa_um,Q_log10,45,-0.30930492923264524,0.03868754417861711,0.0514,6.387
D_Q1,rms_DCT_8_16_um,N,45,-0.16914808775587964,0.26666438436029233,0.0514,6.387
D_Q1,rms_DCT_8_16_um,Q_log10,45,-0.3360691665021367,0.02400345996767032,0.0514,6.387
D_Q1,rms_DCT_16_32_um,N,45,-0.3697841901283956,0.012415667963860283,0.0514,6.387
D_Q1,rms_DCT_16_32_um,Q_log10,45,-0.2701473998285124,0.07269474851354472,0.0514,6.387
D_Q1,rms_DCT_32_64_um,N,45,-0.2910277932927903,0.05243454183639715,0.0514,6.387
D_Q1,rms_DCT_32_64_um,Q_log10,45,-0.1584759270833928,0.2984504687010124,0.0514,6.387
D_Q1,rms_DCT_64_inf_um,N,45,-0.17416580832989326,0.25252667536882517,0.0514,6.387
D_Q1,rms_DCT_64_inf_um,Q_log10,45,-0.18029603185236245,0.23595006447770162,0.0514,6.387
D_Q1,E_DCT_8_16_frac,N,45,0.21648919056287777,0.1531796747046316,0.0514,6.387
D_Q1,E_DCT_8_16_frac,Q_log10,45,-0.06763573260713854,0.6588852135894352,0.0514,6.387
D_Q1,E_DCT_16_32_frac,N,45,-0.4300695576045882,0.0031919754312482902,0.0514,6.387
D_Q1,E_DCT_16_32_frac,Q_log10,45,0.02590725430273435,0.8658525799050053,0.0514,6.387
D_Q1,E_DCT_32_64_frac,N,45,-0.4074534547275123,0.0054687492404985666,0.0514,6.387
D_Q1,E_DCT_32_64_frac,Q_log10,45,-0.016941894035121443,0.9120450474943665,0.0514,6.387
D_Q1,E_DCT_64_inf_frac,N,45,-0.03556036754627048,0.8166104515845238,0.0514,6.387
D_Q1,E_DCT_64_inf_frac,Q_log10,45,0.04436534897134915,0.7722910186521604,0.0514,6.387
D_Q2,p_lt8,N,45,-0.20402204634562424,0.17885218485989535,6.4736,25.5787
D_Q2,p_lt8,Q_log10,45,0.0839926423193113,0.5833106300788098,6.4736,25.5787
D_Q2,p_8_16,N,45,-0.31736006875703143,0.03364812930691506,6.4736,25.5787
D_Q2,p_8_16,Q_log10,45,-0.38053809377320635,0.009916780765374915,6.4736,25.5787
