direction,target,predictor,controls,n,partial_r2,std_beta,partial_spearman,target_min,target_max,predictor_min,predictor_max
process_to_spectrum,p_lt8,D,N+Q_log10,180,0.18036909669682955,-0.5133987388902325,-0.42341922452530967,0.0018144156918754,0.5068174730020572,0.0514,65.0842
process_to_spectrum,p_lt8,N,D+Q_log10,180,0.03099367887939884,-0.20037422212330827,-0.17895084536671396,0.0018144156918754,0.5068174730020572,1.0,5.0
process_to_spectrum,p_lt8,Q_log10,D+N,180,0.05613339211615026,0.2722072912672572,0.22634803915150642,0.0018144156918754,0.5068174730020572,1.425966017923287,3.6478147675396433
process_to_spectrum,p_8_16,D,N+Q_log10,180,0.11758836812343748,-0.41451731200804365,-0.28152374663620744,0.0024359757659457,0.9126072594872168,0.0514,65.0842
process_to_spectrum,p_8_16,N,D+Q_log10,180,0.009155705563681987,0.11174420276061756,0.004583464159259011,0.0024359757659457,0.9126072594872168,1.0,5.0
process_to_spectrum,p_8_16,Q_log10,D+N,180,0.021464434754409463,-0.17152564098622905,-0.09344297455992924,0.0024359757659457,0.9126072594872168,1.425966017923287,3.6478147675396433
process_to_spectrum,p_16_32,D,N+Q_log10,180,0.13948288105305648,0.47049807618740597,0.4011327035145629,0.0091307090722022,0.5822239904747101,0.0514,65.0842
process_to_spectrum,p_16_32,N,D+Q_log10,180,0.0008040542640109933,-0.03393752742578926,-0.10583797990135316,0.0091307090722022,0.5822239904747101,1.0,5.0
process_to_spectrum,p_16_32,Q_log10,D+N,180,0.004505179632653682,-0.08018169537770746,0.0005198405551133385,0.0091307090722022,0.5822239904747101,1.425966017923287,3.6478147675396433
process_to_spectrum,p_32_64,D,N+Q_log10,180,0.21760680054799134,0.5576765463816729,0.4997470166863978,0.0041942539928453,0.5207961743870223,0.0514,65.0842
process_to_spectrum,p_32_64,N,D+Q_log10,180,0.03280341175910472,-0.19936389355919357,-0.228439599595378,0.0041942539928453,0.5207961743870223,1.0,5.0
process_to_spectrum,p_32_64,Q_log10,D+N,180,0.024795057434846147,0.17197084326205936,0.21691640243051116,0.0041942539928453,0.5207961743870223,1.425966017923287,3.6478147675396433
process_to_spectrum,p_64_inf,D,N+Q_log10,180,0.01039045236268705,0.12902645814350597,0.1712685240938049,0.0028148528476664,0.8888271898122937,0.0514,65.0842
process_to_spectrum,p_64_inf,N,D+Q_log10,180,0.005300229099712924,0.09409802183940241,0.027164411948569427,0.0028148528476664,0.8888271898122937,1.0,5.0
process_to_spectrum,p_64_inf,Q_log10,D+N,180,1.8077944214475208e-07,-0.0005460464313935043,0.02149203546729931,0.0028148528476664,0.8888271898122937,1.425966017923287,3.6478147675396433
process_to_spectrum,dc_offset_frac,D,N+Q_log10,180,0.05909109245027863,0.3085774894712626,0.25942548782338304,3.3051317322104445e-07,0.2349198383066918,0.0514,65.0842
process_to_spectrum,dc_offset_frac,N,D+Q_log10,180,0.02046197976868392,-0.18219056963396354,0.03643164240988153,3.3051317322104445e-07,0.2349198383066918,1.0,5.0
process_to_spectrum,dc_offset_frac,Q_log10,D+N,180,0.003645021862113636,0.07595940769158202,0.027779652690106172,3.3051317322104445e-07,0.2349198383066918,1.425966017923287,3.6478147675396433
process_to_spectrum,dc_to_non_dc_ratio,D,N+Q_log10,180,0.05542463818861293,0.29881242380725354,0.25942548782338304,3.3051328246003826e-07,0.3070525809828308,0.0514,65.0842
process_to_spectrum,dc_to_non_dc_ratio,N,D+Q_log10,180,0.025035005395267547,-0.20236274038194982,0.03643164240988153,3.3051328246003826e-07,0.3070525809828308,1.0,5.0
process_to_spectrum,dc_to_non_dc_ratio,Q_log10,D+N,180,0.0044986893601185836,0.08457638820660582,0.027779652690106172,3.3051328246003826e-07,0.3070525809828308,1.425966017923287,3.6478147675396433
process_to_spectrum,spectral_centroid_log_um,D,N+Q_log10,180,0.12566298920783048,0.4339392023683308,0.3990487383229952,2.2304634730789656,4.742394718320736,0.0514,65.0842
process_to_spectrum,spectral_centroid_log_um,N,D+Q_log10,180,0.00013581172727648465,0.013656784271360009,-0.009922366711997949,2.2304634730789656,4.742394718320736,1.0,5.0
process_to_spectrum,spectral_centroid_log_um,Q_log10,D+N,180,0.0003151366190635658,0.020727361817929182,0.04334750637101258,2.2304634730789656,4.742394718320736,1.425966017923287,3.6478147675396433
process_to_spectrum,spectral_entropy,D,N+Q_log10,180,0.032000397423027654,0.2166988758581252,0.05051781976244359,0.2066088442046123,0.9134923361674036,0.0514,65.0842
process_to_spectrum,spectral_entropy,N,D+Q_log10,180,0.058738154460879606,-0.30479453669334045,-0.21473294393451361,0.2066088442046123,0.9134923361674036,1.0,5.0
process_to_spectrum,spectral_entropy,Q_log10,D+N,180,0.07027106609151695,0.334185949287808,0.3361807992819833,0.2066088442046123,0.9134923361674036,1.425966017923287,3.6478147675396433
process_to_spectrum,effective_band_number,D,N+Q_log10,180,0.011830777552972079,0.13023666356836444,0.05051781976244359,1.928252261599972,18.23107978138205,0.0514,65.0842
process_to_spectrum,effective_band_number,N,D+Q_log10,180,0.0587592363175473,-0.30444979214568085,-0.21473294393451361,1.928252261599972,18.23107978138205,1.0,5.0
process_to_spectrum,effective_band_number,Q_log10,D+N,180,0.09825756237197683,0.400724175570594,0.3361807992819833,1.928252261599972,18.23107978138205,1.425966017923287,3.6478147675396433
process_to_spectrum,lambda_peak_um,D,N+Q_log10,180,0.029945669069713132,0.21725939138126507,0.2562476591028137,6.010042719351759,142.88074044744846,0.0514,65.0842
process_to_spectrum,lambda_peak_um,N,D+Q_log10,180,0.0016611334216307182,-0.05163670735136642,0.0054832075603790205,6.010042719351759,142.88074044744846,1.0,5.0
process_to_spectrum,lambda_peak_um,Q_log10,D+N,180,0.008901293173038272,0.11951961954563461,0.07846194947113587,6.010042719351759,142.88074044744846,1.425966017923287,3.6478147675396433
process_to_spectrum,A2_8_16,D,N+Q_log10,180,0.007018255095398048,-0.09436133219996853,-0.011365792444244023,0.0120799449422375,0.9755310556113246,0.0514,65.0842
process_to_spectrum,A2_8_16,N,D+Q_log10,180,0.04980855082955478,0.26307659394764477,0.20912932204656645,0.0120799449422375,0.9755310556113246,1.0,5.0
process_to_spectrum,A2_8_16,Q_log10,D+N,180,0.1843961394773312,-0.5443120181112214,-0.4461195430598901,0.0120799449422375,0.9755310556113246,1.425966017923287,3.6478147675396433
process_to_spectrum,A2_16_32,D,N+Q_log10,180,0.027180218257603216,0.2060087772976943,0.17187000614160014,0.0152398666192048,0.9607210340123078,0.0514,65.0842
process_to_spectrum,A2_16_32,N,D+Q_log10,180,0.006282255540796834,0.1003199767689201,0.05195848589733591,0.0152398666192048,0.9607210340123078,1.0,5.0
process_to_spectrum,A2_16_32,Q_log10,D+N,180,0.07449017461770055,-0.35661200323288733,-0.2712416632880167,0.0152398666192048,0.9607210340123078,1.425966017923287,3.6478147675396433
process_to_spectrum,A2_32_64,D,N+Q_log10,180,0.004619702610616371,-0.08672170107221641,-0.09069031937600434,0.0571785519006038,0.7532570176729368,0.0514,65.0842
process_to_spectrum,A2_32_64,N,D+Q_log10,180,0.006140681125493279,0.1024346315267929,0.08424339476786669,0.0571785519006038,0.7532570176729368,1.0,5.0
process_to_spectrum,A2_32_64,Q_log10,D+N,180,0.0045857042084156046,0.0881206936886077,0.07776174185105464,0.0571785519006038,0.7532570176729368,1.425966017923287,3.6478147675396433
process_to_spectrum,angular_entropy_8_16,D,N+Q_log10,180,0.043321297711699784,0.23149903910240252,0.03321371110151143,0.2884001251722402,0.9549473698303074,0.0514,65.0842
process_to_spectrum,angular_entropy_8_16,N,D+Q_log10,180,0.05937627138733276,-0.2798115954661648,-0.19894819097379213,0.2884001251722402,0.9549473698303074,1.0,5.0
process_to_spectrum,angular_entropy_8_16,Q_log10,D+N,180,0.17364662110038764,0.5086198531718436,0.4798241850030032,0.2884001251722402,0.9549473698303074,1.425966017923287,3.6478147675396433
process_to_spectrum,Sq_um,D,N+Q_log10,180,0.1487374263935147,0.4940229859774683,0.510206345841111,0.1821291303333456,12.603457527561158,0.0514,65.0842
process_to_spectrum,Sq_um,N,D+Q_log10,180,0.03189358160690145,-0.21960619472724113,-0.1116531537488081,0.1821291303333456,12.603457527561158,1.0,5.0
process_to_spectrum,Sq_um,Q_log10,D+N,180,0.004517996617458381,-0.08120570957280906,-0.28327607732004967,0.1821291303333456,12.603457527561158,1.425966017923287,3.6478147675396433
process_to_spectrum,Sa_um,D,N+Q_log10,180,0.12036139075934726,0.4454851309285128,0.45863564873708684,0.1393391743302345,6.405994279943407,0.0514,65.0842
process_to_spectrum,Sa_um,N,D+Q_log10,180,0.02156965681101686,-0.18305606079716896,-0.10822291962242521,0.1393391743302345,6.405994279943407,1.0,5.0
process_to_spectrum,Sa_um,Q_log10,D+N,180,0.016150540348453375,-0.15737381949953275,-0.3203773631568212,0.1393391743302345,6.405994279943407,1.425966017923287,3.6478147675396433
process_to_spectrum,rms_DCT_8_16_um,D,N+Q_log10,180,0.11935344297054995,0.43874649647210145,0.4282962150386343,0.0818533161546842,2.655300880833157,0.0514,65.0842
process_to_spectrum,rms_DCT_8_16_um,N,D+Q_log10,180,0.031077519080259117,-0.21850498844077762,-0.14372065875702356,0.0818533161546842,2.655300880833157,1.0,5.0
process_to_spectrum,rms_DCT_8_16_um,Q_log10,D+N,180,0.04303457791669164,-0.25776217283872305,-0.31319252558838684,0.0818533161546842,2.655300880833157,1.425966017923287,3.6478147675396433
process_to_spectrum,rms_DCT_16_32_um,D,N+Q_log10,180,0.256142913622435,0.6480351749776965,0.6253868789778152,0.0651854291579099,3.8438181695871223,0.0514,65.0842
process_to_spectrum,rms_DCT_16_32_um,N,D+Q_log10,180,0.035107010875227274,-0.215647886501008,-0.2070350455476226,0.0651854291579099,3.8438181695871223,1.0,5.0
process_to_spectrum,rms_DCT_16_32_um,Q_log10,D+N,180,0.018900509957075907,-0.15633057383708487,-0.24386830213681965,0.0651854291579099,3.8438181695871223,1.425966017923287,3.6478147675396433
process_to_spectrum,rms_DCT_32_64_um,D,N+Q_log10,180,0.19244882143600534,0.5575987067382169,0.5969259586282651,0.0377944917002161,6.98008900565084,0.0514,65.0842
process_to_spectrum,rms_DCT_32_64_um,N,D+Q_log10,180,0.03587996987439478,-0.22557726915853862,-0.20901508912790226,0.0377944917002161,6.98008900565084,1.0,5.0
process_to_spectrum,rms_DCT_32_64_um,Q_log10,D+N,180,0.0009403487087100245,-0.035740402617138865,-0.13299958350300436,0.0377944917002161,6.98008900565084,1.425966017923287,3.6478147675396433
process_to_spectrum,rms_DCT_64_inf_um,D,N+Q_log10,180,0.10739950220763941,0.4188888754765791,0.49223133746315406,0.03960259152535,11.592329731796118,0.0514,65.0842
process_to_spectrum,rms_DCT_64_inf_um,N,D+Q_log10,180,0.0237227663740029,-0.19271167898651503,-0.06437519066115174,0.03960259152535,11.592329731796118,1.0,5.0
process_to_spectrum,rms_DCT_64_inf_um,Q_log10,D+N,180,0.000514018896737955,-0.02793115986874711,-0.2156255956041579,0.03960259152535,11.592329731796118,1.425966017923287,3.6478147675396433
process_to_spectrum,E_DCT_8_16_frac,D,N+Q_log10,180,0.11953797479153633,-0.4176011197825018,-0.286093556893859,0.0021634723047166,0.9126007118620216,0.0514,65.0842
process_to_spectrum,E_DCT_8_16_frac,N,D+Q_log10,180,0.009111736272616192,0.1112597156897178,0.005166808935831871,0.0021634723047166,0.9126007118620216,1.0,5.0
process_to_spectrum,E_DCT_8_16_frac,Q_log10,D+N,180,0.021546874519419126,-0.17153299782345197,-0.0931512164634395,0.0021634723047166,0.9126007118620216,1.425966017923287,3.6478147675396433
