dataset_index,session_id,sample_id,session_role,processing_order,design_group,shared_height_source_id,loco_total_pc1_deg,loco_total_pc123_deg,loco_DCT_8_16_pc1_deg,loco_DCT_8_16_pc123_deg,loco_DCT_16_32_pc1_deg,loco_DCT_16_32_pc123_deg,loco_DCT_32_64_pc1_deg,loco_DCT_32_64_pc123_deg,loco_DCT_64_inf_pc1_deg,loco_DCT_64_inf_pc123_deg,peak_to_valley_p98p2_um,R_max_minus_min_um,deepest_negative_residual_um,median_depth_um,Sq_um,Sa_um,Ssk_skewness,kurtosis_excess_fisher,grad_rms_um_per_um,aniso_gradx_over_y,lap_rms_um_per_px2,acf_e_fold_lag_um,pit_density_per_Mpx,pit_depth_um,rms_DCT_8_16_um,E_DCT_8_16_frac,rms_DCT_16_32_um,E_DCT_16_32_frac,rms_DCT_32_64_um,E_DCT_32_64_frac,rms_DCT_64_inf_um,E_DCT_64_inf_frac,band_PC1_score_audit_DCT_8_16,band_PC2_score_audit_DCT_8_16,band_PC1_score_audit_DCT_16_32,band_PC2_score_audit_DCT_16_32,band_PC1_score_audit_DCT_32_64,band_PC2_score_audit_DCT_32_64,band_PC1_score_audit_DCT_64_inf,band_PC2_score_audit_DCT_64_inf,D_morph_k5,D_morph_k10,D_proc_raw_k5,D_proc_phys_k5,repair_pixel_count,repair_fraction,valid_fraction,repair_largest_component_px,plane_rmse_um,plane_status,rank_Sq,rank_loco_total_pc1,rank_D_morph_k10,rank_pit_density,rank_E_DCT_8_16,rank_E_DCT_16_32,rank_E_DCT_32_64,rank_E_DCT_64_inf,spectral_rank_min,A_consensus
0,zro2_120_formal,1,formal,1,,zro2_120_formal:m001,0.02934283294492727,0.09751784516864158,0.010653809696384884,0.04327149092247518,0.01110067960136503,0.06733631545338742,0.006747910728011285,0.05104449381859657,0.019729053979865775,0.09369108516183502,2.218260231018067,4.708356857299805,2.608588695526123,13.5066,0.5698619732077966,0.4302131832763552,-0.8683832715745423,0.8606866394446802,0.1375922963859377,0.9357132768889715,0.058738836690324,26.75,10156.25,2.608588695526123,0.1030365304961422,0.0326921210121534,0.1376329130798371,0.0583317826692023,0.1596482378958925,0.0784854050141962,0.5104522050524286,0.8023628519152859,-5.033946697915988,0.6877166958914593,2.9303298793704946,0.11896278300328175,-5.465417800765134,-10.724982559851288,-17.82599041400702,-26.172988438845273,3.0284369806820854,3.9982713390140634,0.7291738753880718,0.6437906984744992,0,0.0,1.0,0,0.2188877772242756,PASS,127.0,124.0,42.0,16.0,188.0,173.0,110.0,12.0,12.0,42.0
1,zro2_120_formal,2,formal,2,,zro2_120_formal:m002,0.02103059250467562,0.01542658482647877,0.012052581096296311,0.03541733877980613,0.004378048615201017,0.0075635721603802926,0.009095868952734986,0.01440967080046974,0.010073463574186812,0.007014508678635701,1.0339217567443848,2.801389694213867,1.0504846572875977,8.6371,0.2474479139721646,0.1876985286734998,0.2263147492129335,2.163836159905178,0.1660174536332055,1.169791651651312,0.0963594361585658,3.75,1289.0625,1.0504846572875977,0.1291602401267871,0.2724520584998792,0.1087371577210393,0.1931027059616884,0.0738390494611198,0.0890439876391505,0.110213070530734,0.1983803307436088,-4.90386857461034,2.513145937406431,-1.8355766069812873,0.8883685005154102,-10.419529465755463,-10.727997816054135,-18.65812061363815,-19.6812231242506,0.9583221823322942,1.0937471063294653,0.8610251207121555,0.6033081979776437,0,0.0,1.0,0,0.2893086040778375,PASS,192.0,147.0,147.0,44.0,85.0,75.0,102.0,109.0,75.0,147.0
2,zro2_120_formal,3,formal,3,,zro2_120_formal:m003,0.01849501205444321,0.016197482862891754,0.008149972216792086,0.01952933416760796,0.0006634156359320302,0.02128691887898986,0.005615141537164681,0.005829744888579944,0.010303529198606335,0.011136366224554311,0.9991762971878051,1.8830780982971191,0.9572693109512329,3.897,0.2425357052854811,0.1922057778760791,-0.2044476694588118,0.0813713658817114,0.1933223083751537,1.7280293948654324,0.1035854544647292,4.5,664.0625,0.9572693109512328,0.1111059921035049,0.2098570663089332,0.0855976023734318,0.1245580596188748,0.063657909874927,0.0688895557361843,0.0970054159665095,0.1599707564953102,-3.8795329347370138,1.1418413011539414,0.2589293788742555,1.811851271669711,-11.8558035823284,-4.316820291327949,-17.50030988080775,-20.743599901471658,0.872562343214524,0.984956146556079,0.779817836676343,0.6289644084366047,0,0.0,1.0,0,0.2561944868863207,PASS,193.0,151.0,165.0,59.0,112.0,122.0,120.0,119.0,112.0,151.0
3,zro2_120_formal,4,formal,4,,zro2_120_formal:m004,0.010484426740963929,0.04959371311426482,0.02922999154206591,0.4777709089688304,0.015855707859718977,0.028827771785966502,0.006772303490800786,0.012766735892076992,0.006476255580560083,0.04094078810191576,1.4020430898666383,2.6809662580490112,1.448561429977417,2.162,0.350995647916628,0.2870346651691943,-0.0655740774308949,-0.2366026811240136,0.2861270171719232,1.9178438108706684,0.1859050817105116,21.0,78.125,1.448561429977417,0.2807287818920139,0.6396912633114532,0.0976280174378097,0.0773651687123991,0.0580780660178659,0.0273792047124396,0.0904505195602778,0.0664077351148954,-5.2506107441818575,2.2091082928727666,3.886013428920831,6.477568327441206,-8.410286381638432,-9.474228702904467,-12.555835032075281,-11.604371394321683,0.5095549205749395,0.7146109828360427,0.7430760229804215,0.5927119758377988,0,0.0,1.0,0,0.2399722506936449,PASS,172.0,167.0,193.0,93.5,17.0,157.0,183.0,171.0,17.0,167.0
4,zro2_120_formal,5,formal,5,,zro2_120_formal:m005,0.002024570965353623,0.030678749088693644,0.023269497295195292,0.16089894695544762,0.00024354407688076488,0.021405036938294403,0.00928562150183598,0.02206817293782033,0.0005800906593169106,0.010993684790866855,1.4664978313446047,3.132301092147827,1.5796504020690918,4.774,0.3828374774317057,0.3121914247889071,0.1651885955735265,-0.2041715013568628,0.2798002913559437,2.072526107372664,0.1431457975481177,21.0,117.1875,1.5796504020690918,0.2863962251043359,0.5596360554958485,0.0841823461931048,0.0483518571039175,0.084633031654792,0.048870963837063,0.1458907618792905,0.1452200870326694,-3.7585957954368356,-2.4901409418946634,0.10209341137302741,-0.5153667843917243,-10.8497265127278,-8.118643903556125,0.9243204485450922,-22.033598167753638,0.6002035398111903,0.6735892741881424,0.7695691644050539,0.5973731294371464,0,0.0,1.0,0,0.2280783902500088,PASS,167.0,195.0,197.0,88.5,25.0,177.0,151.0,129.0,25.0,167.0
5,zro2_120_formal,6,formal,6,,zro2_120_formal:m006,0.01290185844262456,0.05582446604543437,0.6218475495457054,0.9912255973425342,0.006531010137416563,0.008072450961839719,0.00937976276359878,0.007902382858663985,0.006925851290583535,0.012337095593629693,2.3381036764383314,3.642431676387787,2.0300320088863373,0.7912,0.7214708222399228,0.6459669410050407,-0.0516254681542636,-1.3251149280121697,0.4860298483732815,3.4984543172425933,0.1988155492913429,21.0,0.0,2.0300320088863373,0.6892220665389699,0.9126007118620216,0.0962299177783517,0.0177902759823751,0.0467244908236702,0.0041942239005982,0.059340365447606,0.0067649234893713,98.41726348057666,11.536369981878,2.332651441023242,-1.2231417654960395,-12.459878811731107,-9.760410061837863,-12.112699686517544,-20.110604016020798,1.0360525040597404,1.1278943795020817,0.8235464636759924,0.5999877397066504,0,0.0,1.0,0,0.1991742301428834,PASS,100.0,162.0,141.0,153.0,1.0,198.0,200.0,200.0,1.0,141.0
6,zro2_120_formal,7,formal,7,,zro2_120_formal:m007,0.024743784082834543,0.0358977894201936,1.2174338395246689,2.7994154462623664,0.02573301373213407,0.0574490263982957,0.00736302179321393,0.021627223243254216,0.0022301688763244247,0.0031117483298328326,2.7984184074401854,4.16815447807312,1.7475953102111816,6.1178,0.8691893010855851,0.762839804533869,0.2404510144857071,-1.2591588765876176,0.5627609088852555,4.166138580515877,0.1473344738627559,21.0,0.0,1.7475953102111816,0.8137978600038268,0.8766058066941096,0.1616724984893757,0.0345974074376825,0.0914890684626209,0.0110792322764852,0.1277449320606638,0.0216002419343023,-111.93842423534147,0.38249063577401327,6.116606838401847,-1.5012234024792543,-6.460312421971984,-14.2473475482519,-16.736753980868485,0.4545138704008647,1.1308511446011569,1.6926330314256224,0.9467916046467049,0.7943653283672143,0,0.0,1.0,0,0.2317433984458325,PASS,76.0,131.0,102.0,153.0,2.0,190.0,196.0,194.0,2.0,102.0
7,zro2_120_formal,8,formal,8,,zro2_120_formal:m008,0.02014810136349571,0.05735516974101427,1.5647493354093507,5.626051018420328,0.010773394691925016,0.0751420912389431,0.004521833409300858,0.021690419498254985,0.003645839203272226,0.010503165884346126,3.7011878377199174,6.018952429294586,2.6173317432403564,2.6327,1.092760064340996,0.9501833926099676,0.2366919648593991,-1.0768332940873104,0.7232989095774868,3.370397358450119,0.2824522230210693,21.0,0.0,2.6173317432403564,0.979539048864074,0.8035147938678739,0.2391044372916405,0.047876858020442,0.1453083608262152,0.0176820077777324,0.2566162410016084,0.05514658809466,123.1191110943652,7.09454546545644,-1.7965319909996713,-4.547721498817689,-5.066566966490147,0.40893583902231423,11.985366063763937,-5.771331936644409,1.3270308575949195,1.4947978324152968,0.9523238100956342,0.5674905716685025,0,0.0,1.0,0,0.2022893945375132,PASS,62.0,148.0,112.0,153.0,6.0,178.0,193.0,176.0,6.0,112.0
8,zro2_120_formal,9,formal,9,,zro2_120_formal:m009,0.0089012432918744,0.023887141499965413,0.019925739453482014,0.044059169027668335,0.02963170103456345,0.04624549580652833,0.0025597530729784402,0.02175764276016902,0.00463921807928976,0.009654676067023804,1.0488778686523441,7.504032135009766,0.6732025146484375,57.0338,0.3400339414728189,0.1667512591183185,9.23201927084401,147.9673293233625,0.267714526979338,0.7403232318753238,0.1394147445956845,3.0,703.125,0.6732025146484375,0.2102392241227921,0.3822812092734473,0.1466595587884569,0.1860270971178908,0.0901012116826063,0.0702128697111154,0.0634568539946907,0.0348267168783614,-5.033529151249356,-1.213153209933206,6.3697163929777725,-5.3444900862435105,-3.54256985315159,-5.725304998814402,-12.276977253415845,-11.51226673696392,9.557858264069354,10.045754582015915,0.9597289597795595,2.875693786678015,0,0.0,1.0,0,0.2713436573814032,PASS,176.0,173.0,18.0,56.0,49.0,81.0,117.0,186.0,49.0,56.0
9,zro2_120_formal,10,formal,10,,zro2_120_formal:m010,0.018437725110165292,0.09864063442681366,0.04853121264791799,0.3960753149796989,0.086154403584578,0.39641687526973435,0.0030391494965228976,0.0862201919978488,0.013620043198499326,0.033523012834361474,3.408631072044373,5.913712978363037,3.122002959251404,3.669,0.839902858973966,0.6703478494845331,-0.2916996552462086,-0.0199958676461879,0.473189929899149,0.9386011788927784,0.1798564283623417,3.75,429.6875,3.122002959251404,0.538889300530697,0.411662211378088,0.4456299116342512,0.2815078751501812,0.2627116899258154,0.0978364479985809,0.2269814251417299,0.0730335679192351,-4.811501692357762,11.737493586113981,7.366259006507776,-8.377765157340683,1.808112909360874,-4.18402052836491,-14.262704421175021,-32.20441938681222,1.294380733096356,1.4574904610796242,1.1131631207107624,0.24097833855638115,0,0.0,1.0,0,0.2093315666446699,PASS,84.0,152.0,115.0,66.0,42.0,40.0,97.0,162.0,40.0,84.0
