cv_variant,fold,Q2_M0_A,Q2_M1_A_plus_mech,dQ2_mech
src_gkf,0,0.37394839798623025,0.34815408521727986,-0.02579431276895039
src_gkf,1,0.31246800018286625,0.3435373815338767,0.03106938135101045
src_gkf,2,0.3082626913088109,0.3452692410554634,0.03700654974665252
src_gkf,3,0.37426197839567965,0.4181195272395709,0.04385754884389126
src_gkf,4,0.2875738381234606,0.31880593734836493,0.03123209922490433
proc_gkf,0,0.4041337289958268,0.4356472183124618,0.031513489316635
proc_gkf,1,0.2941342628413829,0.33160724824547705,0.03747298540409416
proc_gkf,2,0.31365931005982517,0.3404803494363422,0.02682103937651703
proc_gkf,3,0.341464041428723,0.2638939133702425,-0.07757012805848051
proc_gkf,4,0.19687569704107166,0.2446374674667976,0.047761770425725936
