cv_variant,dQ2_mech_median,dQ2_q25,dQ2_q75,n_pos,n_folds,state,G3b
proc_gkf,0.031513489316635,0.02682103937651703,0.03747298540409416,4,5,APPLICABLE,NOT SUPPORTED
src_gkf,0.03123209922490433,0.03106938135101045,0.03700654974665252,4,5,APPLICABLE,NOT SUPPORTED
