model_id,family,MAE_um,RMSE_um,component_balanced_Q2,risk_MSE_um2,coverage
B0,GAM,19.029637925521357,20.929311648771886,0.0,438.03608609141855,180
BA,GAM,16.625137601892007,18.704089721331215,0.2013375532019629,349.84297230360795,180
BG,GAM,14.233752174423552,17.73358555252559,0.2820681525240548,314.4800565487443,180
BM,GAM,12.986836835234731,16.325202772840395,0.391574680633197,266.51224557435575,180
BP,GAM,12.443487289538137,16.12112524684597,0.4066911666034403,259.89067922449453,180
BPE,GAM,13.387408094550585,16.38669120014135,0.38698281485249875,268.52364848878995,180
BQ,GAM,14.830878671896924,17.480344823354105,0.3024262958107258,305.5624551433627,180
BT,GAM,16.100658252200446,19.095170238985748,0.16759020995418783,364.625526455847,180
BU,GAM,6.527572492943998,8.386107846686468,0.8394497461526969,70.32680481625636,180
BUM,GAM,7.911214777927237,9.832998501702091,0.7792696478565998,96.68785953447558,180
B0,Ridge,19.029637925521357,20.929311648771886,0.0,438.03608609141855,180
BA,Ridge,17.323528626409306,19.37149363235377,0.14332454000146777,375.25476554832267,180
BG,Ridge,18.549106810713447,21.071843354046987,-0.013666673674064045,444.0225823374942,180
BM,Ridge,12.352746910770657,15.660426130190134,0.44011702604803604,245.24894657914194,180
BP,Ridge,12.110018616844952,15.456399264747978,0.45461050854736407,238.90027823130183,180
BPE,Ridge,12.379521520802477,15.685154928622408,0.4383474491105229,246.0240851348878,180
BQ,Ridge,14.788142043840201,17.218406077691945,0.3231756075127914,296.47350785629897,180
BT,Ridge,15.540306367926839,18.409523720069767,0.22629533419518222,338.9105635998114,180
BU,Ridge,7.002263763797176,9.088676562995731,0.8114218342058961,82.60404166674789,180
BUM,Ridge,7.296049066887147,9.39701093781836,0.7984097261177501,88.30381456547788,180
