session_id,measurement_id,sample_id,roi_within_measurement,cag_path,mapping_provenance,plane_a,plane_b,plane_c,plane_rmse_um,sigma_ref_um,theta_line_deg,orientation_center_x_um,orientation_center_y_um,orientation_threshold_um,orientation_signal_pixels,orientation_confident,crop_center_x_um,crop_center_y_um,crop_length_um,crop_pixels,raw_width_um,raw_height_um,valid_pixel_ratio
zro2_120_line,1,1,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.002884264633260404,0.015976106724651995,12.365962573023182,0.24008910257425595,0.2262616230028661,-0.4833998594078537,2.9996386921341656,-0.5494565094139909,0.9050464920114644,23427,True,0.0,0.0,289.4850750470505,1000,285.344768,17.834048,1.0
zro2_120_line,2,2,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0031858189900540383,0.017815481713071946,17.79933945963336,0.29019568788614936,0.2762080970328962,-0.5005102495663607,1.3639003445319575,0.44386740222465887,1.104832388131585,26700,True,0.0,0.0,289.48966902748424,1000,285.344768,17.834048,1.0
zro2_120_line,3,3,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.002491568157388991,0.020719744693397324,16.499974476660356,0.27278857497913456,0.26162271597908743,-0.5216460997557988,17.863837269414557,0.10530868486061513,1.0464908639163497,27491,True,0.0,0.0,289.49530865654856,1000,285.344768,17.834048,1.0
zro2_120_line,4,4,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0010246244503000176,0.015060959830910825,20.70857086776663,0.2784185576879192,0.2661918903670896,-0.6035854119961073,-0.7942085976076593,0.5340783605381131,1.0647675614683585,29525,True,0.0,0.0,289.51680506614593,1000,285.344768,17.834048,1.0
zro2_120_line,5,5,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0008743012924756774,0.018301693286605136,19.76921867681055,0.2640087734879139,0.23861620911571166,-0.577902797329557,7.829805415909166,0.18348746967470023,0.9544648364628466,29078,True,0.0,0.0,289.5101301761864,1000,285.344768,17.834048,1.0
zro2_120_line,6,6,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0012773089344502318,0.016415627558738155,7.894089088108823,0.3233666766728191,0.29891000607266194,-0.5259222931374268,-15.874569797465137,0.8578090584791226,1.1956400242906478,4907,True,0.0,0.0,289.49644493796455,1000,285.344768,17.834048,1.0
zro2_120_line,7,7,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0002947440091899915,0.01862228669226873,20.164476171007305,0.2516295580828746,0.2375780462390831,-0.5749350747876179,7.820651550805178,0.7186238573153382,0.9503121849563324,30056,True,0.0,0.0,289.509355170143,1000,285.344768,17.834048,1.0
zro2_120_line,8,8,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0014526564355960855,0.01761845915172315,10.731504415016882,0.32991306591319397,0.3056980739430036,-0.4501549405537446,-15.175394808255149,0.4716908290421827,1.2227922957720143,4511,True,0.0,0.0,289.47607630510123,1000,285.344768,17.834048,1.0
zro2_120_line,9,9,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0019948573603168415,0.02296125658609771,21.70415956704218,0.29515940970051013,0.2684155521887877,-0.545581251270363,8.166517471945221,0.963644380855498,1.0736622087551508,32515,True,0.0,0.0,289.5016483074434,1000,285.344768,17.834048,1.0
zro2_120_line,10,10,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.005427890225884412,0.011990290671994974,11.039051777316955,0.3136689893911897,0.2988627705440441,-0.7328814671022599,-3.428464981697437,0.7774912757010772,1.1954510821761763,5273,True,0.0,0.0,289.54953758309733,1000,285.344768,17.834048,1.0
zro2_120_line,11,11,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0021807012910492083,0.015523723915108256,24.102575205795393,0.2611535734993887,0.24612864200904055,-0.6256123512166312,-0.6991704879133948,0.6332842323153411,0.9845145680361622,32680,True,0.0,0.0,289.5224841492107,1000,285.344768,17.834048,1.0
zro2_120_line,12,12,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0032526864296555094,0.02134882986133091,15.668949442003347,0.3031370574392738,0.2889849432239029,-0.5640198485413066,5.380673783954588,0.40803477478977457,1.1559397728956116,27635,True,0.0,0.0,289.50649812327765,1000,285.344768,17.834048,1.0
zro2_120_line,13,13,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0025060506798724705,0.01713132869774725,18.48103297844896,0.24097050129449651,0.22781140256825963,-0.5602357130055964,16.483615963246823,1.0212374972045941,0.9112456102730385,33125,True,0.0,0.0,289.50550521167935,1000,285.344768,17.834048,1.0
zro2_120_line,14,14,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0024579303343383123,0.014255139798812877,13.603563888100666,0.25552439201951654,0.25174072250425866,-0.497556707574887,8.893023308892296,0.5726009866858409,1.0069628900170347,28715,True,0.0,0.0,289.4888778470798,1000,285.344768,17.834048,1.0
zro2_120_line,15,15,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.003116951620977789,0.017834085294810897,11.950421464965462,0.2957994680564054,0.2707516167404761,-0.425950008066593,14.961006826997075,-0.3610663853136263,1.0830064669619044,19761,True,0.0,0.0,289.4694640458191,1000,285.344768,17.834048,1.0
zro2_120_line,16,16,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0032815992467988787,0.024986065148684844,20.873262570907368,0.30493281825529717,0.29608663429491305,-0.5371066158066355,10.490453212370317,0.6632875944788146,1.1843465371796522,35337,True,0.0,0.0,289.49940934676755,1000,285.344768,17.834048,1.0
zro2_120_line,17,17,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0030231202205266774,0.01960932543596261,22.181480333946705,0.28836207375581663,0.27659840510304895,-0.44192065513229295,8.363106581532504,1.1299977758064517,1.1063936204121958,33548,True,0.0,0.0,289.4738325959619,1000,285.344768,17.834048,1.0
zro2_120_line,18,18,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.003939712403565858,0.01815670572897954,18.293176650285716,0.2665132804818368,0.25991518200880637,-0.4562528872582732,11.816718081470983,0.1568251406293147,1.0396607280352255,26270,True,0.0,0.0,289.47773409654155,1000,285.344768,17.834048,1.0
zro2_120_line,19,19,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0030879204493849837,0.017279547195241385,23.503169949349196,0.27547894075401685,0.2691610665043644,-0.5890289510199977,-5.185895348694465,0.31665688607332176,1.0766442660174576,28386,True,0.0,0.0,289.5130288970838,1000,285.344768,17.834048,1.0
zro2_120_line,20,20,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0021452395550592197,0.019453117701462297,17.918990888240643,0.30493307259729835,0.2897351499771322,-0.4261182798649088,6.24478042777434,0.7863245375624309,1.1589405999085287,26211,True,0.0,0.0,289.4695101898644,1000,285.344768,17.834048,1.0
zro2_120_line,21,21,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),0.0014625269881512865,0.015363256703766703,18.0269542531887,0.27092622219150236,0.25509166593187593,-0.47199319781753957,-1.3941185673903587,0.28938029961038036,1.0203666637275037,28026,True,0.0,0.0,289.4819983206315,1000,285.344768,17.834048,1.0
zro2_120_line,22,22,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0019557802891188515,0.019146125832413152,12.991472350441866,0.32536459535444834,0.29404006821112544,-0.5600649670863049,-2.1387395068453112,-0.41343075900122106,1.1761602728445018,22979,True,0.0,0.0,289.5054603806416,1000,285.344768,17.834048,1.0
zro2_120_line,23,23,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.003156295920505845,0.019741393714125977,16.512182424493833,0.31078722169248496,0.2945391148251252,-0.3645290631933449,3.246337678911036,0.5522146522844275,1.1781564593005007,27860,True,0.0,0.0,289.4524565186545,1000,285.344768,17.834048,1.0
zro2_120_line,24,24,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0026491370096594427,0.018568158108255184,15.797983563528726,0.3669556351381639,0.33022478649601733,-0.5052198948286559,-6.595232853698207,0.1471018389631212,1.3208991459840693,27578,True,0.0,0.0,289.4909290549312,1000,285.344768,17.834048,1.0
zro2_120_line,25,25,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.002730105504790005,0.01875478384977347,19.276104176221683,0.35636544309415835,0.32591144177548464,-0.6174423938090001,-4.591923434600917,1.088791945392569,1.3036457671019386,29349,True,0.0,0.0,289.52038265781664,1000,285.344768,17.834048,1.0
zro2_120_line,26,26,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0032228192426292297,0.014127535075158626,15.53257146295782,0.2553098250005177,0.24000321728434074,-0.5470404732540999,-12.469223216095083,0.9447299464299126,0.960012869137363,27636,True,0.0,0.0,289.50203319701063,1000,285.344768,17.834048,1.0
zro2_120_line,27,27,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.003426088868257051,0.018776028407960776,13.972718671189844,0.25155620770169534,0.22753374679112226,-0.5776773812923182,-2.5963574349731946,-0.2881468981538279,0.910134987164489,24965,True,0.0,0.0,289.5100713367858,1000,285.344768,17.834048,1.0
