session_id,sample_id,measurement_id,roi_within_measurement,annotator_a_left_u_um,annotator_a_right_u_um,annotator_a_top_v_um,annotator_a_bottom_v_um,annotator_a_center_u_um,annotator_a_center_v_um,annotator_a_center_x_um,annotator_a_center_y_um,annotator_a_width_um,annotator_a_height_um,annotator_a_state,annotator_a_timestamp_utc,annotator_a_comment,annotator_a_long_axis_um,annotator_a_short_axis_um,annotator_a_aspect_ratio
zro2_120_line,1,1,single,-93.22030521156364,115.99377197406511,-6.996667499322655,5.3503927935996956,11.386733381250735,-0.8231373528614796,11.37938345977085,-0.9191758661209468,209.21407718562875,12.34706029292235,complete,2026-09-04T01:51:11.859079+00:00,,209.21407718562875,12.34706029292235,16.944444444444446
zro2_120_line,2,2,single,-103.51116476563351,107.76410857972871,-6.996778532865875,5.350477701603353,2.126471907047602,-0.823150415631261,2.1192001905334217,-0.8416946778135714,211.27527334536222,12.347256234469228,complete,2026-09-04T01:51:43.899375+00:00,,211.27527334536222,12.347256234469228,17.1111111111111
zro2_120_line,3,3,single,-88.42179634853716,120.11370473722945,-6.996914839061901,6.0365539787985085,15.845954194346149,-0.4801804301316963,15.840925742003488,-0.6244271063374587,208.5355010857666,13.03346881786041,complete,2026-09-04T01:52:15.974404+00:00,,208.5355010857666,13.03346881786041,16.000000000000004
zro2_120_line,4,4,single,-101.46279870449155,107.08818713841231,-7.683457373159598,6.723025201514673,2.812694216960381,-0.48021608582246245,2.8074793783777765,-0.5098193672160285,208.55098584290386,14.406482574674271,complete,2026-09-04T01:52:26.956982+00:00,,208.55098584290386,14.406482574674271,14.476190476190485
zro2_120_line,5,5,single,-94.60038781865455,112.57377549703597,-7.683280228926293,6.722870200310467,8.986693839190707,-0.48020501430791285,8.981393305930016,-0.5708216002484183,207.17416331569052,14.40615042923676,complete,2026-09-04T01:53:01.590834+00:00,,207.17416331569052,14.40615042923676,14.38095238095238
zro2_120_line,6,6,single,-98.02578970506039,115.99832777554752,-7.682917037765435,7.408527143559468,8.986269035243566,-0.13719494710298363,8.98463116181305,-0.21967365218839438,214.0241174806079,15.091444181324903,complete,2026-09-04T01:53:17.309828+00:00,,214.0241174806079,15.091444181324903,14.181818181818196
zro2_120_line,7,7,single,-93.22812392375431,114.63149012258532,-6.99725433423319,7.4088575303646,10.701683099415504,0.20580159806570464,10.703209403799393,0.09840689255373775,207.85961404633963,14.40611186459779,complete,2026-09-04T01:53:32.205335+00:00,,207.85961404633963,14.40611186459779,14.428571428571434
zro2_120_line,8,8,single,-69.20998093710983,72.09087211585984,-5.624597063273512,5.350226474821227,1.4404455893750026,-0.13718529422614267,1.439323321369622,-0.14849807225459746,141.30085305296967,10.97482353809474,complete,2026-09-04T01:54:03.922189+00:00,,141.30085305296967,10.97482353809474,12.874999999999991
zro2_120_line,9,9,single,-73.33201726248012,81.70105945707576,-8.369042194595494,7.408660303412404,4.184521097297818,-0.48019094559154496,4.179758989177942,-0.5200143751328684,155.03307671955588,15.777702498007898,complete,2026-09-04T01:54:14.136403+00:00,,155.03307671955588,15.777702498007898,9.82608695652174
zro2_120_line,10,10,single,-66.48314241368672,77.5979711763465,-6.312124976325293,6.7237853008681725,5.557414381329892,0.20583016227143958,5.5595924921683615,0.13472929354144342,144.08111359003323,13.035910277193466,complete,2026-09-04T01:54:26.077631+00:00,,144.08111359003323,13.035910277193466,11.052631578947382
zro2_120_line,11,11,single,-71.96522219797185,63.869992246245886,-9.055680962947832,7.4091935151391795,-4.0476149758629845,-0.8232437239043264,-4.0563625066982425,-0.7789996380171941,135.83521444421774,16.46487447808701,complete,2026-09-04T01:54:37.049258+00:00,,135.83521444421774,16.46487447808701,8.249999999999993
zro2_120_line,12,12,single,-66.4732601719104,81.01642958000656,-6.9971852812537065,7.4087844154451545,7.271584704048081,0.205799567095724,7.2732582415253555,0.13420924724583239,147.48968975191696,14.405969696698861,complete,2026-09-04T01:54:54.299322+00:00,,147.48968975191696,14.405969696698861,10.23809523809524
zro2_120_line,13,13,single,-60.98506255670054,88.56210996704226,-6.311165078983635,8.094755210000756,13.78852370517086,0.8917950655085605,13.796584356224466,0.7569309800149985,149.5471725237428,14.40592028898439,complete,2026-09-04T01:55:11.302120+00:00,,149.5471725237428,14.40592028898439,10.380952380952387
zro2_120_line,14,14,single,-61.66751676549808,80.32554186028744,-6.996759410545991,7.408333493519223,9.329012547394683,0.20578704148661586,9.330447823082002,0.1247671296279013,141.99305862578552,14.405092904065214,complete,2026-09-04T01:55:23.069069+00:00,,141.99305862578552,14.405092904065214,9.857142857142847
zro2_120_line,15,15,single,-45.887432726566885,65.91602817672788,-6.310379388406801,6.036015067171746,10.014297725080496,-0.13718216061752742,10.013001158015992,-0.21162627746689702,111.80346090329476,12.346394455578547,complete,2026-09-04T01:55:34.378611+00:00,,111.80346090329476,12.346394455578547,9.055555555555566
zro2_120_line,16,16,single,-51.38003381003983,76.8985552751065,-7.6829957099125465,8.094584765800647,12.759260732533335,0.2057945279440503,12.760629260236323,0.08617836909216088,128.27858908514634,15.777580475713194,complete,2026-09-04T01:55:40.206471+00:00,,128.27858908514634,15.777580475713194,8.130434782608692
zro2_120_line,17,17,single,-36.28522907633311,62.4874171806041,-6.310474621970968,8.093869623832376,13.101094052135494,0.8916975009307038,13.107581930888754,0.790623627970164,98.77264625693721,14.404344245803344,complete,2026-09-04T01:55:51.756548+00:00,,98.77264625693721,14.404344245803344,6.857142857142857
zro2_120_line,18,18,single,-50.69025651134882,81.00838016225049,-6.996490073284974,6.036187514206631,15.159061825450834,-0.4801512795391716,15.154757741325732,-0.6008481345661708,131.6986366735993,13.032677587491605,complete,2026-09-04T01:56:07.618894+00:00,,131.6986366735993,13.032677587491605,10.105263157894731
