session_id,sample_id,design_row_id,cag_measurement_id,roi_within_measurement,mapping_rule,mapping_provenance,mapping_status
zro2_120_formal,67,67,67,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,68,68,68,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,69,69,69,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,70,70,70,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,71,71,71,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,72,72,72,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,73,73,73,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,74,74,74,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,75,75,75,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,76,76,76,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,77,77,77,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,78,78,78,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,79,79,79,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,80,80,80,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,81,81,81,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,82,82,82,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,83,83,83,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,84,84,84,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,85,85,85,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,86,86,86,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,87,87,87,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,88,88,88,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,89,89,89,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,90,90,90,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,91,91,91,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,92,92,92,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,93,93,93,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,94,94,94,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,95,95,95,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,96,96,96,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,97,97,97,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,98,98,98,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,99,99,99,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,100,100,100,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,101,101,101,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,102,102,102,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,103,103,103,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,104,104,104,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,105,105,105,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,106,106,106,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,107,107,107,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,108,108,108,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,109,109,109,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,110,110,110,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,111,111,111,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,112,112,112,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,113,113,113,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,114,114,114,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,115,115,115,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,116,116,116,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,117,117,117,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,118,118,118,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,119,119,119,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,120,120,120,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_60_pass,1,1,1,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,2,2,1,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,3,3,2,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,4,4,2,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,5,5,3,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,6,6,3,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,7,7,4,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,8,8,4,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,9,9,5,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,10,10,5,right,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
zro2_60_pass,11,11,6,left,paired_left_to_right_odd_even,user_confirmed_2026-08-30,resolved
