session_id,group,data_name,slot_1_sample_id,slot_2_sample_id,width,height,dx_um,dy_um,z_step_pm,n_valid,n_invalid,valid_fraction,z_min_um,z_max_um,z_mean_um,mask_source,mask_is_fabricated,timestamp,original_name,lut_structural_ok,lut_derived_bytes,lut_verified,lut_seam_ratio,lut_seam_headroom,lut_seam_conclusive,decoded,error
zro2_120_formal,26,26,26,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,31.82,16.844,cag_raw_sentinel,False,2026-05-22 22:08:03,MeasureData20260522220806,True,776,,,,,True,
zro2_120_formal,27,27,27,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,74.545,52.346,cag_raw_sentinel,False,2026-05-22 22:10:05,MeasureData20260522221009,True,776,,,,,True,
zro2_120_formal,28,28,28,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,34.563,25.726,cag_raw_sentinel,False,2026-05-22 22:11:49,MeasureData20260522221152,True,776,,,,,True,
zro2_120_formal,29,29,29,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,60.606,44.949,cag_raw_sentinel,False,2026-05-22 22:13:41,MeasureData20260522221345,True,776,,,,,True,
zro2_120_formal,30,30,30,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,51.791,31.246,cag_raw_sentinel,False,2026-05-22 22:15:32,MeasureData20260522221536,True,776,,,,,True,
zro2_120_formal,31,31,31,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,37.649,28.525,cag_raw_sentinel,False,2026-05-22 22:17:30,MeasureData20260522221734,True,776,,,,,True,
zro2_120_formal,32,32,32,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,62.084,48.216,cag_raw_sentinel,False,2026-05-22 22:19:27,MeasureData20260522221931,True,776,,,,,True,
zro2_120_formal,33,33,33,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,70.214,56.055,cag_raw_sentinel,False,2026-05-22 22:21:34,MeasureData20260522222138,True,776,,,,,True,
zro2_120_formal,34,34,34,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,66.81,53.674,cag_raw_sentinel,False,2026-05-22 22:23:31,MeasureData20260522222335,True,776,,,,,True,
zro2_120_formal,35,35,35,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,28.949,20.705,cag_raw_sentinel,False,2026-05-22 22:25:19,MeasureData20260522222523,True,776,,,,,True,
zro2_120_formal,36,36,36,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,67.83,54.812,cag_raw_sentinel,False,2026-05-22 22:27:04,MeasureData20260522222708,True,776,,,,,True,
zro2_120_formal,37,37,37,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,52.449,41.426,cag_raw_sentinel,False,2026-05-22 22:28:38,MeasureData20260522222842,True,776,,,,,True,
zro2_120_formal,38,38,38,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,69.189,55.026,cag_raw_sentinel,False,2026-05-22 22:30:05,MeasureData20260522223009,True,776,,,,,True,
zro2_120_formal,39,39,39,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,32.946,25.771,cag_raw_sentinel,False,2026-05-22 22:31:35,MeasureData20260522223138,True,776,,,,,True,
zro2_120_formal,40,40,40,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,72.513,59.551,cag_raw_sentinel,False,2026-05-22 22:33:23,MeasureData20260522223327,True,776,,,,,True,
zro2_120_formal,41,41,41,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,68.604,56.904,cag_raw_sentinel,False,2026-05-22 22:35:02,MeasureData20260522223506,True,776,,,,,True,
zro2_120_formal,42,42,42,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,55.874,44.607,cag_raw_sentinel,False,2026-05-22 22:36:41,MeasureData20260522223645,True,776,,,,,True,
zro2_120_formal,43,43,43,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,60.963,49.433,cag_raw_sentinel,False,2026-05-22 22:38:16,MeasureData20260522223820,True,776,,,,,True,
