session_id,measurement_id,cag_data_name,expected_csv_filename,expected_csv_relative_path,slot_1_sample_id,slot_2_sample_id,design_factor_tuple,depth_proxy_max_pass,depth_band,selection_reason,existing_official_csv,action_required,depth_proxy_um,robust_range_um,iqr_um,n_distinct_levels,valid_fraction,width,height,flip_norm_x,flip_norm_y,direction_min_flip_norm,transposition_structurally_impossible
zro2_120_formal,36,36,36_高度.csv,氧化锆/pass实验数据/csv文件/120正式/36_高度.csv,36,,"('5', '43800', '50', '0.008', '5')",5.0,-1,not_selected,False,export_from_keyence,55.257,60.76499999999999,4.8600000000000065,59848,1.0,2048,1536,0.0366493869826381,0.0700238624208015,0.0366493869826381,True
zro2_120_formal,37,37,37_高度.csv,氧化锆/pass实验数据/csv文件/120正式/37_高度.csv,37,,"('3', '43800', '50', '0.01', '11')",3.0,-1,not_selected,False,export_from_keyence,36.477,41.993,4.869,46097,1.0,2048,1536,0.03876836615626414,0.10380301478817902,0.03876836615626414,True
zro2_120_formal,38,38,38_高度.csv,氧化锆/pass实验数据/csv文件/120正式/38_高度.csv,38,,"('2', '43800', '100', '0.002', '9')",2.0,-1,existing_official_export,True,none,54.693000000000005,60.285000000000004,5.253,60797,1.0,2048,1536,0.037272953471012685,0.07952226922119927,0.037272953471012685,True
zro2_120_formal,39,39,39_高度.csv,氧化锆/pass实验数据/csv文件/120正式/39_高度.csv,39,,"('1', '43800', '100', '0.006', '3')",1.0,-1,not_selected,False,export_from_keyence,7.793999999999997,13.526,5.325000000000003,27469,1.0,2048,1536,0.1347774656217655,0.3357237912169156,0.1347774656217655,True
zro2_120_formal,40,40,40_高度.csv,氧化锆/pass实验数据/csv文件/120正式/40_高度.csv,40,,"('5', '43800', '100', '0.006', '5')",5.0,-1,not_selected,False,export_from_keyence,58.426,64.143,5.379000000000005,66214,1.0,2048,1536,0.036496577958623606,0.07035841790998247,0.036496577958623606,True
zro2_120_formal,41,41,41_高度.csv,氧化锆/pass实验数据/csv文件/120正式/41_高度.csv,41,,"('5', '43800', '100', '0.008', '3')",5.0,-1,not_selected,False,export_from_keyence,57.102999999999994,62.617,4.889000000000003,63916,1.0,2048,1536,0.030087675870769926,0.07098711212609983,0.030087675870769926,True
zro2_120_formal,42,42,42_高度.csv,氧化锆/pass实验数据/csv文件/120正式/42_高度.csv,42,,"('3', '43800', '100', '0.01', '9')",3.0,-1,not_selected,False,export_from_keyence,41.019,46.477000000000004,5.061,48506,1.0,2048,1536,0.040084342793209535,0.09845730146093767,0.040084342793209535,True
zro2_120_formal,43,43,43_高度.csv,氧化锆/pass实验数据/csv文件/120正式/43_高度.csv,43,,"('5', '43800', '100', '0.01', '11')",5.0,-1,not_selected,False,export_from_keyence,49.846,55.423,5.253999999999998,55659,1.0,2048,1536,0.033650289590964076,0.08527145769806757,0.033650289590964076,True
zro2_120_formal,44,44,44_高度.csv,氧化锆/pass实验数据/csv文件/120正式/44_高度.csv,44,,"('3', '43800', '200', '0.006', '5')",3.0,-1,not_selected,False,export_from_keyence,53.302,59.219,5.446000000000005,62445,1.0,2048,1536,0.03855181614009019,0.0836218105675543,0.03855181614009019,True
zro2_120_formal,45,45,45_高度.csv,氧化锆/pass实验数据/csv文件/120正式/45_高度.csv,45,,"('3', '43800', '200', '0.006', '7')",3.0,-1,not_selected,False,export_from_keyence,52.404,58.529,5.295999999999999,61041,1.0,2048,1536,0.03651181465598251,0.08551316441422205,0.03651181465598251,True
zro2_120_formal,46,46,46_高度.csv,氧化锆/pass实验数据/csv文件/120正式/46_高度.csv,46,,"('4', '43800', '200', '0.008', '11')",4.0,-1,not_selected,False,export_from_keyence,53.129000000000005,59.096000000000004,5.484000000000002,61856,1.0,2048,1536,0.03056044402328422,0.08509882225531332,0.03056044402328422,True
zro2_120_formal,47,47,47_高度.csv,氧化锆/pass实验数据/csv文件/120正式/47_高度.csv,47,,"('3', '43800', '200', '0.01', '9')",3.0,-1,not_selected,False,export_from_keyence,45.85,51.457,5.149000000000001,53789,1.0,2048,1536,0.033756340245253355,0.09238781895563296,0.033756340245253355,True
zro2_120_formal,48,48,48_高度.csv,氧化锆/pass实验数据/csv文件/120正式/48_高度.csv,48,,"('5', '43800', '200', '0.01', '11')",5.0,-1,not_selected,False,export_from_keyence,51.153,56.85,5.194000000000003,57003,1.0,2048,1536,0.03336851363236585,0.08306068601583103,0.03336851363236585,True
zro2_120_formal,49,49,49_高度.csv,氧化锆/pass实验数据/csv文件/120正式/49_高度.csv,49,,"('2', '58400', '2', '0.006', '9')",2.0,-1,not_selected,False,export_from_keyence,7.735000000000001,13.716,4.695999999999998,24503,1.0,2048,1536,0.13823272090988634,0.3206474190726158,0.13823272090988634,True
zro2_120_formal,50,50,50_高度.csv,氧化锆/pass实验数据/csv文件/120正式/50_高度.csv,50,,"('2', '58400', '2', '0.006', '9')",2.0,-1,not_selected,False,export_from_keyence,7.704730000000001,13.58473,4.567,23939,1.0,2048,1536,0.13250171332076507,0.3373640845272598,0.13250171332076507,True
zro2_120_formal,51,51,51_高度.csv,氧化锆/pass实验数据/csv文件/120正式/51_高度.csv,51,,"('3', '58400', '2', '0.01', '9')",3.0,-1,not_selected,False,export_from_keyence,6.56873,12.218729999999999,4.670000000000002,21706,1.0,2048,1536,0.12791836794822367,0.37712593698363095,0.12791836794822367,True
zro2_120_formal,52,52,52_高度.csv,氧化锆/pass实验数据/csv文件/120正式/52_高度.csv,52,,"('2', '58400', '10', '0.002', '5')",2.0,-1,not_selected,False,export_from_keyence,34.942,40.669,5.106999999999999,43644,1.0,2048,1536,0.05421820059504779,0.10897735375839097,0.05421820059504779,True
zro2_120_formal,53,53,53_高度.csv,氧化锆/pass实验数据/csv文件/120正式/53_高度.csv,53,,"('2', '58400', '10', '0.002', '9')",2.0,-1,not_selected,False,export_from_keyence,32.347,38.051,4.903999999999996,42230,1.0,2048,1536,0.05135213266405615,0.12386008252082714,0.05135213266405615,True
zro2_120_formal,54,54,54_高度.csv,氧化锆/pass实验数据/csv文件/120正式/54_高度.csv,54,,"('3', '58400', '10', '0.002', '5')",3.0,-1,not_selected,False,export_from_keyence,42.583999999999996,48.605,5.394999999999996,50046,1.0,2048,1536,0.03941981277646327,0.10046291533792812,0.03941981277646327,True
zro2_120_formal,55,55,55_高度.csv,氧化锆/pass实验数据/csv文件/120正式/55_高度.csv,55,,"('4', '58400', '10', '0.01', '5')",4.0,-1,not_selected,False,export_from_keyence,28.522,33.952,5.347000000000001,36408,1.0,2048,1536,0.054076343072573,0.1332174835061264,0.054076343072573,True
