session_id,measurement_id,cag_data_name,csv_path,csv_source_type,shape_match,pitch_pass,height_decision,mask_decision,overall_decision,compared_pixels,cag_invalid_pixels,height_mismatch_pixels,max_abs_difference_um,median_abs_difference_um,rmse_um,orientation_best_transform,fixed_pixel_checks_pass,csv_sha256,cag_sha256,error
zro2_120_formal,2,2,氧化锆/pass实验数据/csv文件/fixture/120正式/2_高度.csv,keyence_official_export,True,True,PASS,PASS_ALL_VALID_CASE,PASS,3145728,0,0,0.0,0.0,0.0,identity,True,a12f116436762ff3d7978c6e5f595dbc9aa782b59384d408dbbc04ff5a4bcd56,bf5cb81ea6229d8ba4e5583385ee569978d49ca02651278b2de68e605899f7a7,
zro2_120_formal,24,24,氧化锆/pass实验数据/csv文件/fixture/120正式/24_高度.csv,keyence_official_export,True,True,PASS,PASS_ALL_VALID_CASE,PASS,3145728,0,0,0.0,0.0,0.0,identity,True,d87a101d77d6f4b6f53d54d18454c7db768036b16757f34c907d69510dc5526c,bf5cb81ea6229d8ba4e5583385ee569978d49ca02651278b2de68e605899f7a7,
zro2_120_formal,38,38,氧化锆/pass实验数据/csv文件/fixture/120正式/38_高度.csv,keyence_official_export,True,True,PASS,PASS_ALL_VALID_CASE,PASS,3145728,0,0,0.0,0.0,0.0,identity,True,380e7b872f72e41a94a6e3493602e94e4581e00003ee5a2d326f5d839b07ecdd,bf5cb81ea6229d8ba4e5583385ee569978d49ca02651278b2de68e605899f7a7,
zro2_120_formal,58,58,氧化锆/pass实验数据/csv文件/fixture/120正式/58_高度.csv,keyence_official_export,True,True,PASS,PASS_ALL_VALID_CASE,PASS,3145728,0,0,0.0,0.0,0.0,identity,True,fc4f9fde52af75a031f32a7f8a048677b734415020c3878c99fb62f7fa706e27,bf5cb81ea6229d8ba4e5583385ee569978d49ca02651278b2de68e605899f7a7,
zro2_120_formal,87,87,氧化锆/pass实验数据/csv文件/fixture/120正式/87_高度.csv,keyence_official_export,True,True,PASS,PASS_ALL_VALID_CASE,PASS,3145728,0,0,0.0,0.0,0.0,identity,True,d61a115b7c548693255900644e624e1b1d9b40f6ac255b094446951da9ebf7e7,bf5cb81ea6229d8ba4e5583385ee569978d49ca02651278b2de68e605899f7a7,
zro2_120_formal,107,107,氧化锆/pass实验数据/csv文件/fixture/120正式/107_高度.csv,keyence_official_export,True,True,PASS,PASS_ALL_VALID_CASE,PASS,3145728,0,0,0.0,0.0,0.0,identity,True,4d3e865062dcb19f5f4279d9578ca2affbc549dddcba2d81bcc0b502e8c02ada,bf5cb81ea6229d8ba4e5583385ee569978d49ca02651278b2de68e605899f7a7,
zro2_60_pass,1,1 2,氧化锆/pass实验数据/csv文件/fixture/60pass/1 2_高度.csv,keyence_official_export,True,True,PASS,PASS_ALL_VALID_CASE,PASS,3145728,0,0,0.0,0.0,0.0,identity,True,1c2ecfa2fc31e505f6f9aecc122f609be38ef37f5b6a8e385df1d86193229245,9b9d1ed67d2e1268584506fa27779c6f23c8253bdc884dfad11c5c6612ad3fe0,
zro2_60_pass,5,9 10,氧化锆/pass实验数据/csv文件/fixture/60pass/9 10_高度.csv,keyence_official_export,True,True,PASS,PASS_ALL_VALID_CASE,PASS,3145728,0,0,0.0,0.0,0.0,identity,True,811fe21881daadbcf7dc6d4b1be3c94b8b53842280ccf672f1985fc76e300673,9b9d1ed67d2e1268584506fa27779c6f23c8253bdc884dfad11c5c6612ad3fe0,
zro2_60_pass,7,14 13,氧化锆/pass实验数据/csv文件/fixture/60pass/14 13_高度.csv,keyence_official_export,True,True,PASS,PASS_ALL_VALID_CASE,PASS,3145728,0,0,0.0,0.0,0.0,identity,True,f8ca772175a7d21c330789c08cdc2f084f86af6e38589dc061cae83d13348170,9b9d1ed67d2e1268584506fa27779c6f23c8253bdc884dfad11c5c6612ad3fe0,
zro2_60_pass,13,25 26,氧化锆/pass实验数据/csv文件/fixture/60pass/25 26_高度.csv,keyence_official_export,True,True,PASS,PASS_ALL_VALID_CASE,PASS,3145728,0,0,0.0,0.0,0.0,identity,True,29737f4fa687cc331024aabf52368aa1cd87c00ca2dada58c6b5b1c46baa2c51,9b9d1ed67d2e1268584506fa27779c6f23c8253bdc884dfad11c5c6612ad3fe0,
