single_line_id,theta_line_deg,L_detected_um,s_start_um,s_end_um,stable_start_um,stable_end_um,n_cones_repaired,n_repair_pixels,qc_auto_flags,n_sections_total,n_sections_used,median_W20_um,iqr_W20_um,p10_W20_um,p90_W20_um,censored_frac_W20,n_uncensored_sections_W20,median_W50_um,iqr_W50_um,p10_W50_um,p90_W50_um,censored_frac_W50,n_uncensored_sections_W50,median_W80_um,iqr_W80_um,p10_W80_um,p90_W80_um,censored_frac_W80,n_uncensored_sections_W80,CV_W50,median_W_eq_um,median_max_depth_um,width_identifiability,n_sections_total_rep,n_sections_used_rep,median_W20_um_rep,iqr_W20_um_rep,p10_W20_um_rep,p90_W20_um_rep,censored_frac_W20_rep,n_uncensored_sections_W20_rep,median_W50_um_rep,iqr_W50_um_rep,p10_W50_um_rep,p90_W50_um_rep,censored_frac_W50_rep,n_uncensored_sections_W50_rep,median_W80_um_rep,iqr_W80_um_rep,p10_W80_um_rep,p90_W80_um_rep,censored_frac_W80_rep,n_uncensored_sections_W80_rep,CV_W50_rep,median_W_eq_um_rep,median_max_depth_um_rep,width_identifiability_rep
1,-0.4833998594078537,211.0,-101.67720743007939,109.32279256992061,-91.67720743007939,108.32279256992061,3,448,ok,97,97,8.296700468977924,0.7720153464629176,7.547501966817048,8.952985331948407,0.0,97,6.080008940249149,0.9342844892993503,5.348008555699224,6.854071932507859,0.0,97,3.448855959300115,1.0203383029245572,2.173119343540208,4.210721549510839,0.0,97,0.15366498610133042,6.0175849104021255,5.129083372311128,estimable,97,97,8.296700468977924,0.7720153464629176,7.547501966817048,8.952985331948407,0.0,97,6.085492090474471,0.8764245370882762,5.369388856960689,6.854071932507859,0.0,97,3.4524729498604074,1.0106854621016055,2.2451472168373106,4.264920020123654,0.0,97,0.14401867984679995,6.03520174350641,5.129083372311128,estimable
2,-0.5005102495663607,211.0,-105.04178021399565,105.95821978600435,-100.04178021399565,56.95821978600435,3,377,threshold_width_relative_range_above,71,71,8.038175204982625,1.1392217629317303,7.3555948101286415,9.82132383304705,0.0,71,5.3606867022435765,0.8260386667171744,4.678384540367388,6.530331996497929,0.0,71,2.8469302261396785,0.8864798278284054,1.9505105995709138,4.0495279595939255,0.0,71,0.15409194989355698,5.653155777938877,13.489308009183723,estimable,71,71,8.038175204982625,1.1392217629317303,7.3555948101286415,9.82132383304705,0.0,71,5.3606867022435765,0.8260386667171744,4.678384540367388,6.461768448918628,0.0,71,2.8469302261396785,0.8864798278284054,1.9505105995709138,4.0495279595939255,0.0,71,0.15409194989355698,5.653155777938877,13.489308009183723,estimable
3,-0.5216460997557988,211.0,-106.54287499222994,104.45712500777006,-102.54287499222994,97.45712500777006,2,431,threshold_width_relative_range_above,101,101,9.090406000757367,0.8646292628806496,8.219631999359667,9.779499635401748,0.0,101,6.699135329515116,0.8943242283641926,5.604505092248898,7.3392602789854156,0.0,101,4.385765655969893,0.8182746090669264,2.9912997697182995,4.92607351111832,0.0,101,0.13349845679694963,6.739529366275994,9.633104126914406,estimable,101,101,9.090406000757367,0.8646292628806496,8.219631999359667,9.779499635401748,0.0,101,6.699135329515116,0.9221324831493831,5.603757502786992,7.3392602789854156,0.0,101,4.385765655969893,0.8182746090669264,2.9912997697182995,4.92607351111832,0.0,101,0.13764947829709348,6.739529366275994,9.633104126914406,estimable
4,-0.6035854119961073,212.0,-99.88604835951412,112.11395164048588,-95.88604835951412,101.11395164048588,1,200,ok,99,99,10.069397025419372,0.6152108832517662,9.423443033888748,10.554469197344059,0.0,99,7.652731011745678,0.6886689199393965,6.921542458272355,8.18505099779216,0.0,99,4.964370024462649,0.7973879225329235,3.948931857807814,5.733060506243238,0.0,99,0.08998995507386885,7.5439967542385205,10.720886904322272,estimable,99,99,10.069397025419372,0.6152108832517662,9.423443033888748,10.554469197344059,0.0,99,7.652731011745678,0.6886689199393965,6.921542458272355,8.18505099779216,0.0,99,4.964370024462649,0.7973879225329235,3.948931857807814,5.733060506243238,0.0,99,0.08998995507386885,7.5439967542385205,10.720886904322272,estimable
5,-0.577902797329557,211.0,-102.50984530371446,108.49015469628554,-97.50984530371446,100.49015469628554,2,105,ok,95,95,9.328857680222939,0.7299136095501826,8.632524871448416,9.872161889907831,0.0,95,6.5567869103971645,0.9239516051228946,5.868423342172215,7.4021077617256905,0.0,95,3.534500701242984,1.125863517725497,2.468524947116157,4.585999468815354,0.0,95,0.1409153016178969,6.517988845928581,15.074018108008167,estimable,95,95,9.328857680222939,0.7299136095501826,8.632524871448416,9.872161889907831,0.0,95,6.520624231069569,0.9073433308631067,5.868423342172215,7.4021077617256905,0.0,95,3.534500701242984,1.125863517725497,2.468524947116157,4.585999468815354,0.0,95,0.13914976522336367,6.517988845928581,15.074018108008167,estimable
6,-0.5259222931374268,37.0,-81.8031560922061,-44.803156092206095,,,0,0,few_sections|short_visible_length|fragmented_stable_region,0,0,,,,,,0,,,,,,0,,,,,,0,,,,insufficient_sections,0,0,,,,,,0,,,,,,0,,,,,,0,,,,insufficient_sections
7,-0.5749350747876179,210.0,-102.50061254529473,107.49938745470527,-96.50061254529473,101.49938745470527,3,160,threshold_width_relative_range_above,98,98,9.518765549093247,0.5332941042173864,8.825476228486869,9.996354619321332,0.0,98,6.508705797091977,0.8341250840851213,5.5122052693705665,7.245188560156323,0.0,98,3.3257740509871843,1.135737099245322,2.0860485291870843,4.3600048600547066,0.0,98,0.12815529078880777,6.503887307412522,15.380664586560306,estimable,98,98,9.518765549093247,0.5332941042173864,8.825476228486869,9.996354619321332,0.0,98,6.508705797091977,0.8341250840851213,5.5122052693705665,7.219742415221332,0.0,98,3.3257740509871843,1.135737099245322,2.0860485291870843,4.3600048600547066,0.0,98,0.12815529078880777,6.503887307412522,15.380664586560306,estimable
8,-0.4501549405537446,24.0,-86.50092432896247,-62.50092432896247,,,0,0,few_sections|short_visible_length|fragmented_stable_region,0,0,,,,,,0,,,,,,0,,,,,,0,,,,insufficient_sections,0,0,,,,,,0,,,,,,0,,,,,,0,,,,insufficient_sections
9,-0.545581251270363,211.0,-105.8457401692815,105.1542598307185,-98.8457401692815,101.1542598307185,3,37,ok,99,99,10.042524461589753,0.6342038312051628,9.553017248160032,10.702756076668942,0.0,99,6.855005542607234,0.6345004813257642,6.385631417739695,7.708096173176197,0.0,99,3.622035196819812,0.8642977063493094,2.7980308484366074,4.815161184235745,0.0,99,0.09256017043050241,6.871455325406873,19.12205247693985,estimable,99,99,10.042524461589753,0.6342038312051628,9.553017248160032,10.702756076668942,0.0,99,6.855005542607234,0.6174083883061048,6.385631417739695,7.708096173176197,0.0,99,3.622035196819812,0.8642977063493094,2.7980308484366074,4.815161184235745,0.0,99,0.09006679636779397,6.858130487379117,19.12205247693985,estimable
10,-0.7328814671022599,32.0,-92.25531096815618,-60.25531096815618,,,0,0,few_sections|short_visible_length|fragmented_stable_region,0,0,,,,,,0,,,,,,0,,,,,,0,,,,insufficient_sections,0,0,,,,,,0,,,,,,0,,,,,,0,,,,insufficient_sections
