single_line_id,arm,s_um,n_valid_samples,D_max_um,n_above_threshold,A_remove_um2,W_eq_um,W20_um,n_runs_W20,total_width_W20_um,censored_W20,W50_um,n_runs_W50,total_width_W50_um,censored_W50,W80_um,n_runs_W80,total_width_W80_um,censored_W80,W_affected_um,edge_asymmetry,left_slope,right_slope,ridge_left_um,ridge_right_um,ridge_separation_um,profile_skewness
1,raw,-91.67720743007939,63.0,6.852010777708983,52.0,27.065015824223742,3.9499377193439145,7.945978861365153,2.0,8.068190109012464,False,2.5172331936885195,1.0,2.5172331936885195,False,0.7365777187741349,1.0,0.7365777187741349,False,9.474338,9.960480309351249e-17,2.704005879175925,-3.10707922952708,0.1309028000636498,0.18257982455286575,13.375536,1.1185203158593775
1,raw,-89.67720743007939,63.0,5.4361120922552075,40.0,29.48431580968896,5.4237873151466225,8.432732910001098,1.0,8.432732910001098,False,5.799134790486297,1.0,5.799134790486297,False,2.1559995239223766,1.0,2.1559995239223766,False,8.917024,0.3,1.368336170217585,-0.7426594961965645,0.5024274155536246,0.15263267033702985,13.096879000000001,0.5898532637704426
1,raw,-87.67720743007939,63.0,12.371936655439574,50.0,52.43715834165335,4.238395313687472,7.174715522247549,1.0,7.174715522247549,False,3.382552889825413,1.0,3.382552889825413,False,1.5620613772112137,1.0,1.5620613772112137,False,9.195680999999999,0.27272727272727265,4.790311029693411,-3.2994168135246484,0.22964171245862408,0.0,,1.1465345706294605
1,raw,-85.67720743007939,63.0,11.930646915490822,47.0,58.86377921094015,4.933829626163111,7.399705282231599,1.0,7.399705282231599,False,4.847225123200952,1.0,4.847225123200952,False,2.0199611753431452,1.0,2.0199611753431452,False,9.752994999999999,0.17647058823529407,3.0266981947066567,-1.9703975121585873,0.9070949305573526,0.1936199175846517,16.71942,0.8192156135943206
1,raw,-83.67720743007939,63.0,11.542168483001012,56.0,70.10438224363386,6.073761819270068,8.741579836170697,1.0,8.741579836170697,False,5.6568755082704625,1.0,5.6568755082704625,False,3.5601030895816823,1.0,3.5601030895816823,False,10.588966,-0.05263157894736841,1.7954429940872971,-2.2271699090057546,0.2112560948690117,0.0,,0.6335296443258392
1,raw,-81.67720743007939,63.0,9.988983728793,51.0,58.91794553058991,5.898292271791411,8.710338501321406,1.0,8.710338501321406,False,5.618819900152916,1.0,5.618819900152916,False,3.162588619266148,1.0,3.162588619266148,False,9.752994999999999,0.0,1.8899369645653568,-1.724370577540476,0.19804891987124504,0.1654834159310933,13.932849999999998,0.6243220595337419
1,raw,-79.67720743007939,63.0,9.715917633116794,48.0,56.733145480157205,5.839195804499388,7.6619398775166445,1.0,7.6619398775166445,False,5.868241892715656,1.0,5.868241892715656,False,3.9616765321101473,1.0,3.9616765321101473,False,8.917023999999998,0.09999999999999998,1.4094576162202648,-1.46271677317877,0.10260660338335313,0.14695271148655437,11.982251,0.6450211062659346
1,raw,-77.67720743007939,63.0,9.252181687086667,52.0,54.36377749051534,5.875779284186694,7.84850360356074,1.0,7.84850360356074,False,6.018059965473647,1.0,6.018059965473647,False,3.718861064032045,1.0,3.718861064032045,False,8.917023999999998,0.23809523809523805,2.1280762401525837,-1.0520848750162166,0.30788155003704815,0.0,,0.6160000436978226
1,raw,-75.67720743007939,63.0,8.450595573126403,54.0,50.65150596711972,5.993838603304567,8.143187747965307,1.0,8.143187747965307,False,5.969291026936524,1.0,5.969291026936524,False,3.547969472633714,1.0,3.547969472633714,False,9.474338,0.14285714285714285,1.638184009858285,-1.0749887562903193,0.08202537263651878,0.08979537518866543,12.818221999999999,0.5854645603394628
1,raw,-73.67720743007939,63.0,7.958857255702553,60.0,48.03330918593469,6.03520174350641,7.567791076994727,1.0,7.567791076994727,False,5.913761489472268,1.0,5.913761489472268,False,4.127109284592891,1.0,4.127109284592891,False,10.031652,0.33333333333333326,2.185125211607543,-0.7378953892358041,0.0642864888593753,0.0,,0.6268366112872142
1,raw,-71.67720743007939,63.0,7.508122922988287,49.0,45.16524706348055,6.015517796757709,8.2233872995065,1.0,8.2233872995065,False,6.140073526402794,1.0,6.140073526402794,False,3.7333265986010247,1.0,3.7333265986010247,False,9.195680999999999,0.23809523809523805,1.3775632485795257,-0.8026208888451482,0.13202291687984818,0.33343804944792704,12.539565,0.5335827385955625
1,raw,-69.67720743007939,63.0,6.937537021614669,52.0,41.323494478624475,5.9565079580658855,8.499380784136301,1.0,8.499380784136301,False,5.575288574318948,1.0,5.575288574318948,False,4.032186111855124,1.0,4.032186111855124,False,9.195680999999999,0.36842105263157887,1.6638852944512932,-0.781804832003848,0.23738584070194127,0.08990251303603382,15.326134999999999,0.6309370400985134
1,raw,-67.67720743007939,63.0,6.770362845065217,56.0,41.82635712297531,6.177860489923625,8.525872931392524,1.0,8.525872931392524,False,6.019345214747988,1.0,6.019345214747988,False,3.6580067379276286,1.0,3.6580067379276286,False,9.752994999999999,0.5238095238095238,2.3595449459639912,-0.6797078415256865,0.0,0.25878769306115557,,0.6153317393597887
1,raw,-65.67720743007939,63.0,6.884880009250247,46.0,42.65731020990412,6.195795736830777,8.945855172232594,1.0,8.945855172232594,False,6.7529614848910136,1.0,6.7529614848910136,False,3.115489624091931,1.0,3.115489624091931,False,10.031652,0.4166666666666667,1.871739713839296,-0.6729742056397507,0.1660205812533232,0.18352981874893942,13.932849999999998,0.4199617640209538
1,raw,-63.67720743007939,63.0,7.035177984689229,49.0,43.58947135626194,6.195930145779738,8.885767423647629,1.0,8.885767423647629,False,6.687966894287747,1.0,6.687966894287747,False,3.509863752204615,1.0,3.509863752204615,False,9.195680999999999,0.3043478260869566,1.4614515458996944,-0.6896682931408689,0.02574554391868926,0.2037099224382348,11.982251,0.4015850804399916
