加工顺序,alignment_shift_um,n_matched,n_unmatched_pilot,n_shallow_excluded,n_shallow_invaded,invaded_min_depth_ratio,n_hard_invaded,shallow_invasion_frac,precision,recall,agreement,my_median_W50_um,pilot_W_line_um,W50_rel_diff_vs_pilot
13,30.0,198,4,24,0,,0,0.0,0.8563218390804598,1.0,0.8737373737373737,7.358135418009827,12.40129415,-0.4066639070882916
19,-6.0,204,0,0,0,,0,0.0,1.0,0.9705882352941176,0.9705882352941176,6.320990143880341,10.69394498,-0.4089187707902028
33,13.0,192,0,50,0,,0,0.0,0.8602150537634409,1.0,0.9322916666666666,5.107347107571531,6.82553984,-0.25172993971250035
34,-2.0,203,0,0,0,,0,0.0,1.0,1.0,1.0,5.32370973592462,8.165982274,-0.34806254075826315
43,30.0,197,2,55,10,0.18835452154182122,3,0.18181818181818182,0.7105263157894737,1.0,0.7766497461928934,4.292744483991081,7.030369492,-0.38939987594167247
44,-13.0,198,0,48,11,0.05185981758395016,3,0.22916666666666666,0.7267080745341615,1.0,0.7777777777777778,3.980869953722558,5.166985188,-0.22955653850762348
51,-30.0,204,0,35,0,,0,0.0,0.6982248520710059,1.0,0.75,5.577407499705506,7.617774382,-0.2678429131631499
68,-30.0,203,0,29,0,,0,0.0,0.8103448275862069,1.0,0.8374384236453202,7.043930151571857,11.27976285,-0.37552497820715647
94,-2.0,204,0,3,0,,0,0.0,1.0,0.9800995024875622,0.9803921568627451,4.933106172414304,8.171372811,-0.39629407609777156
95,-3.0,199,0,5,0,,0,0.0,1.0,0.9845360824742269,0.9849246231155779,4.101168245701235,5.120009107,-0.198992001773165
101,4.0,201,0,7,0,,0,0.0,1.0,0.9587628865979382,0.9601990049751243,5.559914937187068,8.836598212,-0.3708082223726358
104,25.0,192,0,51,9,0.1594208846377402,4,0.17647058823529413,0.7297297297297297,1.0,0.7916666666666666,4.695829037422186,7.624981347,-0.3841520623168829
116,3.0,202,0,64,0,,0,0.0,0.7983870967741935,1.0,0.8762376237623762,5.543036222691066,10.14980427,-0.4538775255918245
