dataset_index,hatch_spacing_um,lambda_star_4_32_um,lambda_star_valid,lambda_peak_4_32_um,lambda_peak_valid,r_h,r_h_peak,d_int,d_int_peak,class_code,class_name
148,6.0,13.505688064382564,True,11.851008286901518,True,2.2509480107304274,1.97516804781692,0.2509480107304274,0.0248319521830804,3,m2
149,6.0,15.949985575742025,True,,False,2.658330929290337,,0.3416690707096625,,0,INVALID
150,6.0,13.19434205978971,True,,False,2.199057009964952,,0.1990570099649518,,0,INVALID
151,6.0,15.981702306235912,True,,False,2.6636170510393185,,0.3363829489606815,,0,INVALID
152,4.0,,False,,False,,,,,0,INVALID
153,4.0,17.17652433675191,True,,False,4.294131084187978,,1.2941310841879776,,0,INVALID
154,4.0,18.23764737785915,True,,False,4.559411844464788,,1.5594118444647878,,0,INVALID
155,4.0,18.02540888741704,True,,False,4.50635222185426,,1.50635222185426,,0,INVALID
156,8.0,10.716409207930754,True,7.536507573664894,True,1.3395511509913445,0.9420634467081116,0.3395511509913442,0.0579365532918882,2,m1
157,8.0,13.43765651228388,True,7.536507573664894,True,1.679707064035485,0.9420634467081116,0.320292935964515,0.0579365532918882,2,m1
158,8.0,11.444534053265324,True,7.536507573664894,True,1.4305667566581657,0.9420634467081116,0.4305667566581654,0.0579365532918882,2,m1
159,8.0,9.024660111865645,True,7.536507573664894,True,1.1280825139832056,0.9420634467081116,0.1280825139832055,0.0579365532918882,2,m1
160,8.0,8.957803609676962,True,7.536507573664894,True,1.1197254512096202,0.9420634467081116,0.1197254512096201,0.0579365532918882,2,m1
161,8.0,10.187201719133206,True,7.536507573664894,True,1.2734002148916508,0.9420634467081116,0.2734002148916508,0.0579365532918882,2,m1
162,8.0,17.094888583756347,True,,False,2.1368610729695434,,0.1368610729695434,,0,INVALID
163,8.0,11.185404169702869,True,7.536507573664894,True,1.3981755212128586,0.9420634467081116,0.3981755212128586,0.0579365532918882,2,m1
164,10.0,10.149086117041652,True,9.450672659117906,True,1.0149086117041652,0.9450672659117906,0.0149086117041652,0.0549327340882094,2,m1
165,10.0,10.06947567876668,True,9.450672659117906,True,1.0069475678766682,0.9450672659117906,0.0069475678766681,0.0549327340882094,2,m1
166,10.0,9.909591159098213,True,9.450672659117906,True,0.9909591159098212,0.9450672659117906,0.0090408840901787,0.0549327340882094,2,m1
167,10.0,,False,9.450672659117906,True,,0.9450672659117906,,0.0549327340882094,2,m1
168,2.0,9.864797093561378,True,,False,4.932398546780689,,1.9323985467806888,,0,INVALID
