hatch_spacing_um,n_peak_valid,C_family_h,P_OUT_h,P_m1_h,P_m2_h,P_m3_h,LOW_N
2.0,5,0.0,1.0,0.0,0.0,0.0,True
4.0,11,0.7272727272727273,0.2727272727272727,0.0,0.5454545454545454,0.18181818181818182,False
6.0,17,0.9411764705882353,0.058823529411764705,0.4117647058823529,0.47058823529411764,0.058823529411764705,False
8.0,35,0.9714285714285714,0.02857142857142857,0.7142857142857143,0.2571428571428571,0.0,False
10.0,36,1.0,0.0,0.75,0.25,0.0,False
