point,direction,ad_value
0,log_tau_s,4.113093049553462e-09
0,log_f_Hz,2.7242520325270155e-08
0,log_v_m_s,-5.804043302211863e-08
0,log_h_m,-4.152795502879788e-08
1,log_tau_s,3.87541429205621e-09
1,log_f_Hz,2.0024021451139427e-08
1,log_v_m_s,-3.476879920069901e-08
1,log_h_m,-2.8776061529243644e-08
2,log_tau_s,6.722248379381707e-09
2,log_f_Hz,3.931938800458462e-08
2,log_v_m_s,-7.805552334819621e-08
2,log_h_m,-3.439071046153669e-08
3,log_tau_s,1.248699686953511e-09
3,log_f_Hz,4.781971264846935e-09
3,log_v_m_s,-1.0193576218022706e-08
3,log_h_m,-7.774718404457317e-09
4,log_tau_s,1.4276531338859039e-09
4,log_f_Hz,6.888629487877971e-09
4,log_v_m_s,-1.2395933327197201e-08
4,log_h_m,-1.2057881094539883e-08
5,log_tau_s,1.3310539628384613e-09
5,log_f_Hz,7.011972009948433e-09
5,log_v_m_s,-1.4495612074509116e-08
5,log_h_m,-1.8775553966035348e-08
6,log_tau_s,2.1946442991312084e-09
6,log_f_Hz,1.514357972754393e-08
6,log_v_m_s,-2.3049347286129078e-08
6,log_h_m,-2.1686403681289133e-08
7,log_tau_s,5.252226455435926e-10
7,log_f_Hz,3.47256632184377e-09
7,log_v_m_s,-5.142856674898827e-09
7,log_h_m,-5.032225071604327e-09
8,log_tau_s,1.073979050533169e-09
8,log_f_Hz,5.821814313442888e-09
8,log_v_m_s,-1.0182491934661053e-08
8,log_h_m,1.7418522703764805e-10
9,log_tau_s,2.996748923380605e-09
9,log_f_Hz,1.5591204227187457e-08
9,log_v_m_s,-2.675489177205394e-08
9,log_h_m,-3.497965900273418e-08
10,log_tau_s,5.807398849843771e-09
10,log_f_Hz,3.536818024776858e-08
10,log_v_m_s,-8.325153777402542e-08
10,log_h_m,-7.248807735608824e-08
11,log_tau_s,2.100207961008503e-09
11,log_f_Hz,1.0354856687388766e-08
11,log_v_m_s,-1.9317245788598598e-08
11,log_h_m,-2.374153303539991e-08
12,log_tau_s,1.2969478272773081e-09
12,log_f_Hz,6.43240942120492e-09
12,log_v_m_s,-1.4106178655536114e-08
12,log_h_m,-3.7251300071167804e-10
13,log_tau_s,3.857211170603222e-09
13,log_f_Hz,1.753055609379783e-08
13,log_v_m_s,-3.385591949288333e-08
13,log_h_m,-3.891942377422787e-08
14,log_tau_s,4.069783054824596e-10
14,log_f_Hz,2.8733233799873693e-09
14,log_v_m_s,-4.167723932859632e-09
14,log_h_m,-2.7271895264663723e-09
15,log_tau_s,4.418184747859453e-09
15,log_f_Hz,2.489609005149045e-08
15,log_v_m_s,-4.4641777156986647e-08
15,log_h_m,-7.319103631199545e-08
16,log_tau_s,3.3299876740541683e-09
16,log_f_Hz,2.228877541591897e-08
16,log_v_m_s,-5.144376477163973e-08
16,log_h_m,-1.8115517524964276e-08
17,log_tau_s,1.1826951660990146e-09
17,log_f_Hz,5.4360803094827876e-09
17,log_v_m_s,-1.1511678761390026e-08
17,log_h_m,-8.261153440681209e-09
18,log_tau_s,3.0082634797204004e-09
18,log_f_Hz,1.66786281096757e-08
18,log_v_m_s,-3.508546146656665e-08
18,log_h_m,-3.8809105088902504e-08
19,log_tau_s,1.0615493564527772e-08
19,log_f_Hz,5.857643622538283e-08
19,log_v_m_s,-1.091002028599121e-07
19,log_h_m,-1.0527840814214774e-07
20,log_tau_s,1.4831183050928545e-09
20,log_f_Hz,7.887174003465694e-09
20,log_v_m_s,-1.271227730909834e-08
20,log_h_m,-1.4845717565212033e-08
21,log_tau_s,1.0278692748045751e-09
21,log_f_Hz,5.912137466860026e-09
21,log_v_m_s,-1.2569953627426273e-08
21,log_h_m,-1.3303250724695036e-11
22,log_tau_s,3.770396115828685e-10
22,log_f_Hz,2.6942186118394264e-09
22,log_v_m_s,-4.078410012645154e-09
22,log_h_m,7.357135833964305e-11
23,log_tau_s,7.895718370185227e-09
23,log_f_Hz,4.718768080935308e-08
23,log_v_m_s,-8.682503532554737e-08
23,log_h_m,-1.1547087565478291e-07
24,log_tau_s,1.575301146995713e-09
24,log_f_Hz,1.1151695271894661e-08
24,log_v_m_s,-1.9147368883662547e-08
24,log_h_m,-2.005648347643724e-08
25,log_tau_s,1.1841624784447322e-09
25,log_f_Hz,6.125875835036284e-09
25,log_v_m_s,-9.825642064727922e-09
25,log_h_m,-1.0102264503633512e-08
26,log_tau_s,3.866241737800454e-09
26,log_f_Hz,1.8967328271929465e-08
26,log_v_m_s,-3.5471544276708493e-08
26,log_h_m,-1.2130443056881966e-08
27,log_tau_s,1.7153699235333858e-09
27,log_f_Hz,1.0437176686505279e-08
27,log_v_m_s,-1.629671281766857e-08
27,log_h_m,-1.8199587106316523e-08
28,log_tau_s,5.959214943571306e-09
28,log_f_Hz,3.389618676409604e-08
28,log_v_m_s,-6.664743343718775e-08
28,log_h_m,-7.266187285472359e-08
29,log_tau_s,6.69349130736572e-10
29,log_f_Hz,1.1090340301305078e-09
29,log_v_m_s,-3.8562358510875165e-09
29,log_h_m,-7.692721429422431e-09
30,log_tau_s,2.2664624393694172e-09
30,log_f_Hz,1.1201392270972576e-08
30,log_v_m_s,-1.9476647783888232e-08
30,log_h_m,-1.4474026603543625e-08
31,log_tau_s,1.3288164180120639e-09
31,log_f_Hz,5.949826889003734e-09
31,log_v_m_s,-1.1572108580065334e-08
31,log_h_m,-1.1166665896957063e-08
