point,descriptor,packet_1,packet_2,packet_4,packet_8,rel_change_finest,passed
0,mean_depth_m,3.887609639109483e-09,3.8852627288336715e-09,3.880558079771598e-09,3.871105453967439e-09,0.002435893397249689,True
0,depth_rms_m,1.3218727657296483e-08,1.3212293575583369e-08,1.3199395782182781e-08,1.3173481728130038e-08,0.0019632757802234405,True
1,mean_depth_m,5.826069465793107e-09,5.8233404893552365e-09,5.8178699450624624e-09,5.806878469446905e-09,0.001889261141852397,True
1,depth_rms_m,1.7236785332767844e-08,1.7230353713533725e-08,1.7217460925862074e-08,1.7191557181134462e-08,0.0015045043423738522,True
2,mean_depth_m,4.4216112597001535e-09,4.4191761172112475e-09,4.414294561968384e-09,4.404486355053435e-09,0.0022219194431317966,True
2,depth_rms_m,1.428243317675436e-08,1.4276122673459784e-08,1.4263472537756535e-08,1.4238055793916357e-08,0.001781946421034405,True
