point,descriptor,packet_1,packet_2,packet_4,rel_change_finest,passed
0,mean_depth_m,1.1811597199330623e-07,1.1811597199330623e-07,1.1811597199330623e-07,0.0,True
0,depth_rms_m,2.6915650955456624e-08,2.6915650955456624e-08,2.6915650955456624e-08,0.0,True
1,mean_depth_m,7.561343454382332e-08,7.561343454382332e-08,7.561343454382332e-08,0.0,True
1,depth_rms_m,1.6434594364887594e-08,1.6434594364887594e-08,1.6434594364887594e-08,0.0,True
2,mean_depth_m,1.6403425100214562e-07,1.6403425100214562e-07,1.6403425100214562e-07,0.0,True
2,depth_rms_m,4.596849045131137e-08,4.596849045131137e-08,4.596849045131137e-08,0.0,True
