space,metric,q_near,q_far,T_lambda,type_II,p_perm_T_within,p_perm_type2_within
phys,D_morph_DCT_16_32_um,0.05,0.95,0.5710913316221194,20,0.056943056943056944,0.7032967032967034
phys,D_morph_DCT_32_64_um,0.05,0.95,0.4391812314549851,14,0.08191808191808192,0.8391608391608392
phys,D_morph_DCT_64_inf_um,0.05,0.95,0.5516368049831476,42,0.34165834165834164,0.6033966033966034
phys,D_morph_DCT_8_16_um,0.05,0.95,0.6178267980761625,21,0.12387612387612387,0.7422577422577422
phys,D_morph_desc,0.05,0.95,6.897199354863865,74,0.08291708291708291,0.33766233766233766
phys,D_morph_total_um,0.05,0.95,1.2788422693085808,31,0.10989010989010989,0.6763236763236763
phys,D_morph_DCT_16_32_um,0.1,0.9,0.6400711665890723,196,0.01098901098901099,0.3986013986013986
phys,D_morph_DCT_32_64_um,0.1,0.9,0.5124870364385568,124,0.05094905094905095,0.7992007992007992
phys,D_morph_DCT_64_inf_um,0.1,0.9,0.6119831785810345,146,0.15284715284715283,0.7712287712287712
phys,D_morph_DCT_8_16_um,0.1,0.9,0.6587736968438772,169,0.08291708291708291,0.4565434565434565
phys,D_morph_desc,0.1,0.9,6.59351518473048,275,0.15884115884115885,0.1938061938061938
phys,D_morph_total_um,0.1,0.9,1.4084784905706578,146,0.06493506493506493,0.7232767232767233
phys,D_morph_DCT_16_32_um,0.15,0.85,0.6402677097404407,497,0.026973026973026972,0.21178821178821178
phys,D_morph_DCT_32_64_um,0.15,0.85,0.4914426325755453,410,0.10989010989010989,0.5114885114885115
phys,D_morph_DCT_64_inf_um,0.15,0.85,0.6296463088450741,393,0.12187812187812187,0.6363636363636364
phys,D_morph_DCT_8_16_um,0.15,0.85,0.6628511728993176,401,0.15084915084915085,0.5824175824175825
phys,D_morph_desc,0.15,0.85,6.707236723765024,498,0.13686313686313686,0.3706293706293706
phys,D_morph_total_um,0.15,0.85,1.421038669408034,366,0.07992007992007992,0.7372627372627373
raw,D_morph_DCT_16_32_um,0.05,0.95,0.4083434627134326,27,1.0,0.939060939060939
raw,D_morph_DCT_32_64_um,0.05,0.95,0.2895350837350909,28,1.0,0.913086913086913
raw,D_morph_DCT_64_inf_um,0.05,0.95,0.42399866823079346,28,1.0,0.986013986013986
raw,D_morph_DCT_8_16_um,0.05,0.95,0.5338811180059958,43,1.0,0.6233766233766234
raw,D_morph_desc,0.05,0.95,4.6932934762444845,46,1.0,0.7382617382617382
raw,D_morph_total_um,0.05,0.95,1.0053130252846754,32,1.0,0.9180819180819181
raw,D_morph_DCT_16_32_um,0.1,0.9,0.43935089078580203,129,1.0,0.989010989010989
raw,D_morph_DCT_32_64_um,0.1,0.9,0.30600285154708423,129,1.0,0.981018981018981
raw,D_morph_DCT_64_inf_um,0.1,0.9,0.45057471044385156,107,1.0,0.998001998001998
raw,D_morph_DCT_8_16_um,0.1,0.9,0.5525979970420383,175,1.0,0.8361638361638362
raw,D_morph_desc,0.1,0.9,5.20056957931424,173,0.999000999000999,0.8221778221778222
raw,D_morph_total_um,0.1,0.9,1.0402412824603666,115,1.0,0.994005994005994
raw,D_morph_DCT_16_32_um,0.15,0.85,0.5010755697184467,379,0.996003996003996,0.919080919080919
raw,D_morph_DCT_32_64_um,0.15,0.85,0.3462827086353965,380,0.999000999000999,0.9080919080919081
raw,D_morph_DCT_64_inf_um,0.15,0.85,0.4881077801247229,330,0.998001998001998,0.983016983016983
raw,D_morph_DCT_8_16_um,0.15,0.85,0.5791733252322306,358,0.997002997002997,0.9790209790209791
raw,D_morph_desc,0.15,0.85,5.40021279359576,386,0.996003996003996,0.8971028971028971
raw,D_morph_total_um,0.15,0.85,1.1213166495186078,323,0.999000999000999,0.99000999000999
