stratum_spec,stratum,target_id,model,fold,n_train_local,n_test,MAE_global,MAE_local,MAE_dummy,Skill_global,Skill_local,delta_skill
depth_q4,Q1,Sq_um,ridge,0,33,12,1.3937963174240187,1.3142287189575896,1.3401234653601737,-0.040050677009390245,0.019322657256527154,0.0593733342659174
depth_q4,Q1,rms_DCT_8_16_um,ridge,0,33,12,0.3661763655740326,0.32624860472636136,0.36659550323601287,0.001143324613314789,0.11005835629051974,0.10891503167720495
depth_q4,Q1,rms_DCT_16_32_um,ridge,0,33,12,0.4399661011826092,0.41636914685533816,0.49306226378748064,0.107686526640694,0.1555444871059909,0.04785796046529689
depth_q4,Q1,rms_DCT_32_64_um,ridge,0,33,12,0.4968464344223626,0.4497609147227761,0.48656197497427756,-0.02113699790993473,0.07563488752578129,0.09677188543571602
depth_q4,Q1,rms_DCT_64_inf_um,ridge,0,33,12,1.158475801200736,1.0407164789522312,1.034433975658876,-0.11991275273306079,-0.006073372918125042,0.11383937981493575
depth_q4,Q1,Sq_um,extratrees,0,33,12,1.0608607165457695,1.2479484122752005,1.3401234653601737,0.20838583610604045,0.06878101568067096,-0.13960482042536948
depth_q4,Q1,rms_DCT_8_16_um,extratrees,0,33,12,0.21953279257724115,0.24892938995194547,0.36659550323601287,0.40115797755460536,0.3209698761861637,-0.08018810136844168
depth_q4,Q1,rms_DCT_16_32_um,extratrees,0,33,12,0.23424603396991572,0.3321849600590901,0.49306226378748064,0.5249159159523912,0.3262819232861264,-0.1986339926662648
depth_q4,Q1,rms_DCT_32_64_um,extratrees,0,33,12,0.32145382965325225,0.43001683839518295,0.48656197497427756,0.33933631030199973,0.11621363667410278,-0.22312267362789695
depth_q4,Q1,rms_DCT_64_inf_um,extratrees,0,33,12,0.9725679675610609,1.1490730995293281,1.034433975658876,0.059806628120861904,-0.110823045808635,-0.1706296739294969
depth_q4,Q2,Sq_um,ridge,0,33,9,0.5210728749017186,0.639802971480247,1.1354761906735835,0.5410974891577344,0.4365333445691141,-0.10456414458862029
depth_q4,Q2,rms_DCT_8_16_um,ridge,0,33,9,0.254439494506522,0.2013717257964358,0.35533701613719265,0.28394880648098586,0.4332936996389707,0.14934489315798483
depth_q4,Q2,rms_DCT_16_32_um,ridge,0,33,9,0.32252426704830695,0.33452008052446874,0.48993013850398515,0.34169335237643583,0.3172086094847425,-0.024484742891693334
depth_q4,Q2,rms_DCT_32_64_um,ridge,0,33,9,0.3803858912834723,0.5531556321047142,0.6220586247761895,0.38850475480453095,0.11076607561910401,-0.27773867918542694
depth_q4,Q2,rms_DCT_64_inf_um,ridge,0,33,9,0.18616661755734246,0.41175819589785406,0.7376535800695602,0.7476232440439222,0.44180004405452,-0.3058231999894022
depth_q4,Q2,Sq_um,extratrees,0,33,9,0.5375505788889533,0.4849803072646252,1.1354761906735835,0.5265857766950892,0.5728837722463147,0.04629799555122549
depth_q4,Q2,rms_DCT_8_16_um,extratrees,0,33,9,0.17856338715657855,0.150688064249046,0.35533701613719265,0.4974816046532098,0.5759291675065268,0.078447562853317
depth_q4,Q2,rms_DCT_16_32_um,extratrees,0,33,9,0.31578526006535523,0.32227474328479944,0.48993013850398515,0.35544838896905995,0.34220265716072495,-0.013245731808334993
depth_q4,Q2,rms_DCT_32_64_um,extratrees,0,33,9,0.3777722809410371,0.34334354389516875,0.6220586247761895,0.3927063046879933,0.4480527554477677,0.0553464507597744
depth_q4,Q2,rms_DCT_64_inf_um,extratrees,0,33,9,0.25701609563163375,0.3113358798135464,0.7376535800695602,0.6515761563749243,0.5779375465320895,-0.07363860984283477
depth_q4,Q3,Sq_um,ridge,0,46,3,0.8359171129117242,0.4452528699586562,0.4654925259004348,-0.795769139998008,0.04348008789749647,0.8392492278955045
depth_q4,Q3,rms_DCT_8_16_um,ridge,0,46,3,0.09904674155571586,0.12831676378450732,0.16351776451975455,0.3942753446598761,0.21527325082159254,-0.17900209383828358
depth_q4,Q3,rms_DCT_16_32_um,ridge,0,46,3,0.19235633036112385,0.16419763124369996,0.2221109555441847,0.13396288854892502,0.26074051213995153,0.1267776235910265
depth_q4,Q3,rms_DCT_32_64_um,ridge,0,46,3,0.39734726152124905,0.21826028694055286,0.18124813375246215,-1.1922833261495653,-0.20420708573275403,0.9880762404168113
depth_q4,Q3,rms_DCT_64_inf_um,ridge,0,46,3,0.690808878064881,0.2931841097527525,0.28000552961239183,-1.4671258421973277,-0.04706542816709236,1.4200604140302353
depth_q4,Q3,Sq_um,extratrees,0,46,3,0.6485859824251325,0.17784385074712963,0.4654925259004348,-0.3933327525947432,0.6179447770872071,1.0112775296819503
depth_q4,Q3,rms_DCT_8_16_um,extratrees,0,46,3,0.03217784161957211,0.057324449551250885,0.16351776451975455,0.8032150102218116,0.6494298358370383,-0.15378517438477335
depth_q4,Q3,rms_DCT_16_32_um,extratrees,0,46,3,0.1990693839271369,0.17989349529683174,0.2221109555441847,0.10373901440653654,0.19007374104495534,0.08633472663841879
depth_q4,Q3,rms_DCT_32_64_um,extratrees,0,46,3,0.16152663616302565,0.07927818095167634,0.18124813375246215,0.10880938292236952,0.5625986358571298,0.45378925293476025
