i,j,D_proc_raw,D_proc_phys,D_morph_total_um,D_over_sentinel_total,D_morph_DCT_8_16_um,D_over_sentinel_DCT_8_16,D_morph_DCT_16_32_um,D_over_sentinel_DCT_16_32,D_morph_DCT_32_64_um,D_over_sentinel_DCT_32_64,D_morph_DCT_64_inf_um,D_over_sentinel_DCT_64_inf,D_morph_desc,type_raw_D_morph_total_um,type_raw_D_morph_DCT_8_16_um,type_raw_D_morph_DCT_16_32_um,type_raw_D_morph_DCT_32_64_um,type_raw_D_morph_DCT_64_inf_um,type_raw_D_morph_desc,type_phys_D_morph_total_um,type_phys_D_morph_DCT_8_16_um,type_phys_D_morph_DCT_16_32_um,type_phys_D_morph_DCT_32_64_um,type_phys_D_morph_DCT_64_inf_um,type_phys_D_morph_desc
0,2,1.6750009008713387,1.4404919382136403,0.635201351240496,2.2110089976969896,0.15206206107302767,1.010024538475274,0.15463633427727624,1.22061727907012,0.14217415514512313,1.6253647215914813,0.5488177378041142,7.348062678785236,11.559640343233877,I,I,I,I,I,I,III,III,III,III,III,III
0,3,2.229349403510198,1.1980219044895764,0.6920386502881195,2.4088482802389284,0.3081413884994037,2.046732508477392,0.15591580591660478,1.230716750183062,0.19707747267280745,2.2530309476840116,0.5370586285570514,7.190621208070707,12.183555985378057,III,III,III,III,III,III,III,III,III,III,III,III
0,4,2.2953874496057898,1.3692719240607012,0.6874082769709354,2.3927308758174854,0.2922189098483915,1.940972438954544,0.1527290706140305,1.2055623503951687,0.20317074822074843,2.322690550053022,0.5320058181491273,7.122969663625368,12.145826150868876,III,III,III,III,III,III,III,III,III,III,III,III
0,5,3.16659011369852,1.6428574030893486,0.917382651786743,3.1932257282992693,0.7047703789790306,4.681216154353459,0.17953061794698025,1.4171195625685662,0.17541119887408255,2.0053375673727776,0.4932408411549214,6.603949484294428,12.830041490117074,III,III,III,III,III,III,III,III,III,III,III,III
0,6,3.0356642186148366,1.8773171792078625,1.0453405144962824,3.6386214838724524,0.8139108385558507,5.40614741949077,0.22513921366320874,1.7771296485909736,0.18262124657851836,2.087764342955299,0.5419903659814701,7.256651719137887,13.188303930212928,III,III,III,III,III,III,III,III,III,III,III,III
0,7,2.8842404382348126,1.0133602765586933,1.1994903800195016,4.1751863683772035,0.9902421911923586,6.577373113846431,0.28044198460899045,2.2136604168115817,0.23310620573902097,2.66491897071946,0.4735437701109775,6.340227482162192,12.98579932420603,III,III,III,III,III,III,III,III,III,III,III,III
0,8,1.2686625467804455,5.2453195849283585,0.6366044544593782,2.215892919677929,0.24204839960695146,1.6077305632749581,0.16493212031400858,1.3018867581791518,0.1803197802299102,2.061453497590054,0.4915977899078265,6.581950844825492,19.982125589492423,I,I,I,I,I,I,III,III,III,III,III,III
0,9,2.4560681519753995,3.8352982332538668,1.0013701050168846,3.4855692732600083,0.5509043874610516,3.6592095737945356,0.46277313538689124,3.6528859015102944,0.3246661143989585,3.711651024770323,0.525336914724254,7.0336804206049015,11.841217015118268,III,III,III,III,III,III,III,III,III,III,III,III
0,10,1.892100705119531,3.780776507342916,2.1677023178075703,7.545338686136599,0.7202753942484839,4.7842033543234805,0.6953974437822683,5.489098921472313,1.496480637071775,17.108080097669156,1.0869881514438322,14.553569459806734,13.340289169202398,III,III,III,III,III,III,III,III,III,III,III,III
0,11,2.1094063397538734,3.5364564314149716,0.42555161973497513,1.4812601679468413,0.28488859742722555,1.8922831382320446,0.14558126190209075,1.1491413361357554,0.11741345816264462,1.3422952472819114,0.19722721292368872,2.6406543059704326,5.417795163116475,III,III,III,III,III,III,III,III,III,III,III,III
0,12,2.2988437753364734,3.6394029985746545,1.249408163548142,4.34894019983769,0.525661878908903,3.491544129367225,0.7132601935457908,5.630098002412538,0.6141301010567057,7.020863951722386,0.505988363021083,6.774624707086103,13.356957495632313,III,III,III,III,III,III,III,III,III,III,III,III
0,13,3.1215969193494844,3.67654980638527,1.4333781641723877,4.989303016906892,1.217958041268136,8.08990421301281,0.2573445074835857,2.031341172023723,0.14562569793498334,1.6648234817295375,0.5697825768031416,7.6287586920589145,13.608362471111326,III,III,III,III,III,III,III,III,III,III,III,III
0,14,3.055143707078995,4.279732020401048,1.7518505878152508,6.097841896456817,0.7990199637374874,5.307239454809905,0.9338305190440025,7.371163268939625,0.6639833139893243,7.590796324283039,0.9405551519258021,12.592993507932048,12.659003202014384,III,III,III,III,III,III,III,III,III,III,III,III
0,15,2.237267460996914,4.194222090726334,0.6013683848245958,2.093243201043302,0.24479348289997663,1.6259639179102237,0.2637820808247436,2.082155964628731,0.19249211630590618,2.200610193243243,0.39620923881098913,5.304803617218494,12.144753383131023,III,III,III,III,III,III,III,III,III,III,III,III
0,16,2.392324554828241,5.372517060127313,1.9820789530200982,6.899220838738471,1.052916506059672,6.993667589282425,1.0294631659233318,8.126036706477352,1.0222397312400542,11.686458727120733,0.5481123582761582,7.33861842684744,13.35766829258291,III,III,III,III,III,III,III,III,III,III,III,III
0,17,2.627781210444733,4.320499485257654,1.0471202837871627,3.6448165051964407,0.4802377131867455,3.18982835821828,0.5130646831791361,4.04986072966629,0.3762024477796923,4.300825182842297,0.6130382117484303,8.207903816012763,12.304141626970564,III,III,III,III,III,III,III,III,III,III,III,III
0,18,2.608760720407467,4.319498151768083,0.8447061686879879,2.940253410563311,0.42840282321900414,2.8455313623263105,0.4049314579810141,3.1963143510917686,0.22366319045782557,2.556964442079303,0.49312898157566826,6.602451808211903,12.272778794643589,III,III,III,III,III,III,III,III,III,III,III,III
0,19,2.2149059150874706,6.030903652722059,9.221235742597125,32.097279322455435,1.3004477228137636,8.637816045485488,1.5979875409334552,12.613666854677737,2.8238133126314073,32.28242526939259,8.483706046645084,113.58744349000531,26.098215726411762,IV,III,III,IV,IV,III,IV,III,III,IV,IV,III
0,20,2.526601181077506,4.472780712467579,1.5230431608634416,5.301408956346764,0.7334611021171774,4.871785282455779,0.6810910982000272,5.376172210556365,0.6189073568220362,7.0754785402814795,0.8940713743519314,11.970627123554316,12.57653634395338,III,III,III,III,III,III,III,III,III,III,III,III
0,21,2.1886269737473043,4.2913477717161355,1.470910394795433,5.119945213194937,0.5907049685422956,3.9235724480970573,0.8921335152039364,7.042029216386512,0.6409857856873614,7.327883763644592,0.7347601770275087,9.837626342537275,12.581192502568008,III,III,III,III,III,III,III,III,III,III,III,III
0,22,3.969171090330016,5.273687154932921,6.680114742035978,23.252144806439183,1.3805016389730915,9.169549070484619,3.1907649633048867,25.186207794333413,3.7785153710485666,43.19677917427843,4.144933024142174,55.496070120886685,21.1895625243199,IV,III,IV,IV,IV,III,IV,III,IV,IV,IV,III
0,23,4.248037265050083,4.394583114285976,6.7458523291663015,23.48096421362115,1.038961162323863,6.9009735963392735,2.585461712790613,20.40826469248633,3.346213461239526,38.25461319085469,5.107463845949361,68.38329354992662,22.83842133891545,IV,III,IV,IV,IV,III,IV,III,IV,IV,IV,III
0,24,0.9514202628933636,1.2370883780044402,0.7693991470824292,2.6781247138367026,0.28767727790548503,1.9108060734936965,0.2634567704890306,2.0795881372246012,0.2024372861278206,2.314305457774804,0.5917504608735226,7.922884369766259,12.62562969558526,I,I,I,I,I,I,III,III,III,III,III,III
0,25,3.447086538896724,1.3106164180965738,0.6183867377992318,2.152480687675564,0.19822295057065623,1.31663376619092,0.1509030347431173,1.1911485908692743,0.16764564543469324,1.9165601338713576,0.5184254486472941,6.941143531875686,11.295089903122099,III,III,III,III,III,III,III,III,III,III,III,III
0,26,0.6959873946646821,3.6733541399949994,1.8107105293741164,6.30272159347953,0.7650682864611278,5.0817260892173675,0.9432404269648546,7.445440095639718,0.7873065982509838,9.000653941408292,0.9752708825367049,13.057798755461759,13.63373674845735,I,I,I,I,I,I,III,III,III,III,III,III
0,27,2.1467090585824726,3.672989896208515,0.5253405111589484,1.8286053623135292,0.23333465445698415,1.549852244637279,0.1621050284049777,1.2795711927603879,0.13995598434078083,1.6000061283354703,0.39232300215480176,5.252771205422704,11.407969000498806,III,III,III,III,III,III,III,III,III,III,III,III
0,28,0.9884500790175125,3.5964592346535604,0.7916201541313972,2.7554715998708836,0.26496006466255384,1.7599141109671812,0.3004874332237206,2.3718885658440008,0.29217255113693935,3.3401778034174154,0.5893203346258543,7.89034766631226,12.441010858083851,I,I,I,I,I,I,III,III,III,III,III,III
0,29,2.0497960301142664,3.7194426870989696,0.6690436749969626,2.3288073653836983,0.2618577814677174,1.7393081680385274,0.17468523699355792,1.3788726929498154,0.19916398066875757,2.27688434413623,0.5253788965636845,7.034242511015354,11.128143669947285,III,III,III,III,III,III,III,III,III,III,III,III
0,30,2.523100178368605,3.672989896208515,0.6633747507701229,2.3090749727363473,0.3608614351856693,2.3969088801965537,0.20923486128094979,1.6515891187993406,0.10856009088218217,1.2410816980945254,0.3965931756504199,5.309944106977662,12.460744804399864,III,III,III,III,III,III,III,III,III,III,III,III
0,31,2.1153600541957727,4.2194367839435145,1.135503397300328,3.952460465399692,0.5485307719452422,3.643443577339169,0.388162680466087,3.063950507372471,0.4065722587034617,4.648019222620571,0.7313501481186022,9.79196982593238,12.492841085754932,III,III,III,III,III,III,III,III,III,III,III,III
0,32,1.2534268996462867,4.137643133509642,0.9622915860708633,3.3495447562504213,0.3759963539053852,2.4974378299350453,0.5618033309950277,4.434577788309943,0.3480603888827462,3.979099270862332,0.5184383889079967,6.941316787658384,14.261713502902843,I,I,I,I,I,I,III,III,III,III,III,III
0,33,2.154671623774179,4.2194367839435145,0.9628379015939544,3.351446371438703,0.3079913327516935,2.0457358102460446,0.26699005215943694,2.107477990400935,0.2831817154415153,3.2373926865158866,0.8002179703770526,10.714033818490787,12.230062745434596,III,III,III,III,III,III,III,III,III,III,III,III
0,34,3.000934790334014,4.266789845366416,3.294378452610125,11.467073214367716,1.4138749722351958,9.391220967390252,1.7058122734554417,13.464778155540946,1.0803095486079466,12.350325042645451,2.0076561300934817,26.880295706914225,15.459447161367871,III,IV,III,III,III,III,III,IV,III,III,III,III
0,35,2.5315161814231297,4.1892561463830305,0.9471283337308194,3.2967645042992673,0.38326219034680375,2.5456988691883287,0.5463175758059184,4.312341442941181,0.37911822284358776,4.334158934114561,0.5189417402288286,6.948056105286347,3.3701489505304756,III,III,III,III,III,III,III,III,III,III,III,III
0,36,2.993427061149282,4.234267832556381,1.8105841414191697,6.30228166225923,0.9524376598258185,6.326268373608653,1.032795380008113,8.152339438680974,0.7258941912608833,8.298574441179579,0.728258701287172,9.750578771087156,15.668514103865183,III,III,III,III,III,III,III,III,III,III,III,III
0,38,3.153930282887734,4.3279992486213645,1.1210468323378604,3.902140051021819,0.49935817512694436,3.3168300285251737,0.5679210028948188,4.48286744845655,0.6038847951884883,6.903737469042625,0.40239664480149556,5.387646141986817,12.406759631453925,III,III,III,III,III,III,III,III,III,III,III,III
0,39,2.399294748937368,4.472060790927934,2.13120391984322,7.4182950547855215,0.9313706452032239,6.186337337746794,1.2290400208585135,9.701390641080751,0.9281143209870256,10.610397321484552,1.003140882613795,13.430947240500888,10.15935292149253,III,III,III,III,III,III,III,III,III,III,III,III
0,40,2.9861349556818237,4.639044081685226,1.2338184283539013,4.294675446277478,0.3895944745188037,2.587759080349395,0.5754235897865787,4.542088893666098,0.469628530518889,5.368891729858356,0.8849869720658959,11.848997021611593,12.289730169203295,III,III,III,III,III,III,III,III,III,III,III,III
0,41,3.2971842237590523,4.321084428684375,0.8655597791671873,3.0128406623283364,0.4802268701849154,3.1897563369800968,0.4886700091700818,3.857302100079646,0.19333006085668547,2.210189750864642,0.4452166273134785,5.9609583615616915,12.378059510084434,III,III,III,III,III,III,III,III,III,III,III,III
0,42,3.2820454310962983,4.299509113520717,2.435039851946152,8.475887231488697,0.7004502962533923,4.65252136006784,1.5490023231427796,12.227003503313632,0.8569336137148297,9.7966445663508,1.4406431884173014,19.288619366806444,13.82772942327517,III,III,III,III,III,III,III,III,III,III,III,III
0,43,3.619492589464329,4.658924658805417,4.9355079945097575,17.17951727079197,1.25840098793221,8.358533799187787,2.27706341006008,17.973931914823588,2.027123929828957,23.174505369662405,3.5585107756238243,47.64452462312617,17.250522437317382,IV,III,IV,III,IV,III,IV,III,IV,III,IV,III
0,44,3.550030793818513,4.493851354183304,5.667098174404679,19.72603652364854,1.2749923265344296,8.468736561113696,1.7523151365033005,13.831847113995874,2.80614243581101,32.080408104218336,4.330208743689642,57.976707145373226,19.55991280902522,IV,III,III,IV,IV,III,IV,III,III,IV,IV,III
0,45,3.7723741285479973,4.402553085177066,1.018989136585787,3.546897602070193,0.3042939901844402,2.0211773721075432,0.3018308845182286,2.382493058451315,0.31891689396272155,3.6459247325045174,0.8502432320138348,11.383816758634946,12.224591509600442,III,III,III,III,III,III,III,III,III,III,III,III
0,46,4.267966157119144,4.3901982409970515,1.6580260167190537,5.771257309548075,0.6037098143797934,4.009953056923954,0.8572197862996636,6.766438741634889,0.7302617608542586,8.348505411607515,1.0084248015483188,13.501693072579586,10.674403863566747,III,III,III,III,III,III,III,III,III,III,III,III
0,47,4.2562816547649724,4.402553085177066,1.1311686041938096,3.9373719166380288,0.4121904566007915,2.737845802919825,0.3886206858878115,3.067565759468801,0.33326722839148903,3.809980761532789,0.8917046366105905,11.938939122111062,12.244792594247258,III,III,III,III,III,III,III,III,III,III,III,III
0,48,2.109000516850938,1.4625734177147767,0.5929165247953755,2.063823964866636,0.15755913075837782,1.0465370994173868,0.148185023656414,1.1696940516586811,0.17465273840088036,1.9966666883750719,0.4923561068091952,6.592103869660175,10.697150825450523,III,III,III,III,III,III,III,III,III,III,III,III
0,49,2.109000516850938,1.4625734177147767,0.5942593749644847,2.068498158019187,0.1548141798246455,1.0283046239372025,0.14735061721237483,1.1631076893517769,0.17088979968761617,1.9536479848152903,0.4963847520974086,6.646042975576884,11.969253586845596,III,III,III,III,III,III,III,III,III,III,III,III
0,50,3.0082321675838775,1.4829376427702703,1.0625676139012499,3.6985855751235466,0.8054040739299121,5.349643904053707,0.17649725028533952,1.393175765666784,0.13898396246934505,1.5888937707003263,0.6072202055913554,8.130007146566916,13.144389929829861,III,III,III,III,III,III,III,III,III,III,III,III
0,51,1.8138452712308752,3.7591483434506645,1.2844777174140443,4.471010310348793,0.22799438692803467,1.5143811928298772,0.2778670768622735,2.193335459534603,0.35064482033642397,4.008645032578949,1.1719191362983088,15.690701438409805,12.23348429851032,III,III,III,III,III,III,III,III,III,III,III,III
0,52,1.5789939578613412,3.6087757651586685,0.5090110005835812,1.7717655984502825,0.20443885362465705,1.3579209522846896,0.17557523688193238,1.3858978804466455,0.1686930446778579,1.9285342214087424,0.3668140140649801,4.9112340603107905,15.282344764051665,I,I,I,I,I,I,III,III,III,III,III,III
0,53,1.4071215298773367,3.8630704524138646,1.22424343220933,4.261346797673036,0.5921416966333276,3.9331154637369816,0.5195105142103972,4.10074070410112,0.2486499330889738,2.8426181175922633,0.8282125288031924,11.088850002098926,14.073806526826601,I,I,I,I,I,I,III,III,III,III,III,III
0,54,3.0700930702469647,3.829105063814944,0.6966302164883439,2.4248306048394532,0.4252629275877266,2.8246755905877006,0.2810174787173679,2.2182030623416353,0.21456212910015687,2.452919202318991,0.3970716305558536,5.31635008913153,12.424144753820814,III,III,III,III,III,III,III,III,III,III,III,III
0,55,2.0828923061420976,4.2638306961257575,0.6955260766500954,2.420987314657032,0.2786396837184432,1.850776689219404,0.26397708641623185,2.0836952354320535,0.19672778854139783,2.2490332854484705,0.49182809571585223,6.585034384944717,4.768243007747991,III,III,III,III,III,III,III,III,III,III,III,III
0,56,1.4938487011272898,4.240326810622983,0.5948493697813021,2.0705518121023063,0.19939533697953826,1.3244209751317293,0.16864477887562807,1.3311925174806791,0.2014681500463861,2.3032260910954157,0.47262351201854913,6.327906243838374,12.286803740816547,I,I,I,I,I,I,III,III,III,III,III,III
0,57,1.926003441687599,4.27141085090122,4.0212337096142265,13.997111146624825,0.7102463854024392,4.717588809185717,1.7403720978580557,13.737575095694867,2.2036579120407294,25.192678831331225,2.7142836938200214,36.341257463717334,15.448003981858387,III,III,III,III,III,III,III,III,III,III,III,III
