i,j,D_proc_raw,D_proc_phys,D_morph_total_um,D_over_sentinel_total,D_morph_DCT_8_16_um,D_over_sentinel_DCT_8_16,D_morph_DCT_16_32_um,D_over_sentinel_DCT_16_32,D_morph_DCT_32_64_um,D_over_sentinel_DCT_32_64,D_morph_DCT_64_inf_um,D_over_sentinel_DCT_64_inf,D_morph_desc,type_raw_D_morph_total_um,type_raw_D_morph_DCT_8_16_um,type_raw_D_morph_DCT_16_32_um,type_raw_D_morph_DCT_32_64_um,type_raw_D_morph_DCT_64_inf_um,type_raw_D_morph_desc,type_phys_D_morph_total_um,type_phys_D_morph_DCT_8_16_um,type_phys_D_morph_DCT_16_32_um,type_phys_D_morph_DCT_32_64_um,type_phys_D_morph_DCT_64_inf_um,type_phys_D_morph_desc
0,179,1.5650351563669365,3.859235705958576,0.553948767614006,1.9281849874308676,0.22326490186815043,1.4829670719694399,0.21558286193349377,1.701696872066111,0.163609012497208,1.8704125006119539,0.37833171864470755,5.065443389452001,33.967868815944996,I,I,I,I,I,II,III,III,III,III,III,IV
0,191,0.7291738753880719,0.4622235922138929,2.228797362718173,7.757998331378601,0.15022273504746808,0.9978073923511057,0.38891945120846416,3.0699240545905777,0.615240796056213,7.033561649604286,2.096858609992638,28.074618281152944,135.1389293862591,I,I,I,I,I,II,I,I,I,I,I,II
1,129,1.3806226551692575,3.341926667600076,0.8300053460215945,2.88908278391797,0.24420109032460793,1.6220291360631882,0.1743912860040132,1.376552399606631,0.14449774092205928,1.651928440894534,0.7309430151259443,9.786518765329598,56.90120441769889,I,I,I,I,I,II,III,III,III,III,III,IV
1,179,1.3806226551692575,3.371351732043167,0.6729255338725204,2.3423193405784715,0.2384204596184183,1.5836331099938636,0.20827310604922042,1.643997532646115,0.15007217005833026,1.7156564824071292,0.5337218840391429,7.14594588843037,44.57121784077908,I,I,I,I,I,II,III,III,III,III,III,IV
1,191,1.5278656072601167,0.40565936667287833,2.3814499777846563,8.289351586176986,0.15896975793622933,1.0559067479294237,0.43612554164355916,3.442543917391419,0.6268302747028306,7.166054997038791,2.2445007037520477,30.051382668018388,145.75885391524324,I,I,I,I,I,II,I,I,I,I,I,II
2,179,1.4528231021592068,2.938926114311072,0.7574789643645804,2.6366329393121593,0.24808439495328277,1.6478227688579756,0.20577752510963102,1.6242987391483406,0.19000411703976616,2.1721668644933607,0.6205858259474225,8.308958024703953,45.32168673797574,I,I,I,I,I,II,III,III,III,III,III,IV
2,191,1.5049109361694504,1.0953071625161932,2.4074340839229746,8.379797068317,0.16216026817710177,1.0770987113343538,0.40420864737751283,3.1906088672140487,0.6032987965869098,6.8970382102853955,2.2816769898273037,30.549132032567776,146.50624206728384,I,I,I,I,I,II,III,III,III,III,III,IV
3,178,1.2122036517265515,3.2980722467957344,0.74179977357949,2.582056808712404,0.34724565989550465,2.3064703641302278,0.17757386211602258,1.4016739689482114,0.18183772113437416,2.0788069159596447,0.5605225778483904,7.50477754488017,32.598566292070416,I,I,I,I,I,II,III,III,III,III,III,IV
3,179,1.3806226551692575,3.2979890470242155,0.8830402295212664,3.0736866176166635,0.37284576321750557,2.4765110196380182,0.22547303740558125,1.7797646763159136,0.20992805347761828,2.399941479142982,0.7020792965135737,9.400065487862426,45.992081626296404,I,I,I,I,I,II,III,III,III,III,III,IV
4,129,1.6134838305186379,2.9381169429366802,0.9891842320777962,3.4431526841571998,0.3727610892535838,2.4759485993950765,0.16526937577010825,1.3045488740337465,0.2362260878024037,2.7005861159623645,0.8363887706910086,11.198320840466812,58.28014296030564,I,I,I,I,I,II,III,III,III,III,III,IV
4,179,1.6134838305186376,2.950862271863086,0.8290047992956872,2.8856000806628885,0.34407092634438574,2.2853831924378034,0.19859855914717783,1.5676317860639883,0.23434069087941353,2.679031863421195,0.6424637895603909,8.601879766912026,45.94721859585385,I,I,I,I,I,II,III,III,III,III,III,IV
5,34,1.4033835424640317,3.2587720348415057,3.1752957821790497,11.05257022995387,1.560014970898285,10.361910064071486,1.6867582514727222,13.314375802972329,1.039482574631478,11.883582524478557,1.7202510823807942,23.032259903184674,9.623964692150698,I,II,I,I,I,I,III,IV,III,III,III,III
5,36,1.215257282258082,3.258332967555574,2.096273857702812,7.296710487102011,1.3952951797615374,9.267810524405656,1.0769716492411183,8.501043498452415,0.6868283347351858,7.851965386595715,0.7396817136040702,9.903520275530774,10.269116808295294,I,II,I,I,I,I,III,IV,III,III,III,III
5,59,1.3186920932052701,3.3845232803888616,1.772365051736166,6.169248646810062,1.55696272341562,10.34163646766462,0.43935089078580203,3.468003114367703,0.3203901814473889,3.6627676636258335,0.4085265673020911,5.469719026385004,3.5799228567790013,I,II,I,I,I,I,III,IV,III,III,III,III
5,182,1.5680220593228384,3.1842809010918955,3.082903735822686,10.730971975462415,1.8089084143159053,12.015106683553546,2.0478669560062452,16.1647765605711,0.7104039714542275,8.121487003749504,0.7105867530822496,9.513970924581358,93.9464483453486,I,II,II,I,I,II,III,IV,IV,III,III,IV
6,7,0.9467916046467049,1.8217958121939852,1.8597966647379793,6.473580623832226,1.7666492457677145,11.734413413266115,0.3209970290994932,2.5337804473976884,0.20046964926008123,2.2918110209591824,0.2361130719387524,3.1612929619008274,1.6362898706660982,I,II,I,I,I,I,III,IV,III,III,III,III
6,50,1.6661775236281513,1.5094761771379885,1.533967786194,5.339435394507139,1.484591067405454,9.860930445764428,0.18377220784800608,1.450600425576079,0.10634801787600179,1.2157928161443536,0.12726955863570202,1.7039986675690506,0.48192731753798657,I,II,I,I,I,I,III,IV,III,III,III,III
7,36,1.5454732465175767,4.078590067359269,2.1954568862073964,7.641946793690795,1.5191548314928482,10.090509405986285,1.1123229246883821,8.78008773375306,0.7194037355642965,8.22437419215741,0.6613328769237701,8.854515983067039,9.852156554549937,I,II,I,I,I,I,III,IV,III,III,III,III
7,129,1.6988279086982014,3.726768117824371,1.4126519452723134,4.91715918977742,0.9987569058887893,6.633929435132782,0.2815111315683641,2.2220996963546207,0.23668924965099758,2.705881079229937,0.8603631742813557,11.51931159592822,58.524497854537145,I,I,I,I,I,II,III,III,III,III,III,IV
7,179,1.6988279086982014,3.7223149143447665,1.3104790017768442,4.561515586456215,1.0046527360703479,6.673090637578917,0.31830929260560537,2.512564879779898,0.25704637892771776,2.9386080451505996,0.6497831020165908,8.699877267701563,46.2280784793875,I,I,I,I,I,II,III,III,III,III,III,IV
8,19,1.7143577410178292,3.8800962985839282,9.103171631853652,31.686321740817544,1.3356033092465844,8.871325999980876,1.5848256007945967,12.509773473897187,2.7967250052335686,31.9727460652705,8.359801464408704,111.9284981357526,28.883046427275367,II,I,I,II,II,I,IV,III,III,IV,IV,III
8,191,1.3201487884514813,5.254952564450986,2.4617512997287134,8.568864444577772,0.2457901731816016,1.6325841204419886,0.4157327910603708,3.2815743506596187,0.6536117194266106,7.4722260827952125,2.313637603828308,30.977049315036634,147.3463580200016,I,I,I,I,I,II,III,III,III,III,III,IV
9,34,2.0077992499351045,0.7393429727294163,3.1479310416648487,10.95731903538638,1.458060048865633,9.684706477952412,1.7578752355299616,13.875735589346785,1.024253716255799,11.709483025672492,1.678040625897533,22.46710856317852,8.203376872745283,III,IV,III,III,III,III,I,II,I,I,I,I
9,129,3.875581792486007,0.40245726220386485,1.2145083214093326,4.227460821942134,0.5676984787016008,3.770759056516601,0.49280065312374494,3.889907214570314,0.35141169186790905,4.017412068556736,0.8129367032478366,10.884323588466488,57.90540892882231,III,III,III,III,III,IV,I,I,I,I,I,II
9,149,3.58299337636967,0.7742873204305162,2.7927359420146605,9.720955857425972,1.1100525392467544,7.373175766028604,1.1033526664070574,8.70928126833159,1.4563641843265989,16.649460407045044,1.641557887829765,21.978645039590027,42.08764683176755,III,III,III,III,III,IV,I,I,I,I,I,II
9,153,3.478235586088786,0.84362651461817,8.14106483528708,28.33742019991273,1.35797445661514,9.019919328498474,2.0002473765533404,15.788892834576634,2.349659464646594,26.861799162385257,7.356207646992573,98.49148659906061,297.99428341558195,IV,III,IV,III,IV,IV,II,I,II,I,II,II
9,154,3.540452515575068,0.7964343681902478,6.500194849754307,22.62587960734512,1.2436201862614111,8.260356960859431,1.84709727196836,14.58000706512592,2.7766132405492607,31.742824158764662,5.365294916069229,71.83536649377756,15.17518084087723,IV,III,IV,IV,IV,III,II,I,II,II,II,I
9,178,2.418641882005923,0.531556843287454,1.0084009121111235,3.510042108080141,0.5672520291969403,3.7677936557340828,0.5010853923326584,3.9553025556992423,0.2861900268894491,3.271784333113261,0.49344432145202927,6.606673860483559,32.21666980821541,III,III,III,III,III,IV,I,I,I,I,I,II
9,179,2.8342961501809,0.4773029063518634,1.0957982797506245,3.8142548838379287,0.5784236816692416,3.841997852709444,0.5015944624539974,3.9593208854745106,0.32926226871057956,3.7641952235768787,0.617931626332677,8.273421226623789,45.58479653976896,III,III,III,III,III,IV,I,I,I,I,I,II
9,182,2.8831904061928273,0.75131174753702,2.8874805922058893,10.050743055843231,1.3647051568944981,9.06462589366866,2.078114426940962,16.403534067619116,0.7557395257313144,8.639772556285811,0.6429467095607134,8.608345531749379,93.37569777736853,III,III,IV,III,III,IV,I,I,II,I,I,II
10,19,1.7143577410178292,4.093420940038815,9.325591738884457,32.46052169639611,1.4647429803058067,9.729095753593507,1.6959515076157117,13.386942495344444,3.4536708487209515,39.48308855269816,8.30264163926592,111.16319127898424,20.04547475690526,II,II,I,II,II,I,IV,IV,III,IV,IV,III
10,57,1.5365841435260934,1.536122707977855,4.522103382390655,15.740538409522667,1.010494008383984,6.711889456502299,1.8750675907268215,14.800789939585808,2.6640605243378386,30.45609793160608,2.8591822902802595,38.28128945524503,5.038472607819031,I,I,II,II,I,I,III,III,IV,IV,III,III
11,34,2.096955629880717,0.7704415118185939,3.3606844356209105,11.69787109405057,1.4158074184998077,9.404056635490303,1.6997990965054475,13.417313323154863,1.0856374352929024,12.411234559213527,2.1234660299585935,28.43086221454488,11.59985367536946,III,IV,III,III,III,III,I,II,I,I,I,I
11,129,1.6317406526091138,0.3850564433581441,0.6424322421237262,2.2361782842121465,0.3420440799800619,2.271920501288936,0.184691297957018,1.4578552358593517,0.1086805551379292,1.2424588706988158,0.45494063485866654,6.091152070709855,51.42233571872918,I,I,I,I,I,II,I,I,I,I,I,II
11,149,3.097847284557437,0.6305448069995789,2.6873294021303304,9.354056751110749,0.9907075507821214,6.580464118937105,1.08008798617054,8.525642210787614,1.411020087324685,16.131077192289144,1.6254657299521271,21.763188838784806,36.06749927662605,III,III,III,III,III,IV,I,I,I,I,I,II
11,153,3.290513558151028,0.41560198938948045,8.220999376067631,28.615656366362035,1.2826499399971802,8.519599856329867,1.8590703155847064,14.674515926768796,2.2956390986632296,26.2442270232915,7.518210142122294,100.66052088190968,291.5587263430595,IV,III,IV,III,IV,IV,II,I,II,I,II,II
11,154,2.9400805027819596,0.3722076381168379,6.4091077463155735,22.30882359843725,1.1849357401328016,7.870563936889697,1.7827776859450402,14.072302336805558,2.7832001689591976,31.818127304053142,5.293570990366426,70.87506243410658,16.835657132392996,IV,III,III,IV,IV,III,II,I,I,II,II,I
11,179,0.957001915644646,0.3436409653082539,0.5515484981820988,1.9198301290848019,0.36063791180541743,2.395424196263005,0.2195089224507422,1.7326871133210255,0.12490418949330616,1.4279308568717808,0.2501907539832881,3.349777558716427,39.09943090687976,I,I,I,I,I,II,I,I,I,I,I,II
11,182,2.261545065943298,0.7090425173507932,2.868215827688351,9.983686259437482,1.3874422346614006,9.21564980006411,2.0261915147375484,15.993682113281626,0.7710611802846348,8.814932920431872,0.7881626990271418,10.552627064686984,87.02341731238478,III,III,IV,III,III,IV,I,I,II,I,I,II
12,34,2.802213026724127,0.8214057087550195,3.3239102547218162,11.569867517401928,1.4476384182490407,9.615484065870097,1.7953400772772352,14.171463197014667,1.218914456461641,13.934885381582415,1.8242658170022674,24.424902190173942,9.395670343243019,III,IV,III,III,III,III,I,II,I,I,I,I
12,129,1.5961682282143452,0.32288646923626063,1.3999031971347626,4.872783344564796,0.520557460221687,3.4576396295047385,0.7005607445024784,5.529855281260453,0.6088754152671003,6.9607912831227035,0.8134370177995297,10.891022247113453,58.60321467924678,I,I,I,I,I,II,I,I,I,I,I,II
12,149,3.980034843240419,0.785780817866657,3.0128297144764575,10.487058307144883,1.0744134444373892,7.13645425881966,1.3788099791344353,10.883595326749282,1.5594007973383743,17.82739654917065,1.7377760082623106,23.266899283343356,42.91950432752593,III,III,III,III,III,IV,I,I,I,I,I,II
12,153,4.131767059182262,0.7431435169750963,8.11937998920749,28.261939583094115,1.358072037340527,9.020567477855572,1.986140850843989,15.677543395850245,2.2866825636086254,26.14183403850048,7.353226523096964,98.45157264634145,298.55408316319387,IV,III,IV,III,IV,IV,II,I,II,I,II,II
12,154,3.743625311431644,0.6841592753411346,6.459832033126324,22.485384706692624,1.236397498685221,8.212382524407534,2.0048406634111906,15.825149806992732,3.163177582925152,36.162108691045816,5.037754840733102,67.4499670476632,14.70897276673751,IV,III,IV,IV,IV,III,II,I,II,II,II,I
12,178,1.9641274604473082,0.4974646720551851,1.1983836032598487,4.171333899598201,0.5338385587415376,3.5458551601130903,0.6635013678604825,5.2373282002726365,0.5602731754755501,6.405160297541109,0.47918201026497637,6.415717283594985,33.03251740512698,III,III,III,III,III,IV,I,I,I,I,I,II
12,179,1.596168228214345,0.4303389601796609,1.3518029125544477,4.7053558638279105,0.5590278655491366,3.7131672286417343,0.7788088182997119,6.147504111189373,0.5973144835906937,6.828624290631134,0.6251180800358572,8.369639895612954,46.3280849633121,I,I,I,I,I,II,I,I,I,I,I,II
12,182,3.060485871189478,0.8077765819331049,3.0051447495207015,10.460308479502075,1.3426403138994325,8.918067095863615,2.1210288287410504,16.742277614554343,0.9351071498166088,10.690340805390827,0.8256872676625527,11.055039547619147,93.99272837185318,III,III,IV,III,III,IV,I,I,II,I,I,II
13,14,1.1941092543806353,0.6288434338272078,2.1260964668168967,7.400517031211638,1.452795072960181,9.649735527134945,0.9878212824264418,7.7973377447043175,0.6321045214416009,7.226351290506586,0.8143134326957971,10.902756473518307,5.932619759027232,I,II,I,I,I,I,I,II,I,I,I,I
13,34,1.2231148068894178,0.653893722971753,3.3850788362240922,11.782783128827774,1.8903293449151257,12.55591967313423,1.6584502073555434,13.09092710349559,1.0980081405208053,12.552659052561962,1.7549516361224955,23.496861949216914,8.871885885442472,I,II,I,I,I,I,I,II,I,I,I,I
13,36,1.0016859416276855,0.6583560956964747,2.410372574808393,8.390025368012243,1.7922117479250868,11.904204314833427,1.1129991017589382,8.7854251172334,0.7061796076440537,8.073193191831185,0.6853170989429707,9.17563819643451,10.36698347724257,I,II,I,I,I,I,I,II,I,I,I,I
13,42,2.471750726454775,0.8540282968288317,2.781732667151338,9.682655655955323,1.6196843315999945,10.758245074123174,1.5706831050044605,12.398140106414075,0.8564888261449705,9.79155966168642,1.236763646361182,16.558897729265073,7.641103297553555,III,IV,III,III,III,III,I,II,I,I,I,I
13,54,1.6661775236281513,0.9351042520584378,1.7081228158980186,5.94563425872206,1.5809309494852595,10.500837890447075,0.33926968526065415,2.6780151122263782,0.19184012258805566,2.193156464493374,0.3268669775260052,4.376387410684315,3.9425804223176706,I,II,I,I,I,I,III,IV,III,III,III,III
13,59,1.3649479338085861,1.024202330882796,2.2729787438441615,7.911784892143103,2.016451223020593,13.393644683739817,0.4476935100178266,3.533855329727727,0.4021825000559359,4.597834582277841,0.6381170871384693,8.543682227652265,3.990726814262461,I,II,I,I,I,I,III,IV,III,III,III,III
13,129,3.143034443579417,0.44908549084210436,1.6320226915700202,5.6807449298715,1.2170099540437553,8.083606841041906,0.26870580631199564,2.1210212444817915,0.21142763551408017,2.417085015088102,0.9398588833797029,12.58367124196726,58.65152579302291,III,III,III,III,III,IV,I,I,I,I,I,II
13,149,3.0124968442632025,0.5244288467148078,2.955108794643688,10.286143317187186,1.4992619795861646,9.958377377627444,1.124152237905069,8.87346206378555,1.3842544816310813,15.825087181643362,1.6468803820381226,22.049907351932497,42.98619709011104,III,IV,III,III,III,IV,I,II,I,I,I,II
13,153,3.360242420568313,0.38216928691373525,8.290042911283273,28.855983118338347,1.6818652554052305,11.171262354207178,1.8811366426910099,14.848695819725075,2.2671526858582696,25.91856438530633,7.50870335428013,100.53323550440413,298.51772209867386,IV,IV,IV,III,IV,IV,II,II,II,I,II,II
13,154,3.294624091194528,0.3719810921654185,6.456910072645383,22.47521394603278,1.6704172477844972,11.095222554851574,1.8388520256653171,14.514923460068152,2.7400650569584073,31.324997668526787,5.210006865766358,69.75623120296609,15.021188365062915,IV,IV,III,IV,IV,III,II,II,I,II,II,I
13,178,1.824403237476633,0.2997944848746063,1.4515220423138147,5.052458231777687,1.2176420976820044,8.087805656854128,0.29911930982696966,2.3610893247356337,0.16114430874247065,1.8422354910279335,0.5823110367533145,7.796500918013316,33.146263914765065,III,III,III,III,III,IV,I,I,I,I,I,II
13,179,2.1537155896351523,0.33556332460063126,1.5380041981624764,5.35348533814042,1.2276025626263232,8.15396492062705,0.29236390574319415,2.3077657446708617,0.22581734621711122,2.5815912019315572,0.7394743196244626,9.900743499460349,46.387570447715945,III,III,III,III,III,IV,I,I,I,I,I,II
13,181,1.7136373113075163,0.5826227266022953,1.674500672239091,5.8286022939654165,1.4148207650603049,9.397503099533754,0.5356539297896425,4.228168272087205,0.24940530694053298,2.8512537096848187,0.49121391785405616,6.576811222474683,5.08138939606677,I,II,I,I,I,I,I,II,I,I,I,I
13,182,1.2753466848598394,0.5874765020418256,3.474352584527072,12.093527210795717,2.235703907845866,14.849961862643235,2.0837146030325586,16.447738890083297,0.7454095333465032,8.52167791960981,0.9216561561026322,12.339956850570367,93.87025578510371,I,II,II,I,I,II,I,II,II,I,I,II
14,23,3.6688496955154406,0.8206523562923493,6.558942786107418,22.83036943662396,1.277235262416402,8.483634559095789,2.71340941372472,21.418216042583854,3.190807595723176,36.47798078476911,4.8089862870361495,64.38700906415093,15.770919586039497,IV,III,IV,IV,IV,III,II,I,II,II,II,I
14,34,0.6844846922588215,0.2750623433247537,3.4980324951701802,12.175952248768834,1.6113621040188537,10.702967288116504,2.0574430505402295,16.240365176330908,1.0762877224030225,12.304346683054122,1.787963856331567,23.938859076045745,5.059337227988166,I,II,II,I,I,I,I,II,II,I,I,I
14,42,2.927171609955829,0.48880220324197043,2.6948457959686793,9.380219816372446,1.0115894807783528,6.719165788229799,1.9045807241367112,15.03375097534742,0.9294704589958024,10.625900975259214,1.146950462033732,15.356398497990327,4.733492839096179,III,III,IV,III,III,III,I,I,II,I,I,I
