stratum_spec,stratum,target_id,model,delta_skill_median,delta_q25,delta_q75,n_pos,n_folds
sq_q4,Q1,rms_DCT_64_inf_um,extratrees,-0.2268635431016507,-0.30423072712027865,0.0704905307023529,2,5
sq_q4,Q1,rms_DCT_64_inf_um,ridge,-0.18683013887161948,-0.2667710661347933,-0.16752648780825807,0,5
sq_q4,Q1,rms_DCT_8_16_um,extratrees,-0.04486996584920133,-0.07979546578930363,0.17010494372981022,2,5
sq_q4,Q1,rms_DCT_8_16_um,ridge,-0.1107118241478392,-0.13844174863494907,0.08641547606668687,2,5
sq_q4,Q2,median_depth_um,extratrees,-0.16743595860267646,-0.4186331546209924,-0.12350311751494658,0,5
sq_q4,Q2,median_depth_um,ridge,-0.02087062256626726,-0.0313261653445972,-0.013948942543175358,1,5
sq_q4,Q2,rms_DCT_16_32_um,extratrees,-0.05968127737175699,-0.07471046718429153,-0.023249270143214984,1,5
sq_q4,Q2,rms_DCT_16_32_um,ridge,-0.16631124007921372,-0.22968065671099602,0.01734686812843167,2,5
sq_q4,Q2,rms_DCT_32_64_um,extratrees,-0.11710276778883377,-0.14257857147345188,-0.06992931752737197,1,5
sq_q4,Q2,rms_DCT_32_64_um,ridge,-0.21008715935831512,-0.31882626873356557,0.04424234681244932,2,5
sq_q4,Q2,rms_DCT_64_inf_um,extratrees,-0.20972815052777527,-0.26571152230689343,-0.1308950593737842,1,5
sq_q4,Q2,rms_DCT_64_inf_um,ridge,-0.22935626814318444,-0.34795963394577734,-0.13877336830646658,1,5
sq_q4,Q2,rms_DCT_8_16_um,extratrees,-0.08985346014826323,-0.12897330582780087,0.10853650028840511,2,5
sq_q4,Q2,rms_DCT_8_16_um,ridge,-0.030281595063331945,-0.1368946381562618,0.022040175866361866,2,5
sq_q4,Q3,median_depth_um,extratrees,-0.15151124753343526,-0.1729332941874916,-0.12337284942710969,0,5
sq_q4,Q3,median_depth_um,ridge,0.004017051689882201,-0.01732240136701968,0.06749233502948848,3,5
sq_q4,Q3,rms_DCT_16_32_um,extratrees,-0.012941404720750116,-0.10490101016078812,0.01249866318852566,2,5
sq_q4,Q3,rms_DCT_16_32_um,ridge,-0.08228796923662962,-0.08662025776667237,-0.010866416026154013,1,5
sq_q4,Q3,rms_DCT_32_64_um,extratrees,0.022783194422702824,-0.04969678468518324,0.04240351326877345,3,5
sq_q4,Q3,rms_DCT_32_64_um,ridge,-0.05890274473446544,-0.10038559866303198,0.023453892809340626,2,5
sq_q4,Q3,rms_DCT_64_inf_um,extratrees,-0.10043283940195291,-0.30372257530051183,0.1127451215004438,2,5
sq_q4,Q3,rms_DCT_64_inf_um,ridge,-0.033509445872401344,-0.10064718150051055,0.13032182585445506,2,5
sq_q4,Q3,rms_DCT_8_16_um,extratrees,-0.06431098481142705,-0.17699690053985528,0.12959838943705804,2,5
sq_q4,Q3,rms_DCT_8_16_um,ridge,0.029191117565481983,-0.01537096607305477,0.04949935381963477,3,5
sq_q4,Q4,median_depth_um,extratrees,-0.088530467436443,-0.16595701859464496,-0.05001434306446717,0,5
sq_q4,Q4,median_depth_um,ridge,-0.05263520917049902,-0.07953990586935,-0.048483591815382976,0,5
sq_q4,Q4,rms_DCT_16_32_um,extratrees,0.11413527833575188,-0.12790893967552208,0.1833525480014817,3,5
sq_q4,Q4,rms_DCT_16_32_um,ridge,-0.0668156104634009,-0.0884121884420862,-0.020265830064906565,0,5
sq_q4,Q4,rms_DCT_32_64_um,extratrees,0.026639005560733953,-0.3344240810519329,0.15770352159470358,3,5
sq_q4,Q4,rms_DCT_32_64_um,ridge,-0.07340805873564082,-0.12158107926212547,-0.01657827002080836,1,5
sq_q4,Q4,rms_DCT_64_inf_um,extratrees,0.12369280901547908,-0.08740539158910976,0.23785139381597875,3,5
sq_q4,Q4,rms_DCT_64_inf_um,ridge,0.016743404438348652,-0.04967261270561296,0.3329779469997256,3,5
sq_q4,Q4,rms_DCT_8_16_um,extratrees,0.032700274148319664,-0.03206681905689113,0.03455262058819475,3,5
sq_q4,Q4,rms_DCT_8_16_um,ridge,-0.0016253515893733805,-0.014984639970707092,0.018100094474261086,2,5
