stratum_spec,stratum,target_id,model,delta_skill_median,delta_q25,delta_q75,n_pos,n_folds
consensus_half,lower,Sq_um,extratrees,-0.019657074828713483,-0.05662410748241464,0.09437983961655982,2,5
consensus_half,lower,Sq_um,ridge,0.005423181168249136,-0.039033739149911484,0.059265929077021884,3,5
consensus_half,lower,median_depth_um,extratrees,-0.08637958059971862,-0.10295998788790739,-0.08109801072106748,0,5
consensus_half,lower,median_depth_um,ridge,0.011449775434498322,-0.05883595902523453,0.013969124159084578,3,5
consensus_half,lower,rms_DCT_16_32_um,extratrees,0.01173246915948678,-0.006434580577021953,0.058391050876609674,3,5
consensus_half,lower,rms_DCT_16_32_um,ridge,0.027965864179919753,-0.044883577351830684,0.03248693076429798,3,5
consensus_half,lower,rms_DCT_32_64_um,extratrees,0.03414445763406959,-0.06685849694178103,0.10041021660286076,3,5
consensus_half,lower,rms_DCT_32_64_um,ridge,0.07477846023867307,-0.08467705490294375,0.09605322174325104,3,5
consensus_half,lower,rms_DCT_64_inf_um,extratrees,-0.08557296132620296,-0.12198256833442378,-0.020075485748040856,1,5
consensus_half,lower,rms_DCT_64_inf_um,ridge,0.018820158913672058,-0.04719090102757795,0.0355529644504019,3,5
consensus_half,lower,rms_DCT_8_16_um,extratrees,0.023633767170702202,0.00886407082288243,0.03596966661484191,4,5
consensus_half,lower,rms_DCT_8_16_um,ridge,0.013502867199479462,-0.025020102982529213,0.030009375272435967,3,5
consensus_half,upper,Sq_um,extratrees,0.0541611713704504,-0.06764911271311225,0.11049751947392328,3,5
consensus_half,upper,Sq_um,ridge,-0.03147458980702533,-0.06530388329028303,-0.01625822335216287,0,5
consensus_half,upper,median_depth_um,extratrees,-0.060733063249367225,-0.12212027599848063,-0.030347613632774273,0,5
consensus_half,upper,median_depth_um,ridge,-0.002041801000995158,-0.033768476636614086,0.002428857027643838,2,5
consensus_half,upper,rms_DCT_16_32_um,extratrees,-0.00802255309369837,-0.06667531471093491,0.02887504114592998,2,5
consensus_half,upper,rms_DCT_16_32_um,ridge,-0.08677376638374978,-0.09742870249316882,-0.08075566307677184,1,5
consensus_half,upper,rms_DCT_32_64_um,extratrees,0.029334172334395836,0.009309291117722607,0.029490774443659884,4,5
consensus_half,upper,rms_DCT_32_64_um,ridge,-0.12276523373664472,-0.13615469751009013,-0.08381418313830424,0,5
consensus_half,upper,rms_DCT_64_inf_um,extratrees,0.046230658564116456,-0.18186790989531454,0.1259649924196966,3,5
consensus_half,upper,rms_DCT_64_inf_um,ridge,-0.047393045954729485,-0.08023599006914017,-0.04715487571883625,0,5
consensus_half,upper,rms_DCT_8_16_um,extratrees,0.06772091801901792,0.028605996099756337,0.07754430123869727,4,5
consensus_half,upper,rms_DCT_8_16_um,ridge,-0.04198106860074147,-0.04530244916062909,-0.023352523333348363,1,5
depth_q4,Q1,Sq_um,extratrees,-0.05633611442514652,-0.13960482042536948,0.43717913449114487,2,5
depth_q4,Q1,Sq_um,ridge,0.01097695793705289,-0.04834801570844105,0.0593733342659174,3,5
depth_q4,Q1,rms_DCT_16_32_um,extratrees,-0.17550698167731205,-0.1986339926662648,-0.1181902948515895,1,5
depth_q4,Q1,rms_DCT_16_32_um,ridge,-0.05796725013400661,-0.2585333062677617,0.04785796046529689,2,5
depth_q4,Q1,rms_DCT_32_64_um,extratrees,-0.1864164177335481,-0.22312267362789695,0.003047036839872286,2,5
depth_q4,Q1,rms_DCT_32_64_um,ridge,-0.020712911495140318,-0.3786608524827204,0.09677188543571602,2,5
depth_q4,Q1,rms_DCT_64_inf_um,extratrees,-0.12056691010964748,-0.1706296739294969,0.6329166050313701,2,5
depth_q4,Q1,rms_DCT_64_inf_um,ridge,0.11383937981493575,-0.02791536333681699,0.1633747717906311,3,5
depth_q4,Q1,rms_DCT_8_16_um,extratrees,-0.02858767071426027,-0.06324760081690861,0.017078839164961446,2,5
depth_q4,Q1,rms_DCT_8_16_um,ridge,0.058328884381429025,0.05305986236375004,0.08197567298935815,4,5
depth_q4,Q2,Sq_um,extratrees,-0.16511318820612442,-0.21117003978965143,0.04629799555122549,2,5
depth_q4,Q2,Sq_um,ridge,-0.10456414458862029,-0.17613159878536022,-0.02971034109986903,1,5
depth_q4,Q2,rms_DCT_16_32_um,extratrees,0.09718228223489056,-0.013245731808334993,0.10806284221573004,3,5
depth_q4,Q2,rms_DCT_16_32_um,ridge,-0.12767037967824213,-0.19769864723290775,-0.07457355130219967,0,5
depth_q4,Q2,rms_DCT_32_64_um,extratrees,-0.03676233393673456,-0.09457681538423779,0.0553464507597744,2,5
depth_q4,Q2,rms_DCT_32_64_um,ridge,-0.27773867918542694,-0.3062006400054412,-0.12883770867115218,0,5
depth_q4,Q2,rms_DCT_64_inf_um,extratrees,-0.12986704992999432,-0.31716544065060714,-0.07363860984283477,1,5
depth_q4,Q2,rms_DCT_64_inf_um,ridge,-0.19542595394197004,-0.3058231999894022,-0.14439565261309895,1,5
depth_q4,Q2,rms_DCT_8_16_um,extratrees,0.003503957506731714,-0.3062813073872044,0.032644115741479185,3,5
depth_q4,Q2,rms_DCT_8_16_um,ridge,-0.07493943572975814,-0.2920786940993949,-0.05548844334675662,1,5
depth_q4,Q3,Sq_um,extratrees,-0.025785148149724435,-0.189018171015091,1.0112775296819503,2,5
depth_q4,Q3,Sq_um,ridge,-0.021548941088044837,-0.025432102168072568,0.3004312333529666,2,5
depth_q4,Q3,rms_DCT_16_32_um,extratrees,-0.12049357566671515,-0.3369010386263399,-0.09756275238738932,1,5
depth_q4,Q3,rms_DCT_16_32_um,ridge,-0.07576758721063348,-0.12975118865197421,0.009774371806829163,2,5
depth_q4,Q3,rms_DCT_32_64_um,extratrees,0.2338125704907016,-0.013127861807099128,0.45378925293476025,3,5
depth_q4,Q3,rms_DCT_32_64_um,ridge,0.11679738948005447,0.004361818841863929,0.18742248806010098,4,5
depth_q4,Q3,rms_DCT_64_inf_um,extratrees,-0.12732135981292136,-0.4088032468992425,1.1995171433806826,2,5
depth_q4,Q3,rms_DCT_64_inf_um,ridge,0.4784038743868182,0.22907636311411195,1.4200604140302353,4,5
depth_q4,Q3,rms_DCT_8_16_um,extratrees,-0.12682489010186837,-0.15378517438477335,0.06401300172836955,2,5
depth_q4,Q3,rms_DCT_8_16_um,ridge,-0.17900209383828358,-0.19541278446096255,-0.10601310111381679,0,5
depth_q4,Q4,Sq_um,extratrees,-0.09376069387540376,-0.14006269764076762,-0.02674678214229298,1,5
depth_q4,Q4,Sq_um,ridge,-0.08370680697104615,-0.12016804786525581,-0.08119695628522294,1,5
depth_q4,Q4,rms_DCT_16_32_um,extratrees,-0.0704900954312686,-0.13410471752147457,-0.04002557839045362,1,5
depth_q4,Q4,rms_DCT_16_32_um,ridge,-0.037087168098181134,-0.12123729815005946,-0.015328901754288471,0,5
depth_q4,Q4,rms_DCT_32_64_um,extratrees,-0.06180713893023526,-0.15875009033355159,-0.0071065413985520465,1,5
depth_q4,Q4,rms_DCT_32_64_um,ridge,-0.05580505405819025,-0.07069700212896257,-0.04696190787500387,0,5
depth_q4,Q4,rms_DCT_64_inf_um,extratrees,-0.0932000615236599,-0.19622318572562836,-0.07552973427989029,1,5
depth_q4,Q4,rms_DCT_64_inf_um,ridge,-0.12695946260586877,-0.1301800792384289,0.026087305309787867,2,5
depth_q4,Q4,rms_DCT_8_16_um,extratrees,-0.09164483659651224,-0.16188007139242533,-0.07678701952182465,0,5
depth_q4,Q4,rms_DCT_8_16_um,ridge,-0.08631309375467244,-0.09368271615474644,-0.07893063593906269,0,5
sq_q4,Q1,median_depth_um,extratrees,-0.33830030021470625,-0.36143423569092936,-0.15955347087996496,1,5
sq_q4,Q1,median_depth_um,ridge,-0.08657306647479934,-0.11859693285134632,-0.026588399770234528,1,5
sq_q4,Q1,rms_DCT_16_32_um,extratrees,-0.07664504882118495,-0.13547918594479436,0.18254728871462755,2,5
sq_q4,Q1,rms_DCT_16_32_um,ridge,-0.056855426567877454,-0.10084914990271476,-0.03001712949023716,1,5
sq_q4,Q1,rms_DCT_32_64_um,extratrees,-0.08666269058758147,-0.18231705135045762,0.26692433994757714,2,5
sq_q4,Q1,rms_DCT_32_64_um,ridge,-0.2022594107202167,-0.2175185345502928,-0.12086033635324211,0,5
