dataset_index,session_id,measurement_id,sample_id,shared_height_source_id,roi_within_measurement,session_role,design_group,processing_order,x_position_um,y_position_um,compressor_steps,pulse_duration_fs,pulse_duration_calibration_id,pulse_duration_calibration_version,frequency_kHz,hatch_spacing_um,pass_count,velocity_mm_s,valid_fraction,repair_fraction,median_depth_um,residual_Sq_um
117,zro2_120_formal,118,118,zro2_120_formal:m118,single,formal,,118,-5700.0,3800.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,2.0,1,3,1.0,0.0,6.4736,2.3091
118,zro2_120_formal,119,119,zro2_120_formal:m119,single,formal,,119,-5700.0,3200.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,4.0,3,9,1.0,0.000546875,46.1205,2.9279
119,zro2_120_formal,120,120,zro2_120_formal:m120,single,formal,,120,-5700.0,2600.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,6.0,5,3,1.0,0.0,49.9109,1.0269
120,zro2_20_supplement,1,1,zro2_20_supplement:m001,slot_1,pass_supplement,S01,1,-4100.0,-8000.0,29400,223,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,5,10.0,5,20,1.0,0.0,8.9544,0.5974
121,zro2_20_supplement,1,2,zro2_20_supplement:m001,slot_2,pass_supplement,S01,2,-4100.0,-8500.0,29400,223,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,5,10.0,6,20,1.0,0.0,10.9478,0.4707
122,zro2_20_supplement,2,3,zro2_20_supplement:m002,slot_1,pass_supplement,S09,3,-4100.0,-9000.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,10.0,5,20,1.0,0.0,17.1229,0.7383
123,zro2_20_supplement,2,4,zro2_20_supplement:m002,slot_2,pass_supplement,S09,4,-4100.0,-9500.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,10.0,6,20,1.0,0.0,19.3299,0.7088
124,zro2_20_supplement,3,5,zro2_20_supplement:m003,slot_1,pass_supplement,S05,5,-4100.0,-10000.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,40,6.0,5,25,1.0,0.0,47.4393,1.679
125,zro2_20_supplement,3,6,zro2_20_supplement:m003,slot_2,pass_supplement,S05,6,-4100.0,-10500.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,40,6.0,6,25,1.0,0.000546875,52.2079,0.5863
126,zro2_20_supplement,4,7,zro2_20_supplement:m004,slot_1,pass_supplement,S02,7,-4100.0,-11000.0,29400,223,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,20,4.0,5,25,1.0,0.003828125,49.354,0.9146
127,zro2_20_supplement,4,8,zro2_20_supplement:m004,slot_2,pass_supplement,S02,8,-4100.0,-11500.0,29400,223,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,20,4.0,6,25,1.0,0.0,52.27,0.7817
128,zro2_20_supplement,5,9,zro2_20_supplement:m005,slot_1,pass_supplement,S03,9,-4100.0,-12000.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,20,6.0,5,15,1.0,0.0001953125,40.7252,0.8845
129,zro2_20_supplement,5,10,zro2_20_supplement:m005,slot_2,pass_supplement,S03,10,-4100.0,-12500.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,20,6.0,6,15,1.0,0.0002734375,42.3187,0.9099
130,zro2_20_supplement,6,11,zro2_20_supplement:m006,slot_1,pass_supplement,S08,11,-4100.0,-13000.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,5,8.0,5,10,1.0,0.0,9.9757,0.4954
131,zro2_20_supplement,6,12,zro2_20_supplement:m006,slot_2,pass_supplement,S08,12,-4100.0,-13500.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,5,8.0,6,10,1.0,0.0,11.856,0.5506
132,zro2_20_supplement,7,13,zro2_20_supplement:m007,slot_1,pass_supplement,S07,13,-4100.0,-14000.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,5,5,1.0,0.0,32.688,0.3301
133,zro2_20_supplement,7,14,zro2_20_supplement:m007,slot_2,pass_supplement,S07,14,-4100.0,-14500.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,6,5,1.0,0.0,34.7831,0.3217
134,zro2_20_supplement,8,15,zro2_20_supplement:m008,slot_1,pass_supplement,S10,15,-4100.0,-15000.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,20,2.0,5,15,1.0,0.0006640625,40.9119,0.481
135,zro2_20_supplement,8,16,zro2_20_supplement:m008,slot_2,pass_supplement,S10,16,-4100.0,-15500.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,20,2.0,6,15,1.0,0.0,40.9057,0.3612
136,zro2_20_supplement,9,17,zro2_20_supplement:m009,slot_1,pass_supplement,S04,17,-4100.0,-16000.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,5,10,1.0,0.0,17.7978,0.6845
137,zro2_20_supplement,9,18,zro2_20_supplement:m009,slot_2,pass_supplement,S04,18,-4100.0,-16500.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,6,10,1.0,0.0002734375,21.2544,0.6624
138,zro2_20_supplement,10,19,zro2_20_supplement:m010,slot_1,pass_supplement,S06,19,-4100.0,-17000.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,5,5,1.0,0.0,28.9433,0.6025
139,zro2_20_supplement,10,20,zro2_20_supplement:m010,slot_2,pass_supplement,S06,20,-4100.0,-17500.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,6,5,1.0,0.0,32.6052,0.1981
140,zro2_60_pass,1,1,zro2_60_pass:m001,slot_1,pass_main,T03,1,-1100.0,-17600.0,29400,223,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,40,4.0,1,20,1.0,0.0,3.3935,0.9591
141,zro2_60_pass,1,2,zro2_60_pass:m001,slot_2,pass_main,T03,2,-1100.0,-18000.0,29400,223,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,40,4.0,2,20,1.0,0.0,35.7216,0.6944
142,zro2_60_pass,2,3,zro2_60_pass:m002,slot_1,pass_main,T03,3,-1100.0,-18400.0,29400,223,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,40,4.0,3,20,1.0,0.0009765625,44.4284,0.9281
143,zro2_60_pass,2,4,zro2_60_pass:m002,slot_2,pass_main,T03,4,-1100.0,-18800.0,29400,223,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,40,4.0,4,20,1.0,0.002109375,50.9061,1.0504
144,zro2_60_pass,3,5,zro2_60_pass:m003,slot_1,pass_main,T15,5,-1100.0,-19200.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,20,2.0,4,15,1.0,0.000546875,40.296,1.037
145,zro2_60_pass,3,6,zro2_60_pass:m003,slot_2,pass_main,T15,6,-1100.0,-19600.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,20,2.0,2,15,1.0,0.000234375,30.3235,0.6497
146,zro2_60_pass,4,7,zro2_60_pass:m004,slot_1,pass_main,T15,7,-1100.0,-20000.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,20,2.0,3,15,1.0,0.0015625,36.1399,0.6594
147,zro2_60_pass,4,8,zro2_60_pass:m004,slot_2,pass_main,T15,8,-1100.0,-20400.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,20,2.0,1,15,1.0,0.001875,18.3309,1.6758
148,zro2_60_pass,5,9,zro2_60_pass:m005,slot_1,pass_main,T08,9,-1100.0,-20800.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,40,6.0,2,25,1.0,0.0,29.4464,0.7339
149,zro2_60_pass,5,10,zro2_60_pass:m005,slot_2,pass_main,T08,10,-1100.0,-21200.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,40,6.0,1,25,1.0,0.004609375,3.9601,2.6623
150,zro2_60_pass,6,11,zro2_60_pass:m006,slot_1,pass_main,T08,11,-1100.0,-21600.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,40,6.0,3,25,1.0,0.0,38.5678,0.6965
151,zro2_60_pass,6,12,zro2_60_pass:m006,slot_2,pass_main,T08,12,-1100.0,-22000.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,40,6.0,4,25,1.0,0.00296875,44.2194,0.7665
152,zro2_60_pass,7,13,zro2_60_pass:m007,slot_2,pass_main,T02,13,-1500.0,-22000.0,29400,223,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,20,4.0,4,25,1.0,0.0,43.127,0.7471
153,zro2_60_pass,7,14,zro2_60_pass:m007,slot_1,pass_main,T02,14,-1500.0,-21600.0,29400,223,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,20,4.0,1,25,1.0,0.01109375,0.0514,8.1221
154,zro2_60_pass,8,15,zro2_60_pass:m008,slot_2,pass_main,T02,15,-1500.0,-21200.0,29400,223,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,20,4.0,2,25,1.0,0.0033203125,26.9237,6.446
155,zro2_60_pass,8,16,zro2_60_pass:m008,slot_1,pass_main,T02,16,-1500.0,-20800.0,29400,223,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,20,4.0,3,25,1.0,0.000625,37.0013,2.3616
156,zro2_60_pass,9,17,zro2_60_pass:m009,slot_2,pass_main,T12,17,-1500.0,-20400.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,4,5,1.0,0.0,28.7588,0.4046
157,zro2_60_pass,9,18,zro2_60_pass:m009,slot_1,pass_main,T12,18,-1500.0,-20000.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,2,5,1.0,0.0,16.2982,1.1441
158,zro2_60_pass,10,19,zro2_60_pass:m010,slot_2,pass_main,T12,19,-1500.0,-19600.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,3,5,1.0,0.0,23.4702,0.3969
159,zro2_60_pass,10,20,zro2_60_pass:m010,slot_1,pass_main,T12,20,-1500.0,-19200.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,1,5,1.0,0.0,8.4816,0.8281
160,zro2_60_pass,11,21,zro2_60_pass:m011,slot_2,pass_main,T05,21,-1500.0,-18800.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,1,5,1.0,0.0,9.4616,0.6725
161,zro2_60_pass,11,22,zro2_60_pass:m011,slot_1,pass_main,T05,22,-1500.0,-18400.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,2,5,1.0,0.0,17.772,0.5462
162,zro2_60_pass,12,23,zro2_60_pass:m012,slot_2,pass_main,T05,23,-1500.0,-18000.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,4,5,1.0,0.0,30.9608,1.9061
163,zro2_60_pass,12,24,zro2_60_pass:m012,slot_1,pass_main,T05,24,-1500.0,-17600.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,3,5,1.0,0.0,25.3133,0.5229
164,zro2_60_pass,13,25,zro2_60_pass:m013,slot_1,pass_main,T14,25,-1900.0,-17600.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,10.0,3,20,1.0,0.0,11.0416,0.8539
165,zro2_60_pass,13,26,zro2_60_pass:m013,slot_2,pass_main,T14,26,-1900.0,-18000.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,10.0,2,20,1.0,0.0,7.957,0.9876
166,zro2_60_pass,14,27,zro2_60_pass:m014,slot_1,pass_main,T14,27,-1900.0,-18400.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,10.0,1,20,1.0,0.0,2.3888,1.3387
167,zro2_60_pass,14,28,zro2_60_pass:m014,slot_2,pass_main,T14,28,-1900.0,-18800.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,10.0,4,20,1.0,0.0,15.4212,3.7379
168,zro2_60_pass,15,29,zro2_60_pass:m015,slot_1,pass_main,T10,29,-1900.0,-19200.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,2,5,1.0,0.0,12.6613,0.3282
169,zro2_60_pass,15,30,zro2_60_pass:m015,slot_2,pass_main,T10,30,-1900.0,-19600.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,3,5,1.0,0.0,19.7162,0.2405
170,zro2_60_pass,16,31,zro2_60_pass:m016,slot_1,pass_main,T10,31,-1900.0,-20000.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,1,5,1.0,0.0,6.387,0.2484
171,zro2_60_pass,16,32,zro2_60_pass:m016,slot_2,pass_main,T10,32,-1900.0,-20400.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,4,5,1.0,0.0,25.5787,0.1821
172,zro2_60_pass,17,33,zro2_60_pass:m017,slot_1,pass_main,T01,33,-1900.0,-20800.0,29400,223,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,5,10.0,2,20,1.0,0.0,3.1857,0.5517
173,zro2_60_pass,17,34,zro2_60_pass:m017,slot_2,pass_main,T01,34,-1900.0,-21200.0,29400,223,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,5,10.0,3,20,1.0,0.0,5.0919,0.5273
174,zro2_60_pass,18,35,zro2_60_pass:m018,slot_1,pass_main,T01,35,-1900.0,-21600.0,29400,223,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,5,10.0,1,20,1.0,0.0,1.2932,0.4299
175,zro2_60_pass,18,36,zro2_60_pass:m018,slot_2,pass_main,T01,36,-1900.0,-22000.0,29400,223,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,5,10.0,4,20,1.0,0.0,7.1437,0.7599
176,zro2_60_pass,19,37,zro2_60_pass:m019,slot_2,pass_main,T06,37,-2300.0,-22000.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,20,6.0,1,15,1.0,0.0,11.4691,1.0405
177,zro2_60_pass,19,38,zro2_60_pass:m019,slot_1,pass_main,T06,38,-2300.0,-21600.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,20,6.0,2,15,1.0,0.0014453125,21.2453,0.4938
178,zro2_60_pass,20,39,zro2_60_pass:m020,slot_2,pass_main,T06,39,-2300.0,-21200.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,20,6.0,3,15,1.0,0.0,29.0683,0.6115
179,zro2_60_pass,20,40,zro2_60_pass:m020,slot_1,pass_main,T06,40,-2300.0,-20800.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,20,6.0,4,15,1.0,0.0,35.5795,0.7399
180,zro2_60_pass,21,41,zro2_60_pass:m021,slot_2,pass_main,T09,41,-2300.0,-20400.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,40,10.0,3,15,1.0,0.0,30.3552,0.654
181,zro2_60_pass,21,42,zro2_60_pass:m021,slot_1,pass_main,T09,42,-2300.0,-20000.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,40,10.0,4,15,1.0,0.0,36.6176,0.8629
182,zro2_60_pass,22,43,zro2_60_pass:m022,slot_2,pass_main,T09,43,-2300.0,-19600.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,40,10.0,1,15,1.0,0.0028125,6.8128,2.8342
183,zro2_60_pass,22,44,zro2_60_pass:m022,slot_1,pass_main,T09,44,-2300.0,-19200.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,40,10.0,2,15,1.0,0.0,22.3581,1.4688
184,zro2_60_pass,23,45,zro2_60_pass:m023,slot_2,pass_main,T11,45,-2300.0,-18800.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,4.0,3,10,1.0,0.0,3.3878,0.5031
185,zro2_60_pass,23,46,zro2_60_pass:m023,slot_1,pass_main,T11,46,-2300.0,-18400.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,4.0,4,10,1.0,0.0,5.1213,0.4181
186,zro2_60_pass,24,47,zro2_60_pass:m024,slot_2,pass_main,T11,47,-2300.0,-18000.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,4.0,1,10,1.0,0.0,0.2429,0.2257
187,zro2_60_pass,24,48,zro2_60_pass:m024,slot_1,pass_main,T11,48,-2300.0,-17600.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,4.0,2,10,1.0,0.0,2.0076,0.3684
188,zro2_60_pass,25,49,zro2_60_pass:m025,slot_1,pass_main,T07,49,-2700.0,-17600.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,4,10,1.0,0.0,13.6042,0.5574
189,zro2_60_pass,25,50,zro2_60_pass:m025,slot_2,pass_main,T07,50,-2700.0,-18000.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,1,10,1.0,0.0,2.9421,0.2082
190,zro2_60_pass,26,51,zro2_60_pass:m026,slot_1,pass_main,T07,51,-2700.0,-18400.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,2,10,1.0,0.0,7.0206,0.3492
191,zro2_60_pass,26,52,zro2_60_pass:m026,slot_2,pass_main,T07,52,-2700.0,-18800.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,3,10,1.0,0.0,10.3754,2.4139
192,zro2_60_pass,27,53,zro2_60_pass:m027,slot_1,pass_main,T13,53,-2700.0,-19200.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,5,8.0,4,10,1.0,0.0,7.6827,0.5533
193,zro2_60_pass,27,54,zro2_60_pass:m027,slot_2,pass_main,T13,54,-2700.0,-19600.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,5,8.0,1,10,1.0,0.0,1.2348,0.3639
194,zro2_60_pass,28,55,zro2_60_pass:m028,slot_1,pass_main,T13,55,-2700.0,-20000.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,5,8.0,2,10,1.0,0.0,3.7196,0.4071
195,zro2_60_pass,28,56,zro2_60_pass:m028,slot_2,pass_main,T13,56,-2700.0,-20400.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,5,8.0,3,10,1.0,0.0,5.9768,0.4014
196,zro2_60_pass,29,57,zro2_60_pass:m029,slot_1,pass_main,T04,57,-2700.0,-20800.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,5,6.0,4,25,1.0,0.0,12.8074,0.4502
197,zro2_60_pass,29,58,zro2_60_pass:m029,slot_2,pass_main,T04,58,-2700.0,-21200.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,5,6.0,1,25,1.0,0.0,2.9207,0.2857
198,zro2_60_pass,30,59,zro2_60_pass:m030,slot_1,pass_main,T04,59,-2700.0,-21600.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,5,6.0,3,25,1.0,0.0,9.4158,0.3901
199,zro2_60_pass,30,60,zro2_60_pass:m030,slot_2,pass_main,T04,60,-2700.0,-22000.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,5,6.0,2,25,1.0,0.0,6.0829,0.2631
